Position,Energy,Frequency
98.75,0,0
99.75,-1,1
100.75,-2,2
104.75,-3,1
110.5,-4,2
124.5,-3,3
124.75,-2,3
131.25,-1,2
131.5,0,3
136.75,-1,2
143.75,0,3
150.75,-1,2
162.0,-2,3
166.0,-3,3
169.0,-2,2
170.0,-3,1
171.0,-2,1
172.0,-1,2
173.0,-2,1
174.0,-1,2
178.0,-2,3
182.0,-1,2
185.0,0,3
186.0,-1,2
190.0,0,3
194.0,-1,4
195.0,0,5
196.0,-1,4
198.0,-2,3
201.0,-1,4
202.0,0,3
203.0,1,4
204.0,0,3
205.0,-1,4
206.0,-2,3
210.0,-1,2
210.25,0,3
210.5,-1,4
211.0,0,5
212.0,-1,4
214.0,-2,3
217.0,-1,4
217.25,0,3
218.0,-1,2
219.0,0,3
220.0,-1,2
226.0,-2,1
228.25,-1,2
231.25,0,3
232.0,-1,2
233.0,-2,2
233.25,-1,3
234.0,0,2
235.0,-1,3
235.25,-2,4
236.0,-3,3
237.25,-2,4
238.0,-3,5
239.25,-2,6
243.25,-1,7
244.0,-2,6
245.25,-1,7
246.0,-2,6
247.25,-1,7
248.0,-2,6
249.0,-3,6
249.25,-2,7
250.0,-1,6
254.0,-2,7
260.25,-3,8
263.25,-2,7
265.25,-3,8
266.0,-4,7
267.25,-3,8
268.25,-2,7
270.0,-3,6
271.25,-2,7
274.0,-3,6
274.25,-2,7
274.5,-3,8
275.0,-2,9
277.0,-3,10
277.25,-2,9
278.0,-1,8
279.25,0,9
282.0,-1,8
283.0,-2,9
286.0,-3,8
354.75,-4,9
355.75,-3,10
356.75,-4,11
357.5,-5,10
360.0,-4,11
366.5,-5,12
369.25,-4,11
380.75,-5,12
387.0,-6,11
387.25,-7,12
388.75,-6,13
392.5,-7,12
392.75,-8,11
399.5,-7,10
407.75,-8,11
409.0,-7,12
409.25,-8,11
416.5,-9,12
416.75,-10,11
418.0,-9,12
425.5,-10,13
426.0,-9,12
433.5,-10,13
434.0,-9,12
442.0,-8,12
454.0,-9,13
462.0,-8,13
473.25,-7,12
473.5,-8,13
482.0,-9,12
486.25,-8,13
490.0,-7,12
490.25,-6,13
494.25,-5,14
498.0,-6,13
502.25,-5,14
506.0,-6,13
514.0,-5,14
518.25,-6,15
522.0,-5,14
526.25,-6,15
530.0,-5,16
534.75,-4,15
537.25,-3,14
