Position,Energy,Frequency
0.0,0,0
1.0,1,-1
4.0,2,0
6.0,3,-1
10.0,4,0
14.0,3,0
18.0,4,-1
21.0,3,0
22.0,4,0
24.0,3,-1
27.0,4,0
35.0,3,0
36.0,2,0
39.0,1,0
40.0,0,0
42.0,1,0
43.0,0,0
46.0,1,0
47.0,0,0
48.0,-1,0
56.0,-2,1
62.0,-1,0
63.0,0,-1
70.0,1,0
84.0,2,1
85.0,1,0
86.0,2,1
88.0,1,0
90.0,2,1
92.0,1,0
94.0,2,1
104.0,1,0
109.0,2,0
114.0,3,0
116.0,2,-1
117.0,3,0
120.0,2,0
126.0,3,-1
127.0,4,0
135.0,5,0
140.0,4,0
145.0,5,0
147.0,4,1
150.0,3,0
158.0,2,-1
159.0,3,0
165.0,4,0
179.0,3,1
183.0,2,0
197.0,3,1
198.0,4,0
199.0,5,0
202.0,4,0
220.0,5,-1
221.0,4,0
223.0,3,0
227.0,4,-1
230.0,3,-2
253.0,4,-1
255.0,5,-1
267.0,4,-2
280.0,3,-1
300.0,4,-1
312.0,3,-2
331.0,2,-1
332.0,3,0
344.0,4,-1
364.0,3,-1
376.0,4,0
382.0,3,1
395.0,2,1
396.0,3,0
397.0,2,-1
398.0,3,0
399.0,4,0
408.0,3,1
410.0,4,0
428.0,3,1
432.0,2,0
439.0,3,0
440.0,2,1
446.0,1,2
451.0,2,1
452.0,3,2
454.0,2,3
455.0,3,4
459.0,4,3
461.0,3,4
462.0,4,3
464.0,5,2
468.0,4,3
472.0,3,4
475.0,2,3
494.0,3,4
495.0,4,3
498.0,5,4
501.0,4,5
502.0,5,6
503.0,6,5
515.0,5,4
520.0,6,4
536.0,5,5
537.0,4,4
548.0,3,3
552.0,2,4
556.0,3,3
558.0,4,4
565.0,5,3
568.0,4,4
569.0,5,3
584.0,6,3
600.0,5,3
606.0,4,2
620.0,3,3
624.0,2,2
628.0,1,3
629.0,2,2
640.0,3,3
644.0,2,2
648.0,1,3
664.0,2,2
666.0,1,3
668.0,0,2
680.0,1,3
681.0,2,2
682.0,1,3
683.0,0,4
684.0,-1,3
685.0,0,2
687.0,-1,1
696.0,0,0
698.0,-1,1
699.0,0,1
708.0,-1,2
720.0,-2,3
731.0,-3,2
732.0,-2,1
738.0,-3,2
746.0,-2,1
748.0,-3,2
751.0,-4,1
764.0,-3,2
776.0,-4,3
780.0,-3,2
782.0,-4,2
783.0,-3,1
792.0,-4,1
800.0,-5,2
808.0,-4,1
812.0,-3,2
824.0,-2,1
825.0,-3,2
832.0,-2,1
838.0,-3,2
840.0,-2,1
844.0,-1,0
856.0,0,1
864.0,-1,0
872.0,0,0
888.0,-1,1
891.0,0,0
896.0,-1,0
902.0,-2,0
904.0,-1,0
917.0,-2,1
920.0,-1,0
921.0,-2,-1
935.0,-3,0
936.0,-2,-1
940.0,-3,0
952.0,-2,-1
957.0,-3,0
968.0,-2,-1
984.0,-3,0
987.0,-2,-1
989.0,-3,0
1004.0,-2,-1
1005.0,-3,0
1006.0,-2,1
1007.0,-3,0
1012.0,-2,1
1016.0,-3,2
1020.0,-4,2
1024.0,-3,1
1025.0,-4,1
1026.0,-3,0
1027.0,-4,1
1028.0,-5,0
1029.0,-6,1
1030.0,-5,0
1032.0,-6,1
1033.0,-5,2
1034.0,-4,1
1048.0,-5,2
1052.0,-6,1
1056.0,-5,2
1057.0,-4,1
1058.0,-3,2
1072.0,-4,3
1080.0,-3,2
1082.0,-2,1
1084.0,-3,2
1096.0,-2,3
1104.0,-3,4
1106.0,-4,3
1108.0,-5,2
1110.0,-4,3
1112.0,-5,2
1114.0,-4,1
1116.0,-5,2
1118.0,-6,1
1120.0,-5,0
1121.0,-4,1
1122.0,-5,0
1123.0,-6,-1
1124.0,-5,0
1125.0,-6,-1
1128.0,-5,0
1140.0,-6,1
1142.0,-7,0
1144.0,-8,-1
1151.0,-7,0
1152.0,-6,0
1154.0,-7,-1
1159.0,-6,-2
1160.0,-5,-1
1161.0,-6,-1
1176.0,-5,-2
1177.0,-4,-1
1178.0,-5,-2
1179.0,-4,-1
1184.0,-5,-2
1196.0,-6,-3
1208.0,-7,-2
1210.0,-6,-1
1214.0,-5,-2
1216.0,-4,-1
1221.0,-5,-2
1222.0,-6,-1
1223.0,-5,-2
1224.0,-6,-1
1228.0,-5,-2
1232.0,-6,-1
1234.0,-5,-2
1240.0,-6,-1
1242.0,-7,-2
1252.0,-6,-3
1253.0,-7,-3
1256.0,-6,-2
1260.0,-5,-3
1261.0,-6,-3
1272.0,-5,-4
1274.0,-6,-3
1276.0,-5,-4
1278.0,-4,-5
1285.0,-3,-4
1294.0,-4,-5
1297.0,-5,-6
1298.0,-6,-5
1305.0,-5,-6
1306.0,-6,-6
1312.0,-7,-6
1328.0,-8,-5
1329.0,-7,-5
1330.0,-6,-5
1332.0,-5,-5
1333.0,-6,-6
1338.0,-5,-5
1342.0,-4,-5
1353.0,-3,-6
1358.0,-4,-7
1362.0,-3,-6
1367.0,-4,-5
1378.0,-5,-4
1384.0,-4,-5
1385.0,-5,-6
1388.0,-4,-7
1390.0,-3,-6
1404.0,-2,-7
1406.0,-3,-7
1407.0,-2,-6
1409.0,-3,-7
1413.0,-4,-8
1414.0,-3,-8
1415.0,-2,-7
1416.0,-3,-6
1419.0,-2,-7
1420.0,-1,-6
1421.0,-2,-7
1422.0,-3,-8
1425.0,-2,-8
1437.0,-3,-8
1445.0,-2,-7
1446.0,-3,-7
1447.0,-2,-6
1460.0,-3,-7
1463.0,-4,-6
1465.0,-5,-5
1467.0,-4,-6
1476.0,-3,-5
1477.0,-4,-4
1480.0,-3,-5
1481.0,-4,-5
1483.0,-3,-6
1497.0,-4,-5
1499.0,-3,-6
1500.0,-4,-7
1502.0,-5,-6
1503.0,-4,-6
1509.0,-3,-7
1527.0,-4,-6
1530.0,-5,-5
1534.0,-4,-6
1544.0,-3,-7
1560.0,-4,-6
1568.0,-5,-7
1572.0,-6,-7
1576.0,-7,-8
1580.0,-6,-7
1584.0,-5,-8
1589.0,-6,-8
1592.0,-7,-7
1593.0,-6,-8
1608.0,-5,-8
1624.0,-6,-7
1629.0,-5,-8
1630.0,-6,-8
1640.0,-7,-7
1644.0,-6,-8
1648.0,-5,-7
1652.0,-6,-8
1656.0,-5,-7
1657.0,-4,-8
1668.0,-3,-7
1669.0,-2,-7
1680.0,-3,-8
1688.0,-2,-8
1689.0,-1,-7
1690.0,-2,-6
1691.0,-3,-7
1692.0,-2,-7
1693.0,-1,-6
1698.0,-2,-7
1704.0,-1,-6
1706.0,0,-7
1707.0,1,-8
1709.0,2,-7
1711.0,1,-8
1712.0,2,-7
1713.0,1,-8
1723.0,2,-9
1732.0,3,-10
1742.0,2,-9
1744.0,3,-8
1752.0,2,-8
1755.0,3,-9
1756.0,2,-10
1758.0,1,-9
1766.0,2,-9
1770.0,1,-9
1772.0,2,-9
1788.0,3,-8
1792.0,2,-9
1794.0,3,-9
1801.0,2,-8
1806.0,3,-9
1808.0,2,-9
1809.0,3,-9
1810.0,2,-8
1811.0,3,-9
1824.0,2,-10
1826.0,1,-10
1828.0,0,-9
1835.0,1,-10
1836.0,0,-11
1846.0,1,-11
1858.0,2,-12
1864.0,1,-11
1868.0,2,-12
1870.0,1,-11
1871.0,2,-12
1872.0,3,-11
1877.0,2,-11
1878.0,3,-12
1879.0,2,-11
1880.0,1,-10
1882.0,2,-9
1884.0,3,-10
1886.0,4,-9
1888.0,3,-10
1892.0,2,-9
1896.0,3,-10
1899.0,4,-11
1900.0,3,-10
1906.0,4,-10
1912.0,3,-10
1914.0,4,-9
1915.0,5,-10
1917.0,6,-10
1922.0,7,-11
1924.0,8,-10
1926.0,7,-10
1931.0,6,-11
1932.0,7,-10
1936.0,6,-10
1940.0,7,-11
1944.0,8,-10
1958.0,7,-9
1960.0,8,-10
1963.0,9,-9
1964.0,8,-10
1968.0,9,-9
1970.0,8,-10
1972.0,7,-9
1974.0,8,-10
1976.0,7,-10
1979.0,8,-11
1988.0,7,-12
1990.0,6,-11
1996.0,7,-12
2000.0,8,-11
2001.0,9,-12
2006.0,8,-12
2022.0,7,-11
2024.0,8,-12
2026.0,9,-13
2033.0,8,-12
2039.0,9,-13
2048.0,8,-12
2051.0,7,-13
2054.0,8,-12
2055.0,9,-13
2056.0,8,-12
2057.0,9,-11
2064.0,8,-11
2065.0,9,-12
2072.0,8,-11
2076.0,7,-10
2077.0,6,-11
2082.0,7,-12
2084.0,6,-11
2085.0,7,-12
2086.0,6,-11
2087.0,7,-12
2106.0,6,-13
2108.0,7,-13
2110.0,6,-12
2111.0,5,-13
2112.0,4,-12
2116.0,3,-13
2120.0,4,-14
2121.0,5,-13
2128.0,6,-12
2130.0,5,-13
2134.0,6,-12
2135.0,5,-13
2144.0,4,-12
2145.0,5,-12
2146.0,4,-11
2152.0,3,-10
2160.0,4,-11
2164.0,3,-10
2166.0,4,-11
2168.0,3,-12
2170.0,2,-11
2172.0,1,-12
2174.0,2,-11
2176.0,3,-12
2177.0,4,-12
2178.0,3,-11
2180.0,4,-12
2181.0,3,-11
2182.0,2,-12
2183.0,3,-13
2184.0,2,-14
2185.0,1,-13
2188.0,2,-12
2197.0,3,-13
2203.0,2,-14
