Position,Energy,Frequency
13.0,0,0
14.0,-1,1
15.0,0,0
26.0,1,-1
29.0,2,0
30.0,3,-1
31.0,2,0
39.0,3,-1
40.0,4,0
42.0,3,1
44.0,4,2
45.0,3,1
47.0,4,2
50.0,5,1
55.0,6,2
56.0,5,1
58.0,6,2
59.0,7,1
62.0,6,2
63.0,7,1
70.0,8,0
82.0,7,1
92.0,6,0
95.0,7,-1
101.0,8,-1
102.0,7,-1
108.0,8,0
125.0,9,-1
128.0,8,0
140.0,9,1
145.0,8,0
152.0,7,0
153.0,6,1
156.0,7,0
158.0,8,1
159.0,7,2
160.0,8,1
166.0,9,1
170.0,8,2
174.0,7,1
176.0,6,2
178.0,7,1
179.0,8,0
180.0,7,-1
181.0,6,-1
182.0,7,0
184.0,8,0
188.0,9,1
189.0,8,1
190.0,9,2
191.0,10,1
198.0,11,1
199.0,10,1
210.0,11,1
220.0,12,0
221.0,11,1
223.0,12,0
224.0,11,1
236.0,12,1
242.0,11,0
252.0,10,1
253.0,11,0
255.0,12,0
257.0,11,1
262.0,12,0
267.0,11,1
274.0,12,0
280.0,13,0
282.0,12,-1
290.0,11,0
292.0,12,-1
296.0,11,0
316.0,12,1
317.0,13,2
318.0,14,1
319.0,13,2
320.0,14,1
321.0,13,0
322.0,12,-1
324.0,13,0
326.0,12,-1
327.0,11,-2
328.0,12,-1
330.0,11,-1
332.0,10,-2
336.0,11,-3
342.0,12,-2
346.0,11,-3
348.0,12,-3
350.0,11,-2
364.0,10,-1
369.0,11,-1
371.0,10,0
372.0,11,-1
374.0,12,0
375.0,11,1
376.0,10,0
378.0,11,-1
380.0,12,-1
382.0,11,0
383.0,12,-1
390.0,13,-2
402.0,12,-3
426.0,11,-3
445.0,12,-2
446.0,13,-2
448.0,14,-3
456.0,15,-2
466.0,14,-3
468.0,15,-2
470.0,14,-1
474.0,15,-2
476.0,14,-3
477.0,13,-2
479.0,14,-3
484.0,15,-4
492.0,14,-3
500.0,15,-4
508.0,16,-4
509.0,15,-3
510.0,14,-4
512.0,15,-3
513.0,14,-2
516.0,13,-1
528.0,14,-1
529.0,13,-2
530.0,14,-3
538.0,15,-3
539.0,14,-2
543.0,13,-1
546.0,14,-1
562.0,15,-1
566.0,14,0
576.0,15,-1
577.0,14,0
585.0,13,0
592.0,12,1
596.0,13,2
601.0,12,1
602.0,13,0
612.0,14,-1
615.0,13,-2
621.0,14,-1
637.0,15,-2
638.0,14,-1
639.0,15,-1
641.0,14,-1
643.0,13,-2
646.0,14,-2
659.0,13,-3
660.0,14,-2
661.0,13,-1
665.0,14,-2
669.0,13,-1
673.0,14,-2
677.0,13,-2
683.0,12,-1
685.0,13,0
691.0,14,-1
692.0,13,-2
693.0,14,-1
694.0,13,-1
696.0,14,-1
697.0,13,-2
702.0,12,-2
708.0,13,-1
717.0,12,0
730.0,13,1
732.0,12,0
734.0,13,-1
736.0,12,0
739.0,13,1
740.0,14,0
741.0,13,1
742.0,14,0
743.0,15,1
744.0,14,1
746.0,15,0
748.0,14,0
760.0,15,-1
764.0,14,0
775.0,15,1
796.0,16,0
798.0,15,0
799.0,16,1
800.0,17,0
801.0,16,1
802.0,17,1
803.0,18,1
818.0,17,1
822.0,18,1
831.0,17,0
836.0,16,1
840.0,15,0
846.0,14,1
851.0,15,0
852.0,16,1
854.0,15,1
856.0,16,0
860.0,15,-1
861.0,14,-1
862.0,15,-1
863.0,14,0
866.0,15,-1
868.0,14,-2
870.0,15,-1
872.0,14,-2
882.0,13,-1
883.0,14,-2
884.0,13,-2
886.0,14,-1
890.0,15,-2
892.0,14,-3
893.0,13,-2
894.0,14,-1
895.0,15,-2
904.0,14,-1
906.0,15,0
914.0,16,-1
920.0,15,-2
924.0,14,-3
925.0,15,-2
927.0,14,-3
930.0,13,-4
932.0,14,-3
934.0,13,-4
936.0,14,-5
937.0,13,-4
938.0,14,-3
940.0,13,-3
949.0,12,-2
950.0,11,-3
952.0,12,-4
956.0,11,-4
957.0,10,-3
958.0,11,-4
959.0,12,-5
964.0,11,-4
966.0,10,-3
968.0,11,-4
970.0,10,-3
972.0,11,-2
978.0,10,-3
984.0,9,-4
988.0,10,-3
989.0,9,-2
991.0,10,-3
994.0,9,-2
996.0,10,-2
998.0,9,-1
999.0,8,-2
1000.0,9,-3
1001.0,8,-2
1002.0,7,-3
1004.0,8,-2
1006.0,7,-1
1020.0,8,-2
1022.0,7,-1
1023.0,6,-2
1024.0,7,-2
1031.0,6,-1
1032.0,7,-2
1042.0,6,-2
1054.0,7,-1
1055.0,6,-1
1060.0,7,-2
1064.0,6,-2
1066.0,7,-1
1068.0,6,0
1070.0,7,-1
1071.0,8,0
1084.0,9,0
1085.0,8,0
1087.0,7,1
1093.0,8,0
1094.0,7,1
1095.0,8,2
1097.0,7,3
1098.0,8,2
1099.0,7,3
1100.0,8,4
1107.0,7,3
1108.0,8,2
1110.0,9,3
1111.0,8,4
1116.0,9,3
1119.0,10,2
1125.0,9,2
1126.0,10,1
1127.0,9,1
1128.0,8,0
1130.0,7,1
1131.0,8,2
1132.0,7,1
1133.0,8,0
1142.0,7,-1
1148.0,8,0
1151.0,7,1
1157.0,8,0
1159.0,7,-1
1161.0,8,0
1162.0,9,-1
1164.0,8,-2
1170.0,7,-1
1172.0,8,0
1178.0,9,-1
1180.0,8,-2
1182.0,7,-1
1183.0,8,0
1186.0,7,-1
1188.0,8,0
1189.0,7,-1
1194.0,8,-2
1195.0,7,-1
1199.0,6,0
1205.0,7,-1
1206.0,8,-2
1208.0,9,-2
1215.0,8,-2
1219.0,7,-1
1236.0,8,0
1237.0,9,-1
1245.0,8,0
1252.0,7,-1
1262.0,8,0
1266.0,7,1
1271.0,8,1
1274.0,7,0
1277.0,8,-1
1278.0,9,-1
1279.0,8,0
1283.0,9,0
1284.0,10,-1
1285.0,9,0
1288.0,8,0
1290.0,9,-1
1291.0,10,-2
1292.0,9,-1
1301.0,10,-2
1317.0,9,-1
1318.0,10,-2
1327.0,11,-1
1337.0,12,-1
1350.0,11,0
1354.0,12,-1
1364.0,11,-1
1370.0,12,-1
1372.0,13,0
1374.0,14,1
1379.0,13,1
1383.0,14,0
1384.0,13,0
1405.0,14,0
1407.0,13,0
1412.0,14,1
1413.0,13,1
1414.0,12,0
1420.0,11,1
1422.0,12,1
1426.0,13,0
1432.0,12,-1
1434.0,13,0
1436.0,14,-1
1438.0,13,0
1439.0,12,-1
1446.0,13,0
1458.0,14,-1
1459.0,15,-2
1474.0,14,-1
1475.0,13,-2
1478.0,14,-1
1481.0,13,-2
1483.0,14,-3
1486.0,15,-2
1492.0,14,-2
1495.0,13,-3
1496.0,14,-4
1499.0,13,-4
1503.0,12,-3
1513.0,11,-3
1514.0,10,-3
1519.0,11,-2
1522.0,12,-1
1526.0,11,-2
1532.0,12,-1
1534.0,11,-2
1538.0,10,-2
1541.0,11,-1
1544.0,10,-2
1557.0,11,-1
1558.0,10,-2
1562.0,11,-1
1567.0,10,-1
1572.0,9,0
1574.0,10,1
1576.0,9,0
1577.0,8,1
1580.0,9,2
1584.0,8,1
1588.0,9,2
1590.0,10,2
1591.0,9,1
1593.0,8,0
1600.0,9,1
1608.0,8,2
1609.0,9,3
1615.0,8,2
1616.0,7,3
1623.0,6,2
1631.0,7,1
1632.0,6,0
1634.0,7,1
1639.0,8,2
1640.0,9,1
1641.0,8,2
1643.0,7,3
1655.0,8,2
1657.0,7,2
1659.0,8,3
1663.0,7,4
1666.0,6,3
1667.0,7,2
1671.0,6,1
1672.0,7,2
1675.0,6,1
1677.0,7,2
1679.0,6,3
1688.0,7,2
1690.0,6,1
1692.0,5,0
1693.0,6,1
1695.0,7,2
1700.0,8,3
1701.0,9,4
1723.0,8,3
1727.0,9,4
1730.0,8,3
1740.0,9,4
1741.0,8,3
1743.0,9,2
1752.0,8,3
1754.0,9,4
1769.0,10,4
1783.0,9,3
1784.0,8,4
1785.0,7,3
1786.0,6,4
1787.0,7,5
1788.0,6,6
1789.0,7,5
1790.0,6,5
1791.0,5,6
1804.0,6,7
1806.0,5,6
1816.0,6,7
1824.0,5,8
1832.0,6,7
1838.0,7,8
1850.0,6,9
1851.0,7,8
1852.0,6,7
1855.0,7,8
1864.0,6,7
1868.0,5,8
1881.0,6,9
1884.0,7,8
1887.0,6,7
1891.0,7,6
1894.0,8,7
1895.0,7,6
1900.0,6,5
1901.0,5,6
1902.0,6,5
1903.0,5,6
1905.0,6,5
1910.0,5,6
1911.0,4,6
1919.0,5,7
1924.0,4,6
1927.0,5,5
1928.0,4,6
1934.0,5,6
1944.0,6,6
1954.0,5,5
1965.0,4,4
1976.0,5,5
1977.0,4,5
1984.0,3,6
1988.0,4,7
1990.0,3,6
1992.0,4,7
1994.0,3,7
1996.0,4,6
2000.0,3,6
2006.0,2,5
2007.0,1,6
2008.0,2,6
2011.0,3,5
2016.0,2,4
2020.0,3,5
2022.0,2,4
2024.0,1,5
2026.0,2,6
2028.0,1,5
2030.0,0,5
2032.0,1,6
2044.0,2,5
2054.0,1,4
2055.0,0,5
2056.0,1,5
2060.0,0,4
2064.0,1,3
2068.0,0,4
2071.0,1,3
2072.0,0,3
2075.0,1,4
2077.0,0,3
2078.0,-1,2
2079.0,0,1
2080.0,1,1
2084.0,0,2
2088.0,-1,1
2090.0,0,0
2096.0,1,0
2103.0,0,1
2112.0,-1,0
2114.0,-2,1
2121.0,-1,0
2129.0,-2,1
