Position,Energy,Frequency
4.0,0,0
9.0,-1,-1
10.0,0,0
12.0,-1,0
16.0,-2,0
24.0,-3,-1
26.0,-2,0
28.0,-3,-1
30.0,-2,0
34.0,-1,1
36.0,0,2
40.0,1,1
42.0,0,2
44.0,-1,1
46.0,0,2
47.0,-1,2
48.0,-2,2
52.0,-1,2
56.0,-2,1
58.0,-3,2
60.0,-2,1
62.0,-3,2
68.0,-4,1
72.0,-3,2
74.0,-2,3
76.0,-3,2
78.0,-4,3
88.0,-3,2
90.0,-2,1
96.0,-3,2
106.0,-2,2
108.0,-3,1
110.0,-4,2
126.0,-3,3
129.0,-4,4
130.0,-3,3
132.0,-4,4
142.0,-5,3
158.0,-6,4
159.0,-7,4
164.0,-6,3
190.0,-5,4
194.0,-6,5
220.0,-7,4
221.0,-6,5
222.0,-7,4
224.0,-6,3
226.0,-5,4
228.0,-6,3
230.0,-5,3
238.0,-6,3
246.0,-7,4
254.0,-6,5
255.0,-7,4
260.0,-6,3
264.0,-5,4
272.0,-6,4
276.0,-5,3
278.0,-6,3
290.0,-7,4
292.0,-8,4
293.0,-7,3
294.0,-8,4
296.0,-7,3
298.0,-6,4
300.0,-7,4
302.0,-6,5
308.0,-7,4
310.0,-6,5
312.0,-7,4
314.0,-8,3
316.0,-9,4
322.0,-8,3
324.0,-9,3
325.0,-8,4
330.0,-9,3
332.0,-10,4
344.0,-9,5
348.0,-10,5
356.0,-9,4
358.0,-8,4
362.0,-9,4
374.0,-10,5
378.0,-9,6
380.0,-10,7
382.0,-11,6
384.0,-12,7
386.0,-11,6
388.0,-10,7
400.0,-11,7
402.0,-12,7
412.0,-11,8
413.0,-10,7
414.0,-9,6
415.0,-10,7
416.0,-9,6
422.0,-8,6
430.0,-9,7
431.0,-8,8
436.0,-9,7
445.0,-8,6
446.0,-7,6
447.0,-8,6
450.0,-7,6
454.0,-8,5
461.0,-7,6
462.0,-6,7
477.0,-7,6
478.0,-8,5
479.0,-7,6
495.0,-6,5
506.0,-5,4
520.0,-4,5
538.0,-5,6
542.0,-6,5
543.0,-5,4
552.0,-6,3
560.0,-7,4
564.0,-8,3
566.0,-9,4
572.0,-8,3
576.0,-7,2
594.0,-8,1
596.0,-9,2
602.0,-8,1
615.0,-7,2
618.0,-8,1
619.0,-7,2
634.0,-8,1
640.0,-9,0
642.0,-10,0
644.0,-9,1
668.0,-10,0
669.0,-9,1
670.0,-10,2
671.0,-11,1
680.0,-12,2
682.0,-11,1
690.0,-12,0
692.0,-13,0
693.0,-12,1
698.0,-13,0
701.0,-12,0
714.0,-11,1
722.0,-12,0
725.0,-11,0
726.0,-10,-1
730.0,-11,-1
734.0,-10,0
736.0,-9,-1
740.0,-10,-2
752.0,-9,-1
754.0,-8,-2
756.0,-9,-1
762.0,-10,-2
768.0,-9,-2
771.0,-10,-1
772.0,-11,-2
773.0,-10,-1
780.0,-9,-1
794.0,-10,-2
796.0,-11,-1
814.0,-10,-2
830.0,-9,-1
832.0,-10,0
834.0,-11,-1
846.0,-10,-1
848.0,-11,0
858.0,-10,0
862.0,-11,0
863.0,-12,1
864.0,-11,0
881.0,-12,1
882.0,-13,0
888.0,-12,1
889.0,-13,0
890.0,-12,0
896.0,-11,-1
926.0,-12,0
927.0,-11,0
938.0,-10,1
944.0,-11,0
945.0,-10,1
946.0,-11,0
956.0,-10,-1
959.0,-9,0
960.0,-8,-1
962.0,-7,0
966.0,-6,-1
974.0,-7,-1
980.0,-8,0
990.0,-7,-1
994.0,-8,-2
996.0,-7,-2
1000.0,-6,-2
1002.0,-7,-1
1006.0,-6,-2
1010.0,-5,-3
1012.0,-4,-4
