Position,Energy,Frequency
0.0,0,0
8.0,1,0
20.0,0,-1
24.0,1,0
40.0,0,-1
56.0,1,-2
64.0,0,-3
72.0,1,-2
76.0,0,-1
88.0,1,-2
96.0,0,-3
104.0,-1,-2
116.0,-2,-3
120.0,-1,-2
121.0,-2,-3
136.0,-1,-3
148.0,-2,-2
152.0,-1,-2
168.0,0,-1
184.0,-1,0
200.0,0,-1
201.0,-1,-2
203.0,0,-3
204.0,1,-2
216.0,2,-3
223.0,1,-4
232.0,2,-3
236.0,1,-4
248.0,2,-3
267.0,3,-4
270.0,4,-3
271.0,3,-4
272.0,4,-3
275.0,3,-4
276.0,4,-5
288.0,3,-6
292.0,2,-5
300.0,3,-6
307.0,4,-5
308.0,3,-6
309.0,4,-5
310.0,3,-6
315.0,4,-7
319.0,5,-6
324.0,6,-7
334.0,5,-6
336.0,6,-7
340.0,5,-8
352.0,6,-7
357.0,7,-8
358.0,6,-8
360.0,5,-7
363.0,6,-8
372.0,5,-8
376.0,6,-7
377.0,5,-6
383.0,6,-7
387.0,7,-6
388.0,8,-7
392.0,7,-8
401.0,6,-8
408.0,5,-7
420.0,6,-8
423.0,5,-8
424.0,4,-9
427.0,3,-8
431.0,4,-9
433.0,5,-8
435.0,4,-9
439.0,3,-8
443.0,4,-8
456.0,3,-9
457.0,2,-9
459.0,3,-8
462.0,4,-9
465.0,3,-9
479.0,4,-8
480.0,5,-9
481.0,4,-8
485.0,3,-9
486.0,4,-10
488.0,5,-9
489.0,4,-10
491.0,5,-11
493.0,6,-12
495.0,5,-11
498.0,6,-12
502.0,5,-11
512.0,6,-12
515.0,5,-11
518.0,4,-12
520.0,3,-12
521.0,4,-11
524.0,5,-12
526.0,4,-11
527.0,5,-12
528.0,6,-13
529.0,7,-12
533.0,6,-13
534.0,5,-12
536.0,6,-11
540.0,5,-10
542.0,6,-11
555.0,7,-11
560.0,6,-11
563.0,5,-10
564.0,6,-10
566.0,5,-11
570.0,6,-10
577.0,7,-11
581.0,8,-12
585.0,7,-11
592.0,8,-12
593.0,7,-11
594.0,6,-12
602.0,7,-11
605.0,8,-10
612.0,7,-11
635.0,8,-12
636.0,7,-11
639.0,6,-12
640.0,5,-13
644.0,4,-12
646.0,5,-13
650.0,4,-12
653.0,5,-13
654.0,4,-12
655.0,5,-12
656.0,4,-11
659.0,3,-12
666.0,4,-11
671.0,5,-11
672.0,4,-12
676.0,5,-11
677.0,6,-11
682.0,5,-12
692.0,6,-13
693.0,7,-12
698.0,8,-11
703.0,9,-11
704.0,8,-12
706.0,9,-11
707.0,8,-12
716.0,7,-11
717.0,8,-10
719.0,7,-11
720.0,8,-10
724.0,7,-9
729.0,8,-10
730.0,7,-10
742.0,8,-11
746.0,7,-10
748.0,8,-11
764.0,7,-10
768.0,6,-11
770.0,7,-10
782.0,6,-11
784.0,7,-10
785.0,6,-10
786.0,7,-9
793.0,8,-10
794.0,7,-9
799.0,6,-9
810.0,7,-10
812.0,6,-11
813.0,7,-10
816.0,8,-11
818.0,7,-11
819.0,6,-10
824.0,7,-9
826.0,8,-9
831.0,9,-9
832.0,8,-10
848.0,7,-9
849.0,8,-8
851.0,7,-8
857.0,6,-9
858.0,5,-8
859.0,6,-8
870.0,7,-9
876.0,8,-8
884.0,9,-8
893.0,8,-7
896.0,9,-8
898.0,8,-9
912.0,7,-8
914.0,8,-9
928.0,7,-8
929.0,6,-9
930.0,7,-8
931.0,6,-9
932.0,7,-8
933.0,6,-9
938.0,7,-8
940.0,6,-7
956.0,7,-8
958.0,6,-7
959.0,7,-8
963.0,8,-7
964.0,7,-6
979.0,6,-7
980.0,7,-6
985.0,8,-5
996.0,9,-5
1002.0,8,-4
1008.0,9,-5
1016.0,8,-5
1020.0,9,-4
1022.0,8,-5
1024.0,9,-5
1027.0,8,-6
1028.0,9,-5
1029.0,10,-6
1040.0,9,-6
1041.0,10,-6
1042.0,9,-7
1043.0,10,-8
1044.0,9,-8
1046.0,10,-7
1047.0,9,-7
1050.0,10,-6
1052.0,11,-7
1056.0,12,-6
1058.0,13,-7
1060.0,12,-6
1062.0,13,-7
1063.0,14,-6
1075.0,13,-7
1077.0,14,-6
1083.0,15,-7
1088.0,14,-8
1092.0,15,-7
1094.0,16,-6
1096.0,15,-5
1105.0,16,-6
1107.0,15,-5
1108.0,16,-6
1120.0,17,-5
1124.0,16,-6
1125.0,17,-7
1126.0,18,-6
1128.0,19,-6
1136.0,18,-7
1137.0,19,-6
1138.0,18,-7
1139.0,19,-6
1156.0,20,-7
1170.0,21,-6
1171.0,20,-5
1173.0,19,-5
1174.0,20,-4
1175.0,19,-5
1184.0,18,-6
1186.0,17,-5
1191.0,16,-6
1202.0,17,-5
1203.0,16,-4
