Position,Energy,Frequency
0.0,0,0
4.25,1,-1
4.5,0,-1
5.0,1,-1
5.25,0,0
5.5,-1,1
8.5,0,2
8.75,-1,1
12.0,0,1
12.25,-1,1
12.5,0,1
16.0,-1,2
16.25,0,3
16.5,-1,2
16.75,0,3
17.0,-1,2
17.5,-2,3
20.0,-1,2
20.25,0,2
20.75,-1,1
21.0,0,2
21.25,-1,2
23.5,0,1
23.75,1,2
24.0,0,2
24.25,1,2
24.5,0,3
24.75,1,2
26.75,0,3
31.75,1,2
32.0,0,3
32.25,-1,4
32.5,0,3
32.75,-1,3
33.75,0,4
35.25,-1,3
36.25,0,2
36.75,1,3
37.75,0,2
39.75,-1,1
41.75,0,2
42.25,-1,3
43.25,0,4
47.75,1,3
48.25,0,3
48.5,1,4
49.75,2,4
50.75,1,4
51.25,2,3
51.75,1,2
52.75,0,3
53.75,1,2
54.75,0,3
55.75,1,2
59.75,0,3
60.75,1,2
61.75,0,3
62.75,1,3
63.25,2,2
63.75,1,3
64.0,2,2
64.25,1,1
64.75,2,2
65.75,3,1
66.75,2,2
67.75,1,1
68.25,2,2
68.75,3,1
69.75,2,2
70.75,1,1
71.75,0,2
72.75,1,1
73.75,0,2
74.75,-1,2
75.75,-2,2
76.75,-3,1
77.75,-2,0
79.75,-3,1
80.75,-2,0
81.75,-3,1
82.75,-4,2
83.75,-5,2
84.75,-4,1
85.75,-3,0
88.75,-4,1
89.75,-3,1
90.75,-4,0
91.75,-3,1
92.75,-4,0
93.75,-3,1
95.25,-2,0
95.75,-3,1
96.0,-2,0
96.25,-3,-1
96.5,-4,-2
97.75,-5,-1
98.75,-6,0
99.75,-5,1
101.75,-4,0
103.75,-5,1
104.75,-6,2
105.75,-5,1
109.75,-4,1
110.75,-5,0
112.75,-6,1
115.75,-5,0
116.75,-6,1
117.75,-5,0
121.75,-6,1
123.25,-7,0
123.75,-6,1
124.0,-7,2
124.5,-6,3
124.75,-7,3
125.0,-8,2
125.25,-7,3
125.5,-8,2
125.75,-7,2
127.25,-6,1
127.75,-5,0
128.75,-6,1
129.0,-5,2
129.75,-6,1
135.75,-5,2
137.75,-6,1
138.75,-7,2
139.0,-8,1
139.75,-7,2
143.75,-6,3
144.25,-7,2
144.5,-6,1
144.75,-7,0
145.25,-8,-1
145.75,-7,0
148.0,-8,-1
148.25,-7,-2
149.75,-8,-1
151.5,-7,-2
151.75,-6,-1
152.0,-7,0
152.25,-6,-1
153.75,-5,0
154.25,-4,-1
154.5,-3,0
154.75,-4,-1
155.0,-3,-2
155.75,-4,-1
158.75,-5,-2
159.75,-4,-1
160.0,-3,0
160.5,-2,-1
160.75,-3,0
161.0,-2,-1
161.75,-3,0
162.25,-2,-1
167.75,-1,0
168.0,-2,0
168.75,-1,1
169.75,-2,0
171.75,-1,1
175.75,0,0
176.25,-1,1
177.75,0,2
181.25,1,1
182.25,0,1
183.25,-1,1
183.5,0,0
183.75,1,1
184.75,2,1
185.75,1,0
186.25,0,1
186.5,1,0
187.25,0,-1
188.0,-1,0
188.75,0,1
189.75,1,0
191.25,2,1
192.0,1,0
193.25,0,-1
196.25,1,-2
197.25,0,-1
197.75,1,-2
198.75,2,-1
200.25,1,-1
200.75,0,0
203.25,-1,1
204.25,0,0
206.75,1,0
207.75,0,1
210.75,1,0
212.0,0,1
212.5,-1,0
213.25,0,1
214.75,1,0
215.75,0,1
218.75,1,0
220.25,0,1
222.75,-1,0
223.25,-2,-1
223.75,-1,0
226.75,0,1
227.75,-1,0
230.75,0,1
231.75,-1,1
232.0,0,2
232.25,1,1
233.25,0,2
233.75,-1,2
234.75,0,1
235.75,-1,2
236.25,0,1
237.25,1,0
238.75,0,1
239.0,-1,0
242.75,0,-1
244.75,1,-2
246.75,2,-1
249.25,3,-2
250.25,2,-1
250.75,1,-2
254.75,2,-2
255.25,3,-1
255.75,2,0
256.0,3,-1
256.5,2,0
256.75,1,1
258.75,2,0
260.75,1,-1
261.75,0,-2
262.75,-1,-2
263.75,0,-1
264.25,-1,0
264.75,0,-1
265.75,-1,0
266.75,0,-1
267.75,-1,0
268.75,0,1
269.75,1,0
270.75,0,-1
271.75,1,0
272.25,0,1
272.75,-1,2
273.75,0,1
274.75,-1,2
275.75,-2,2
277.75,-1,1
278.75,-2,2
279.75,-3,1
280.75,-2,1
281.75,-1,2
282.75,-2,1
283.25,-1,2
283.75,-2,1
287.25,-1,0
288.0,-2,1
288.25,-3,0
288.75,-2,1
289.75,-1,2
290.75,-2,3
291.75,-1,2
292.75,-2,2
293.75,-1,1
294.75,-2,2
295.75,-1,2
296.75,-2,1
297.75,-3,2
298.75,-2,3
299.75,-3,2
301.75,-2,3
303.75,-3,4
305.75,-2,3
306.75,-3,2
307.75,-2,3
308.75,-3,3
309.75,-2,2
312.75,-3,3
313.75,-2,3
314.75,-3,3
316.25,-2,3
316.75,-1,2
317.25,0,3
317.5,-1,2
317.75,-2,1
319.25,-1,2
319.75,-2,1
321.75,-1,2
325.75,-2,1
327.75,-1,2
328.0,0,1
329.25,1,0
329.75,0,1
330.25,-1,0
330.5,0,1
331.75,1,0
333.75,0,1
335.75,1,0
336.0,0,1
336.25,-1,0
337.25,0,1
337.75,-1,2
338.25,-2,1
338.75,-3,0
339.0,-2,1
339.75,-1,0
341.75,-2,-1
343.75,-1,-2
344.0,-2,-1
345.25,-3,-2
345.75,-2,-1
346.0,-3,-2
346.25,-2,-1
346.5,-1,-2
348.25,-2,-3
349.25,-3,-2
349.75,-4,-1
350.25,-3,-2
350.75,-4,-3
351.25,-3,-2
351.75,-4,-1
352.5,-5,-2
353.75,-4,-1
355.75,-5,-2
356.25,-4,-3
357.75,-5,-3
358.75,-6,-3
359.75,-7,-2
360.5,-6,-3
361.75,-5,-2
362.75,-4,-3
363.75,-5,-2
365.25,-4,-1
365.75,-5,-2
366.75,-6,-1
367.25,-7,0
367.75,-6,-1
368.0,-7,-2
369.75,-6,-1
371.75,-7,0
375.5,-8,1
375.75,-9,2
