Position,Energy,Frequency
8.0,0,0
9.0,1,0
12.0,0,1
30.0,1,2
32.0,0,1
34.0,-1,0
52.0,-2,0
53.0,-1,1
58.0,0,1
60.0,1,2
62.0,0,1
72.0,1,2
74.0,2,2
78.0,3,1
93.0,2,2
94.0,1,1
96.0,2,2
97.0,3,2
98.0,2,3
102.0,1,4
115.0,2,3
120.0,1,4
122.0,2,3
124.0,1,4
126.0,2,4
127.0,3,5
129.0,4,6
131.0,5,5
132.0,6,6
150.0,5,7
154.0,6,6
166.0,5,7
173.0,4,6
179.0,5,5
185.0,6,5
186.0,5,6
187.0,4,5
189.0,3,5
191.0,4,4
198.0,5,3
207.0,4,4
214.0,3,3
223.0,4,4
231.0,3,3
238.0,4,3
240.0,3,4
241.0,4,5
268.0,5,4
272.0,4,3
285.0,5,2
296.0,4,2
303.0,3,3
310.0,4,3
314.0,3,3
316.0,2,3
317.0,3,4
318.0,4,3
326.0,5,4
330.0,6,3
336.0,5,2
337.0,4,3
338.0,5,2
339.0,4,3
340.0,3,4
341.0,4,3
342.0,3,3
343.0,2,4
344.0,1,3
345.0,2,4
346.0,1,3
347.0,0,3
348.0,1,2
349.0,0,3
354.0,1,2
356.0,0,3
357.0,1,4
358.0,0,3
362.0,1,4
363.0,2,3
366.0,1,4
368.0,0,3
369.0,1,2
370.0,0,3
371.0,1,4
372.0,0,3
373.0,1,4
374.0,2,3
375.0,1,4
376.0,0,3
377.0,1,4
378.0,2,3
379.0,1,3
380.0,0,4
381.0,1,3
382.0,0,2
386.0,1,1
389.0,2,2
390.0,3,3
391.0,2,4
401.0,1,3
402.0,0,3
403.0,1,4
407.0,0,5
414.0,-1,6
418.0,0,5
419.0,1,6
423.0,0,7
430.0,1,6
431.0,0,7
433.0,-1,7
434.0,0,6
435.0,-1,5
436.0,-2,5
438.0,-1,4
439.0,0,5
446.0,-1,4
447.0,-2,5
450.0,-1,4
451.0,0,3
453.0,-1,4
454.0,0,4
455.0,-1,3
457.0,-2,4
463.0,-1,4
465.0,-2,5
466.0,-3,6
467.0,-4,6
468.0,-3,5
471.0,-4,4
474.0,-5,5
475.0,-6,6
476.0,-5,5
477.0,-6,6
478.0,-5,5
479.0,-6,4
482.0,-5,5
483.0,-6,5
485.0,-5,6
487.0,-6,7
494.0,-5,6
497.0,-6,7
498.0,-7,7
499.0,-6,6
501.0,-7,5
502.0,-6,6
503.0,-5,7
505.0,-6,7
506.0,-5,7
507.0,-6,6
