Position,Energy,Frequency
0.0,0,0
2.0,1,0
4.0,0,1
5.0,1,0
6.0,0,0
7.0,1,-1
8.0,0,0
10.0,1,-1
12.0,0,0
13.0,-1,-1
14.0,0,0
15.0,-1,-1
16.0,0,-1
23.0,-1,0
31.0,-2,1
32.0,-1,0
34.0,-2,0
35.0,-1,1
36.0,-2,0
39.0,-3,1
44.0,-4,0
45.0,-3,1
48.0,-2,1
50.0,-3,1
55.0,-2,1
59.0,-3,0
61.0,-2,1
64.0,-3,0
66.0,-2,0
68.0,-3,1
71.0,-2,0
72.0,-3,-1
74.0,-2,0
76.0,-3,0
77.0,-4,0
80.0,-3,-1
87.0,-4,-2
90.0,-3,-1
92.0,-4,-2
93.0,-3,-1
96.0,-4,-1
98.0,-5,0
100.0,-4,0
103.0,-3,-1
104.0,-4,-1
106.0,-5,-2
108.0,-4,-1
112.0,-3,-2
129.0,-4,-3
131.0,-3,-2
136.0,-4,-3
147.0,-5,-2
157.0,-4,-3
164.0,-3,-4
167.0,-4,-3
168.0,-3,-4
170.0,-4,-3
173.0,-3,-3
180.0,-4,-4
184.0,-3,-3
188.0,-4,-2
189.0,-3,-3
191.0,-2,-4
195.0,-3,-3
200.0,-2,-4
205.0,-1,-4
207.0,-2,-5
208.0,-1,-4
209.0,0,-3
211.0,-1,-3
215.0,0,-4
219.0,-1,-3
222.0,-2,-4
226.0,-1,-5
232.0,-2,-4
235.0,-1,-4
238.0,-2,-4
239.0,-3,-3
241.0,-2,-4
242.0,-1,-5
243.0,0,-5
244.0,-1,-5
245.0,-2,-5
246.0,-1,-4
247.0,0,-5
248.0,-1,-5
250.0,-2,-4
256.0,-3,-5
258.0,-2,-4
260.0,-3,-5
263.0,-2,-5
266.0,-3,-4
268.0,-4,-4
272.0,-3,-4
279.0,-2,-5
282.0,-1,-4
284.0,-2,-3
287.0,-1,-4
288.0,0,-4
293.0,-1,-5
307.0,-2,-4
310.0,-3,-5
311.0,-2,-5
312.0,-3,-4
314.0,-4,-3
316.0,-3,-2
317.0,-4,-1
318.0,-3,0
319.0,-2,-1
320.0,-3,0
330.0,-4,-1
332.0,-3,-2
336.0,-4,-1
343.0,-5,-2
346.0,-6,-1
348.0,-5,0
351.0,-6,-1
352.0,-5,-1
359.0,-6,0
364.0,-7,1
367.0,-6,0
368.0,-7,-1
373.0,-8,-1
378.0,-7,0
384.0,-8,1
386.0,-9,0
387.0,-8,0
389.0,-9,1
390.0,-8,2
392.0,-9,1
394.0,-8,0
395.0,-9,1
400.0,-8,0
402.0,-9,-1
405.0,-10,0
408.0,-9,-1
414.0,-10,-1
415.0,-9,0
418.0,-10,1
419.0,-9,0
420.0,-8,0
421.0,-7,0
424.0,-8,1
432.0,-9,2
434.0,-10,3
437.0,-9,2
444.0,-10,1
446.0,-9,2
447.0,-8,1
448.0,-7,0
450.0,-6,1
455.0,-7,1
458.0,-8,0
460.0,-7,1
464.0,-8,0
466.0,-7,1
468.0,-6,2
471.0,-5,1
472.0,-6,1
476.0,-5,1
480.0,-4,1
482.0,-5,2
484.0,-4,3
487.0,-3,2
488.0,-4,3
496.0,-3,3
498.0,-2,3
500.0,-3,4
504.0,-2,3
506.0,-1,4
508.0,-2,5
509.0,-3,4
515.0,-4,5
517.0,-3,6
519.0,-4,7
522.0,-3,6
523.0,-4,5
525.0,-5,6
528.0,-4,5
530.0,-5,4
531.0,-4,5
533.0,-5,6
537.0,-4,7
541.0,-3,6
542.0,-4,5
545.0,-3,6
551.0,-2,5
552.0,-3,4
553.0,-2,4
557.0,-3,5
561.0,-4,4
568.0,-3,4
571.0,-4,5
572.0,-3,4
573.0,-4,4
574.0,-5,4
581.0,-4,4
585.0,-3,4
587.0,-4,5
589.0,-3,4
591.0,-4,3
593.0,-3,4
595.0,-4,5
597.0,-3,4
599.0,-2,4
605.0,-3,3
606.0,-4,4
613.0,-3,3
614.0,-2,2
616.0,-3,3
618.0,-2,4
619.0,-3,5
621.0,-2,4
625.0,-1,3
626.0,-2,3
627.0,-3,4
628.0,-2,3
629.0,-1,4
630.0,-2,4
631.0,-3,3
644.0,-2,3
647.0,-1,4
649.0,-2,3
650.0,-1,4
656.0,0,5
663.0,1,5
668.0,0,4
671.0,1,3
672.0,0,4
677.0,1,3
684.0,0,4
691.0,1,3
694.0,0,2
695.0,1,3
696.0,2,2
698.0,1,3
701.0,0,4
702.0,1,4
703.0,2,3
704.0,1,4
711.0,0,3
720.0,-1,4
727.0,0,3
729.0,1,4
730.0,2,4
735.0,3,3
736.0,2,3
738.0,1,4
748.0,0,3
752.0,-1,4
762.0,-2,3
765.0,-3,4
768.0,-4,3
770.0,-5,4
773.0,-4,3
774.0,-5,2
776.0,-4,3
778.0,-3,3
786.0,-4,4
789.0,-3,3
792.0,-2,2
794.0,-1,3
798.0,-2,4
799.0,-1,3
802.0,0,2
803.0,-1,3
805.0,-2,4
806.0,-1,3
816.0,-2,3
818.0,-1,3
821.0,0,3
830.0,-1,4
831.0,-2,5
842.0,-1,4
845.0,-2,5
846.0,-1,4
848.0,-2,5
854.0,-1,6
858.0,-2,5
859.0,-1,5
860.0,-2,5
863.0,-1,6
866.0,0,6
867.0,-1,5
869.0,-2,5
886.0,-3,6
895.0,-2,7
