Position,Energy,Frequency
0.0,0,0
2.0,1,1
4.0,0,0
5.5,1,1
6.0,0,0
7.5,-1,1
8.0,-2,1
8.5,-3,1
10.0,-2,0
10.5,-3,-1
11.5,-2,0
15.5,-1,1
15.75,-2,0
16.5,-1,-1
17.0,-2,-2
17.75,-3,-1
18.0,-2,-2
18.5,-3,-1
19.0,-4,0
19.5,-3,-1
20.0,-2,-1
20.5,-3,-1
20.75,-4,0
21.5,-3,-1
22.75,-2,-1
26.0,-1,-2
27.5,-2,-1
30.25,-1,-1
30.75,-2,0
31.0,-3,-1
31.25,-2,0
31.5,-3,1
31.75,-2,0
32.0,-3,-1
32.25,-4,-2
32.5,-3,-1
32.75,-4,-2
33.0,-5,-1
33.25,-4,-2
34.0,-3,-3
38.0,-2,-4
38.5,-3,-3
39.5,-4,-4
40.0,-3,-3
42.0,-4,-4
44.0,-3,-5
46.0,-4,-5
47.5,-3,-4
48.0,-2,-3
50.0,-3,-4
50.25,-2,-3
51.5,-1,-2
54.0,-2,-1
56.0,-1,-2
57.0,0,-1
58.0,1,-2
62.5,2,-1
63.0,3,0
63.25,4,-1
63.75,3,-1
64.0,2,0
64.25,1,1
65.0,2,0
65.25,3,0
65.5,2,-1
70.0,1,0
71.0,2,-1
72.0,1,-2
72.5,2,-1
73.0,1,-2
73.75,2,-3
74.5,3,-3
75.0,4,-4
78.5,5,-3
79.0,4,-2
79.5,5,-1
81.0,6,-2
83.5,5,-3
86.0,6,-2
86.5,7,-3
89.75,6,-2
90.25,7,-1
90.5,8,-2
90.75,9,-2
94.5,10,-3
95.0,9,-2
95.5,8,-3
95.75,7,-2
96.25,8,-3
97.5,9,-2
97.75,10,-2
98.75,9,-1
100.0,10,-2
100.5,9,-1
101.5,10,-2
102.0,11,-1
103.5,12,0
104.0,13,-1
104.5,12,-2
104.75,13,-1
106.0,12,-2
106.5,13,-1
106.75,12,-2
107.5,11,-2
108.5,10,-3
110.0,9,-2
110.25,10,-3
110.5,9,-4
111.0,10,-3
111.5,11,-4
111.75,10,-5
112.0,11,-4
113.5,12,-3
114.0,13,-4
114.75,12,-4
115.75,11,-3
116.0,12,-4
116.25,11,-5
116.75,12,-4
119.5,11,-3
119.75,10,-4
120.0,9,-5
120.5,10,-4
122.0,9,-3
122.5,10,-4
123.5,9,-5
124.0,10,-4
124.25,9,-3
125.0,8,-4
125.75,9,-5
126.25,8,-4
128.0,7,-5
128.5,6,-6
128.75,7,-5
132.5,6,-6
133.0,7,-7
134.0,6,-6
136.5,5,-7
138.0,6,-8
138.5,5,-7
139.5,6,-8
142.5,7,-7
144.5,6,-8
147.5,5,-9
148.25,4,-8
148.5,5,-9
149.5,6,-8
149.75,5,-9
150.0,4,-8
151.25,5,-7
152.5,4,-6
152.75,5,-7
155.5,4,-6
157.5,5,-7
158.75,6,-6
160.75,5,-7
164.5,4,-6
165.0,5,-6
165.5,6,-5
165.75,5,-6
166.0,6,-5
168.5,5,-4
168.75,6,-5
170.0,5,-4
170.5,6,-5
171.5,5,-5
174.5,6,-5
174.75,7,-4
176.25,6,-5
176.5,5,-4
176.75,6,-3
178.0,7,-2
178.25,6,-3
178.5,7,-4
179.5,6,-3
180.5,7,-4
181.0,6,-3
181.75,7,-4
182.0,6,-5
183.25,7,-6
183.5,8,-6
184.5,7,-5
184.75,6,-5
186.5,5,-6
187.0,4,-5
187.25,5,-5
187.5,4,-4
188.0,3,-5
188.75,4,-4
189.0,3,-5
189.25,4,-4
189.5,5,-4
189.75,4,-5
190.5,3,-4
192.25,4,-3
192.5,5,-2
192.75,4,-2
193.5,5,-1
194.75,6,-2
197.0,5,-1
198.25,4,-2
198.5,3,-1
199.5,4,-1
200.75,3,-2
202.0,4,-1
202.5,5,-1
206.5,6,-2
206.75,7,-3
207.0,6,-4
208.5,5,-5
208.75,4,-6
209.0,3,-5
210.0,2,-4
210.5,3,-5
210.75,4,-4
211.0,3,-5
211.5,4,-4
212.75,3,-5
213.0,4,-6
213.25,5,-5
213.5,6,-6
214.25,7,-5
214.5,6,-6
215.25,5,-7
215.5,6,-8
216.75,7,-9
219.5,6,-9
222.5,7,-8
222.75,6,-7
224.5,5,-6
224.75,6,-7
226.75,5,-6
230.0,6,-7
231.0,5,-6
231.5,6,-7
232.25,7,-8
232.75,6,-9
233.5,5,-10
233.75,6,-9
234.0,5,-8
234.5,6,-9
235.0,7,-10
235.5,6,-9
238.5,7,-8
243.5,6,-9
244.5,5,-10
247.25,4,-9
247.5,3,-10
248.5,4,-10
248.75,3,-11
249.0,4,-12
249.5,3,-11
251.25,4,-12
251.75,3,-13
253.0,4,-12
254.25,3,-12
255.0,4,-11
255.25,3,-12
255.5,4,-11
256.0,3,-10
256.5,2,-11
257.25,1,-10
258.5,2,-11
260.0,1,-10
263.0,2,-11
264.0,1,-12
265.5,0,-13
266.5,1,-14
268.0,2,-14
269.5,3,-13
270.0,4,-13
271.5,3,-12
272.5,4,-11
273.5,5,-11
274.5,6,-11
277.5,5,-11
278.5,6,-10
279.0,5,-10
279.5,6,-9
280.5,5,-10
281.5,4,-9
282.5,5,-8
284.0,4,-9
284.5,3,-9
285.0,4,-8
285.5,5,-7
286.0,4,-8
286.25,3,-7
288.25,4,-8
288.5,5,-7
289.5,4,-6
289.75,3,-7
290.0,4,-8
292.75,5,-9
293.0,4,-8
294.0,5,-9
294.5,4,-10
294.75,5,-9
296.25,4,-10
296.5,5,-9
297.5,6,-10
297.75,5,-10
302.0,6,-11
302.25,5,-10
302.5,6,-11
303.0,7,-10
303.25,6,-9
304.0,7,-10
304.25,6,-9
304.5,7,-10
305.5,8,-9
305.75,7,-10
306.0,8,-9
310.0,9,-10
312.25,10,-9
312.5,11,-10
312.75,10,-10
313.5,11,-9
313.75,10,-8
314.0,11,-9
318.0,12,-9
318.5,13,-10
319.0,12,-9
319.25,11,-10
319.5,10,-11
319.75,11,-10
320.5,10,-11
320.75,11,-10
324.5,10,-9
324.75,11,-10
325.5,12,-11
328.0,13,-10
328.25,12,-11
328.5,13,-10
334.0,12,-9
334.25,13,-10
334.5,12,-9
335.0,13,-10
335.25,14,-11
336.0,15,-10
336.5,16,-11
340.5,15,-12
340.75,16,-11
341.5,15,-10
342.0,16,-11
344.5,17,-10
350.0,16,-9
350.25,17,-10
350.5,16,-9
350.75,15,-10
351.0,16,-9
351.25,17,-10
351.5,16,-11
351.75,17,-11
352.25,18,-12
353.0,19,-11
354.0,20,-12
355.0,19,-13
355.25,18,-14
356.0,19,-14
359.25,20,-14
363.25,19,-13
363.5,18,-12
364.0,19,-13
365.0,18,-13
365.25,19,-12
365.5,20,-13
366.25,19,-14
367.0,20,-15
368.0,19,-14
368.5,20,-15
369.0,21,-14
370.0,20,-14
373.5,19,-13
374.5,18,-13
377.0,17,-13
379.0,18,-14
379.75,17,-13
380.0,18,-14
380.25,17,-13
380.5,18,-14
381.0,19,-14
381.75,18,-13
382.25,19,-14
384.0,18,-15
384.25,19,-14
385.75,18,-15
386.5,19,-14
386.75,20,-13
388.5,19,-14
390.25,20,-13
391.25,21,-13
392.0,20,-14
392.25,21,-13
392.75,20,-14
394.25,21,-15
394.75,22,-15
395.75,21,-15
396.25,20,-14
398.0,21,-15
398.5,22,-14
400.75,21,-13
402.75,22,-14
403.5,21,-15
404.0,20,-14
404.25,19,-15
404.5,20,-14
406.5,19,-15
407.75,18,-14
410.0,19,-15
410.25,20,-16
411.5,19,-15
411.75,20,-14
414.5,21,-15
416.75,20,-16
418.25,19,-15
418.75,20,-16
419.0,19,-17
420.0,20,-16
422.0,19,-15
422.5,18,-16
423.25,19,-15
424.75,18,-16
426.0,19,-17
430.5,20,-18
430.75,19,-17
432.25,20,-18
432.75,19,-17
435.5,20,-18
439.0,19,-17
441.0,18,-17
441.5,19,-18
443.0,18,-17
443.5,17,-16
444.25,18,-15
444.75,17,-16
445.0,18,-15
445.25,17,-16
445.5,18,-15
446.5,17,-16
446.75,18,-15
447.0,19,-16
450.75,18,-15
452.75,17,-14
453.0,16,-15
453.75,17,-14
454.25,16,-15
456.75,17,-14
462.5,18,-15
464.5,17,-14
464.75,18,-15
465.0,17,-14
467.5,18,-14
467.75,19,-13
469.75,18,-14
470.5,19,-13
471.75,18,-14
475.5,19,-15
476.5,20,-14
477.0,19,-13
478.5,20,-14
480.75,21,-15
482.5,22,-14
482.75,21,-15
483.0,20,-14
486.5,21,-13
488.25,20,-14
488.75,21,-13
491.0,22,-14
491.75,21,-13
494.5,22,-12
496.0,21,-11
496.75,22,-12
497.0,21,-13
499.0,22,-12
499.5,21,-13
500.25,22,-12
502.5,21,-11
503.0,22,-12
503.75,21,-11
504.75,22,-12
505.0,21,-11
507.0,22,-12
507.25,23,-12
507.5,22,-13
507.75,23,-12
508.0,24,-13
508.25,23,-13
508.75,24,-12
509.0,23,-13
509.25,24,-14
509.5,23,-14
509.75,24,-13
510.0,23,-14
510.5,22,-14
512.0,21,-15
