Position,Energy,Frequency
1.0,0,0
4.5,1,-1
6.5,0,0
8.5,-1,0
9.0,-2,-1
9.25,-1,-1
10.75,-2,-2
11.25,-1,-1
12.5,-2,0
15.25,-1,-1
16.0,-2,0
16.75,-3,1
17.0,-2,0
18.5,-3,0
18.75,-2,1
19.0,-3,0
23.0,-2,-1
25.0,-3,-2
26.0,-2,-1
26.75,-3,0
28.0,-4,-1
28.5,-3,0
29.0,-4,-1
30.0,-5,0
30.5,-4,-1
31.0,-3,-2
31.25,-2,-3
31.75,-3,-2
32.25,-2,-3
33.0,-1,-2
34.0,-2,-3
34.25,-3,-2
35.25,-4,-3
37.25,-3,-2
39.0,-2,-3
40.0,-3,-2
41.25,-2,-1
42.75,-3,0
47.0,-2,-1
47.25,-1,-2
48.0,-2,-1
48.25,-3,-2
48.75,-4,-1
51.0,-3,0
55.0,-2,-1
55.25,-3,0
56.25,-2,1
56.75,-3,0
57.0,-4,1
57.25,-3,2
57.75,-2,1
58.0,-3,0
58.25,-4,0
62.0,-3,1
63.0,-4,2
63.25,-3,1
64.0,-4,2
65.0,-5,3
69.25,-6,2
70.0,-5,2
70.5,-6,3
70.75,-5,3
71.75,-4,2
73.5,-5,1
74.5,-6,2
75.75,-5,1
76.0,-4,0
76.5,-3,1
77.25,-4,1
77.75,-3,1
78.0,-4,1
78.5,-5,2
79.0,-6,1
81.0,-5,2
82.0,-6,2
82.25,-5,3
82.5,-6,4
83.75,-5,3
84.25,-6,4
84.5,-5,3
84.75,-4,3
85.0,-5,2
88.0,-6,3
88.25,-5,4
88.5,-6,3
88.75,-7,4
91.0,-6,3
92.25,-7,4
93.0,-8,3
97.0,-7,2
98.75,-8,2
99.0,-7,1
100.0,-8,2
100.25,-9,2
101.0,-8,1
101.25,-9,0
101.75,-8,1
102.0,-7,0
103.0,-6,1
104.0,-7,2
104.25,-8,1
105.0,-7,0
105.75,-8,1
106.0,-7,0
106.75,-8,-1
107.0,-7,0
107.25,-6,-1
107.75,-5,0
108.0,-6,1
109.0,-5,0
109.25,-6,1
109.75,-7,1
110.0,-6,0
111.0,-7,-1
111.25,-6,-1
112.0,-7,-1
112.25,-8,0
113.0,-7,0
113.25,-6,1
115.0,-7,2
115.25,-8,1
116.0,-7,2
116.25,-6,1
116.75,-7,0
117.0,-6,-1
117.25,-7,0
117.75,-6,-1
118.0,-5,-2
118.75,-6,-3
119.0,-5,-2
121.0,-6,-1
121.25,-5,-2
121.75,-4,-1
122.0,-5,-2
123.0,-6,-3
123.25,-7,-2
124.0,-6,-3
124.25,-7,-2
124.75,-8,-3
125.0,-7,-4
125.25,-8,-3
125.75,-9,-4
126.0,-8,-5
126.25,-9,-6
127.25,-10,-7
127.75,-11,-6
128.0,-10,-7
129.0,-9,-6
129.75,-10,-5
130.0,-9,-4
131.0,-10,-5
133.0,-9,-4
134.0,-10,-3
135.0,-9,-4
135.75,-10,-3
138.0,-9,-4
139.0,-10,-3
140.75,-9,-4
141.0,-10,-4
141.25,-9,-4
142.0,-10,-3
142.75,-9,-4
145.0,-8,-3
147.0,-9,-4
147.25,-10,-3
149.0,-9,-4
150.0,-8,-5
150.75,-9,-4
151.25,-10,-3
152.75,-9,-4
153.0,-8,-3
153.75,-9,-4
154.0,-8,-3
154.25,-7,-4
155.0,-8,-5
156.0,-9,-5
156.25,-10,-4
156.75,-9,-3
157.0,-8,-4
159.5,-7,-3
159.75,-8,-3
161.0,-7,-4
161.5,-8,-3
162.75,-7,-2
163.0,-8,-3
163.75,-7,-2
167.0,-8,-3
170.0,-9,-2
171.25,-8,-2
172.0,-9,-3
172.25,-10,-2
174.25,-11,-3
174.5,-12,-3
175.0,-11,-4
176.5,-12,-3
178.5,-11,-4
178.75,-12,-4
179.0,-13,-3
183.0,-12,-4
185.0,-13,-3
185.25,-12,-3
186.0,-13,-4
187.0,-12,-3
187.25,-13,-4
187.75,-14,-4
188.0,-13,-3
188.5,-12,-2
189.0,-13,-3
190.0,-12,-4
190.5,-11,-3
191.0,-12,-3
191.75,-11,-4
192.0,-12,-3
192.25,-11,-4
193.0,-12,-3
194.0,-11,-4
194.25,-10,-3
194.75,-9,-2
195.0,-10,-1
195.25,-9,-2
196.0,-10,-1
196.25,-9,-2
196.75,-10,-1
197.0,-9,-2
197.25,-8,-1
198.0,-7,-2
199.0,-6,-1
199.25,-7,-2
199.75,-8,-3
200.0,-7,-2
201.75,-8,-1
202.0,-7,-2
202.25,-8,-2
202.75,-9,-1
203.0,-8,-2
203.75,-7,-1
204.0,-8,0
204.25,-7,-1
206.0,-8,-2
206.25,-7,-1
207.0,-6,-2
207.25,-7,-3
208.0,-8,-2
210.0,-7,-3
210.25,-6,-2
210.75,-7,-1
211.0,-8,-2
211.25,-9,-1
212.0,-8,-2
213.0,-9,-1
213.25,-10,-2
214.0,-11,-3
214.25,-10,-2
215.0,-11,-3
215.25,-10,-4
218.0,-11,-3
218.25,-10,-3
219.25,-11,-2
219.75,-12,-1
220.25,-11,-2
221.75,-12,-1
222.0,-11,-2
223.0,-12,-3
223.25,-11,-4
224.0,-12,-5
225.0,-13,-4
225.5,-12,-5
228.0,-11,-6
228.25,-10,-5
229.0,-11,-6
229.25,-10,-5
229.5,-11,-5
229.75,-10,-5
230.0,-11,-5
230.5,-12,-4
231.5,-11,-4
231.75,-12,-5
233.0,-11,-5
233.5,-10,-5
235.75,-11,-5
237.0,-12,-4
237.25,-13,-5
237.75,-14,-6
238.0,-13,-5
239.0,-14,-4
240.0,-13,-5
241.0,-14,-4
242.0,-15,-5
242.5,-16,-6
242.75,-15,-5
243.0,-16,-6
243.75,-17,-5
244.5,-18,-4
244.75,-19,-5
246.0,-18,-4
246.75,-17,-5
248.0,-16,-4
248.25,-17,-5
248.75,-16,-5
249.0,-17,-6
249.5,-16,-5
250.25,-17,-5
251.0,-18,-6
255.0,-17,-5
255.75,-18,-6
256.0,-17,-7
258.0,-18,-6
261.0,-19,-5
262.0,-20,-6
264.25,-19,-7
265.0,-20,-6
265.25,-19,-5
266.25,-18,-6
268.0,-19,-7
269.0,-18,-6
269.25,-19,-5
269.75,-18,-6
270.0,-17,-5
270.75,-16,-6
271.0,-17,-5
272.0,-16,-6
272.25,-15,-5
273.0,-16,-4
273.75,-15,-5
274.0,-16,-4
276.0,-15,-5
276.25,-16,-6
281.0,-15,-5
281.25,-14,-6
281.75,-15,-6
282.0,-16,-5
283.0,-17,-5
283.75,-16,-6
284.0,-17,-7
284.25,-16,-6
285.0,-15,-7
285.25,-16,-6
285.75,-17,-5
286.0,-16,-4
286.25,-15,-5
286.75,-16,-4
287.0,-15,-5
288.75,-14,-4
289.25,-13,-4
289.75,-14,-5
290.0,-13,-4
292.0,-14,-3
292.25,-13,-4
292.75,-14,-3
293.0,-13,-4
293.25,-12,-4
294.0,-13,-3
295.0,-12,-3
295.25,-11,-4
295.75,-12,-3
296.0,-11,-2
297.0,-10,-3
298.0,-9,-4
299.0,-8,-5
299.25,-9,-4
300.0,-8,-3
301.0,-7,-2
301.25,-8,-3
302.75,-7,-4
303.0,-8,-3
303.25,-9,-4
304.25,-8,-5
304.75,-9,-6
305.0,-8,-7
305.25,-7,-8
306.0,-8,-7
308.0,-7,-8
308.25,-8,-7
308.75,-9,-7
309.0,-8,-8
311.0,-9,-9
312.0,-10,-8
313.0,-9,-9
313.25,-8,-9
314.0,-9,-8
314.75,-10,-9
315.0,-9,-9
317.0,-8,-8
319.75,-9,-9
320.0,-10,-10
321.25,-9,-9
322.25,-10,-9
323.0,-9,-8
325.0,-10,-9
326.0,-9,-10
326.25,-10,-9
326.75,-9,-8
329.0,-8,-9
329.25,-9,-9
330.0,-8,-8
331.0,-9,-9
331.25,-10,-8
333.0,-11,-9
333.25,-10,-8
334.0,-11,-9
334.25,-10,-10
334.75,-9,-11
335.25,-10,-10
336.75,-11,-11
337.0,-10,-10
337.25,-9,-9
339.0,-8,-10
339.25,-9,-11
339.75,-8,-11
340.0,-9,-12
341.0,-8,-11
341.25,-9,-12
342.0,-10,-11
342.75,-9,-10
343.25,-10,-10
343.75,-11,-11
344.0,-12,-10
344.25,-11,-11
344.75,-12,-10
345.0,-13,-11
346.0,-12,-10
346.25,-13,-10
347.0,-12,-11
348.0,-13,-10
348.75,-12,-11
349.0,-13,-12
349.25,-14,-11
350.0,-13,-12
351.0,-14,-11
352.0,-15,-12
352.25,-16,-12
353.0,-15,-11
358.25,-16,-10
358.5,-17,-9
359.25,-18,-8
360.5,-17,-9
361.25,-16,-9
361.5,-17,-8
361.75,-18,-9
362.5,-19,-10
366.25,-18,-11
366.5,-17,-10
367.5,-16,-9
369.5,-17,-8
371.0,-16,-8
372.25,-17,-9
373.5,-16,-8
374.0,-15,-9
375.25,-16,-8
375.5,-15,-9
378.25,-14,-9
379.0,-13,-8
379.25,-12,-9
380.0,-13,-8
380.5,-14,-9
380.75,-15,-10
384.0,-16,-9
384.25,-17,-10
388.0,-18,-9
388.25,-19,-10
388.5,-20,-9
388.75,-21,-8
