Position,Energy,Frequency
0.0,0,0
0.25,1,-1
0.5,0,-2
0.75,-1,-1
1.0,0,0
1.25,-1,-1
1.5,-2,-1
1.75,-1,0
2.0,-2,0
2.25,-1,-1
2.5,0,0
2.75,-1,0
3.0,-2,0
3.25,-1,-1
3.5,-2,-1
3.75,-3,-1
4.0,-2,-1
4.25,-3,-1
4.5,-2,-1
4.75,-1,0
5.0,-2,0
5.25,-1,0
5.5,0,-1
5.75,-1,0
6.0,-2,0
6.25,-1,-1
6.5,-2,-1
6.75,-1,-1
7.0,-2,0
7.25,-3,-1
7.5,-2,-1
7.75,-1,-1
8.0,0,-1
8.25,-1,-1
8.75,-2,-1
9.0,-1,-1
9.25,-2,0
9.5,-1,-1
9.75,-2,0
10.0,-1,-1
10.25,0,-1
10.75,-1,0
11.5,0,-1
14.5,1,0
16.5,0,0
21.0,1,0
24.0,0,0
24.5,-1,0
25.5,0,0
27.0,-1,0
33.0,0,0
35.5,-1,0
36.5,0,0
38.5,-1,0
38.75,0,-1
40.0,1,0
40.5,2,0
41.0,3,0
41.25,2,0
41.5,3,0
41.75,2,-1
42.0,1,0
42.5,2,0
43.0,1,0
43.5,2,0
44.5,1,0
45.25,2,0
52.0,1,0
52.5,0,0
54.5,1,0
55.5,0,0
56.25,1,0
57.0,2,0
57.25,1,0
57.5,2,0
57.75,1,-1
58.0,2,0
58.5,1,0
59.0,0,0
59.5,-1,0
61.0,-2,0
61.75,-3,0
62.5,-2,0
63.5,-3,0
64.0,-2,0
64.25,-1,-1
64.5,-2,-1
64.75,-1,0
65.0,-2,0
65.25,-1,0
65.5,0,0
65.75,-1,0
66.0,-2,0
66.25,-1,0
66.5,0,0
66.75,1,0
67.0,0,0
67.25,-1,0
67.5,0,0
67.75,-1,0
68.0,-2,1
68.25,-1,0
68.5,0,0
68.75,1,0
69.0,0,-1
69.25,-1,0
69.5,0,0
69.75,1,0
70.0,0,-1
70.25,-1,-1
70.5,0,0
70.75,1,0
71.0,0,0
71.25,-1,0
71.5,-2,0
71.75,-1,0
72.0,0,1
72.25,1,0
72.5,2,0
72.75,1,0
73.0,0,0
73.25,1,0
73.5,2,0
73.75,3,0
74.0,2,0
74.25,1,0
74.5,2,0
74.75,3,0
75.0,2,0
75.25,3,0
75.5,2,0
75.75,1,0
76.0,0,1
76.25,1,0
76.5,2,0
76.75,1,0
77.0,0,0
77.25,-1,0
77.5,-2,0
77.75,-3,0
78.0,-4,0
78.25,-3,0
78.5,-2,0
78.75,-1,0
79.0,-2,0
79.25,-1,0
79.5,-2,0
79.75,-3,0
80.0,-2,1
80.25,-1,0
80.5,-2,0
80.75,-1,1
81.0,-2,1
81.25,-1,1
81.5,-2,1
81.75,-3,1
82.0,-4,1
82.25,-3,1
82.5,-2,1
82.75,-1,1
83.0,0,1
83.25,-1,1
83.5,-2,1
83.75,-3,1
84.0,-2,2
84.25,-1,1
84.5,0,1
84.75,1,1
85.0,0,1
85.25,-1,0
85.5,0,1
85.75,1,1
86.0,0,1
86.25,-1,0
86.5,0,0
86.75,1,1
87.0,0,1
87.25,-1,1
87.5,-2,1
87.75,-3,1
88.0,-2,2
88.25,-1,1
88.5,0,1
88.75,-1,1
89.0,-2,1
89.25,-1,1
89.5,-2,1
89.75,-1,1
90.0,-2,1
90.25,-3,1
90.5,-2,1
90.75,-1,1
91.0,-2,1
91.25,-3,1
91.5,-4,1
91.75,-3,1
92.0,-4,2
92.25,-3,1
92.5,-2,1
92.75,-3,1
93.0,-4,1
93.25,-5,1
93.5,-6,1
93.75,-7,1
94.0,-8,1
94.25,-9,1
94.5,-8,1
94.75,-7,1
95.0,-8,1
95.25,-9,1
95.5,-10,1
95.75,-11,1
96.0,-12,0
96.25,-13,1
96.5,-12,0
97.0,-11,0
97.25,-12,0
97.5,-11,0
97.75,-10,0
98.0,-11,1
98.25,-10,0
98.5,-9,0
98.75,-8,0
99.0,-9,0
99.25,-8,0
99.5,-7,-1
99.75,-8,-1
100.0,-7,0
100.25,-8,0
100.5,-7,-1
100.75,-6,0
101.0,-7,-1
101.25,-6,-1
101.5,-5,-1
101.75,-4,-2
102.0,-5,-2
102.25,-6,-2
102.5,-5,-1
102.75,-4,-2
103.0,-5,-1
103.25,-6,-2
103.5,-5,-1
103.75,-6,-1
104.0,-7,-2
104.25,-8,-1
104.5,-7,-1
104.75,-8,-2
105.0,-7,-1
105.25,-8,0
105.5,-7,0
105.75,-6,0
106.0,-7,-1
106.25,-8,0
106.5,-7,0
106.75,-6,0
107.0,-7,-1
107.5,-6,0
107.75,-7,-1
108.0,-8,-2
108.25,-9,-1
108.5,-8,-2
108.75,-7,-1
109.0,-8,-2
109.25,-7,-1
109.5,-8,-2
109.75,-7,-1
110.0,-8,0
110.25,-7,-1
110.5,-6,0
110.75,-5,-1
111.0,-6,-1
111.25,-7,-1
111.5,-6,-1
111.75,-5,-1
112.0,-4,0
112.25,-3,-1
112.5,-4,-1
112.75,-3,0
113.0,-4,1
113.25,-3,0
113.5,-4,1
113.75,-3,1
114.0,-4,2
114.25,-3,1
114.5,-4,1
114.75,-3,2
115.0,-4,3
115.25,-3,2
115.5,-4,2
115.75,-5,3
116.0,-4,4
116.25,-3,3
116.5,-4,3
116.75,-5,4
117.0,-4,5
117.25,-3,4
117.5,-4,4
117.75,-3,5
118.0,-2,6
118.25,-1,5
118.5,-2,5
118.75,-3,6
119.0,-2,7
119.25,-1,6
119.5,-2,6
119.75,-1,7
120.0,0,8
120.25,1,7
120.5,2,8
120.75,3,7
121.0,2,8
121.25,3,7
121.5,4,8
121.75,3,7
122.0,2,8
122.25,3,7
122.5,4,8
122.75,3,7
123.0,2,8
123.25,3,7
123.5,2,8
123.75,1,7
124.0,0,7
128.0,1,8
128.25,2,7
128.5,1,8
128.75,2,8
129.0,1,9
129.25,2,8
129.5,1,9
129.75,2,8
130.0,1,9
130.25,2,8
130.5,1,9
130.75,2,8
131.0,3,9
131.25,4,8
131.5,3,9
131.75,2,9
132.0,3,9
132.25,4,8
132.5,3,8
132.75,2,9
133.0,3,10
133.25,4,9
133.5,3,9
133.75,2,10
134.0,3,11
134.25,4,10
134.5,3,10
134.75,2,11
135.0,3,12
135.25,4,11
135.5,3,11
135.75,2,12
136.0,3,13
136.25,4,12
136.5,3,13
136.75,4,13
137.0,3,13
137.25,4,12
137.5,3,13
137.75,4,13
138.0,3,13
138.25,4,12
138.5,3,13
138.75,4,13
139.0,3,13
139.25,4,12
139.5,3,13
139.75,2,13
140.0,3,13
140.25,4,12
140.5,3,13
140.75,4,13
141.0,3,14
141.25,4,13
141.5,3,14
141.75,4,13
142.0,5,14
142.25,6,13
142.5,5,14
142.75,6,14
143.0,5,15
143.25,6,14
143.5,5,15
143.75,6,15
144.0,5,16
144.25,6,15
144.5,5,16
144.75,6,16
145.0,5,17
145.25,6,16
145.5,5,17
145.75,6,17
146.0,7,18
146.25,8,17
146.5,7,18
146.75,8,17
147.0,9,18
147.25,10,17
147.5,9,18
147.75,10,18
148.0,11,18
148.25,12,17
148.5,11,18
148.75,12,17
149.0,13,18
149.25,14,17
149.5,13,17
149.75,14,18
150.0,15,19
150.25,16,18
150.5,15,18
150.75,14,19
151.0,15,20
151.25,16,19
151.5,15,19
151.75,14,20
152.0,15,21
152.25,16,20
152.5,15,21
152.75,16,21
153.0,17,21
153.25,18,20
153.5,17,21
153.75,18,21
154.0,17,21
154.25,18,20
154.5,17,21
154.75,18,21
155.0,17,21
155.25,18,20
155.5,17,21
155.75,16,21
156.0,15,21
156.25,16,20
156.5,17,20
156.75,18,20
157.0,17,20
157.25,18,20
157.5,17,20
157.75,18,20
158.0,17,21
158.25,18,20
158.5,17,21
158.75,18,20
159.0,17,21
159.25,18,20
159.5,17,20
159.75,18,20
160.0,19,21
160.25,20,20
160.5,19,21
160.75,20,21
161.0,19,21
161.25,20,21
161.5,19,21
161.75,18,21
162.0,17,21
162.25,18,21
162.5,19,21
162.75,20,21
163.0,19,21
163.25,18,21
163.5,17,21
163.75,16,21
164.0,15,22
164.25,16,21
164.5,15,22
164.75,16,22
165.0,15,21
165.25,14,22
165.5,13,22
165.75,14,21
166.0,13,21
166.25,12,22
166.5,13,21
166.75,14,22
167.0,15,22
167.25,14,22
167.5,13,22
167.75,14,21
168.0,15,22
168.25,16,21
168.5,17,21
168.75,16,21
169.0,15,21
169.25,16,21
169.5,15,21
169.75,16,21
170.0,15,21
170.25,14,21
170.5,15,21
170.75,16,21
171.0,15,21
171.25,14,21
171.5,13,21
171.75,14,21
172.0,13,22
172.25,14,21
172.5,13,21
172.75,14,22
173.0,15,22
173.25,14,22
173.5,13,22
173.75,14,21
174.0,13,21
174.25,12,22
174.5,13,22
174.75,12,22
175.0,11,22
175.25,12,22
175.5,11,22
175.75,10,22
176.0,11,23
176.25,12,22
176.5,11,23
176.75,12,23
177.0,13,23
177.25,12,23
177.5,11,23
177.75,10,23
178.0,9,23
178.25,10,23
178.5,11,23
178.75,12,23
179.0,13,23
179.25,12,23
179.5,11,23
179.75,10,23
180.0,11,24
180.25,12,23
180.5,11,24
180.75,10,24
181.0,9,23
181.25,8,23
181.5,7,24
181.75,8,23
182.0,7,23
182.25,6,23
182.5,7,24
182.75,8,24
183.0,7,24
