Position,Energy,Frequency
5.5,0,0
12.5,1,1
21.5,0,2
27.75,1,1
29.25,0,0
29.5,-1,1
33.75,0,0
34.0,-1,0
34.25,0,1
34.5,1,0
35.0,0,1
35.5,1,0
38.0,0,1
43.5,1,0
43.75,2,1
44.0,1,0
47.5,0,-1
50.5,-1,0
53.75,0,-1
66.0,-1,-2
67.5,-2,-3
75.0,-1,-2
76.75,-2,-3
77.25,-1,-2
77.5,-2,-3
84.75,-3,-4
85.0,-2,-3
87.25,-1,-2
87.5,-2,-1
97.0,-3,-2
97.5,-2,-3
98.0,-1,-2
99.0,-2,-1
99.5,-3,0
101.0,-2,-1
101.5,-3,0
102.0,-4,-1
103.0,-5,0
103.25,-4,1
103.5,-5,0
103.75,-6,1
104.0,-5,0
105.0,-4,0
105.5,-5,1
106.0,-4,2
107.0,-3,3
107.25,-4,2
107.5,-3,1
108.0,-4,2
109.0,-5,1
109.5,-4,0
110.0,-5,1
111.0,-6,2
111.25,-7,3
111.75,-8,2
112.0,-7,3
113.0,-6,2
114.0,-5,1
115.0,-6,2
115.5,-7,3
116.0,-6,2
117.0,-7,1
117.5,-6,2
118.0,-7,1
119.0,-6,2
119.25,-7,3
119.5,-6,2
119.75,-7,3
120.0,-6,2
120.5,-7,3
121.0,-6,2
121.5,-7,3
122.0,-6,2
122.25,-7,3
122.5,-8,4
122.75,-7,3
123.0,-6,4
123.25,-7,5
123.5,-6,6
123.75,-5,5
124.0,-6,6
125.5,-5,7
126.0,-4,6
128.0,-3,7
128.25,-2,6
128.5,-1,7
128.75,-2,6
129.0,-3,7
129.25,-4,8
129.5,-3,7
129.75,-4,8
130.0,-5,9
130.5,-4,8
130.75,-5,9
131.0,-6,8
131.25,-7,9
131.5,-6,8
131.75,-7,9
132.0,-8,8
132.5,-7,7
132.75,-8,6
133.0,-7,5
133.5,-8,6
133.75,-9,5
134.0,-10,6
134.5,-9,5
134.75,-10,4
135.0,-9,3
135.25,-10,4
135.5,-9,5
135.75,-10,6
136.0,-11,7
136.5,-10,6
136.75,-11,7
137.0,-10,6
137.25,-11,7
137.5,-10,8
137.75,-11,7
138.0,-12,8
138.5,-11,7
138.75,-10,6
139.0,-11,5
139.25,-12,6
139.5,-11,5
139.75,-12,6
140.0,-11,7
140.25,-12,6
140.5,-11,7
140.75,-12,6
141.0,-11,5
141.5,-10,4
141.75,-11,5
142.0,-12,6
142.5,-11,5
142.75,-12,6
143.0,-11,5
143.25,-12,6
143.5,-11,5
143.75,-12,4
144.0,-13,5
144.25,-14,4
144.5,-13,5
144.75,-14,4
145.0,-13,3
145.25,-14,4
145.5,-13,3
145.75,-12,4
146.0,-13,5
146.5,-12,4
146.75,-13,5
147.0,-12,4
147.25,-13,5
147.5,-12,4
147.75,-13,5
148.0,-14,6
148.5,-13,5
148.75,-14,6
149.0,-13,5
149.25,-14,6
149.5,-13,7
149.75,-14,8
150.0,-15,7
150.5,-14,6
150.75,-15,7
151.0,-14,6
151.25,-15,7
151.5,-14,8
151.75,-15,7
152.0,-16,8
152.5,-15,7
152.75,-16,6
153.0,-17,7
153.5,-16,8
153.75,-17,7
154.0,-18,8
154.5,-17,7
154.75,-18,6
155.0,-17,5
155.25,-18,6
155.5,-17,5
155.75,-18,6
156.0,-19,5
156.25,-18,6
156.5,-19,5
156.75,-20,4
157.5,-19,3
157.75,-20,4
158.25,-19,3
158.5,-20,4
158.75,-21,5
159.25,-22,6
159.5,-21,5
159.75,-22,6
166.5,-21,5
188.75,-22,6
190.75,-21,5
193.75,-20,4
194.0,-21,5
194.25,-20,4
194.5,-21,3
195.0,-22,4
195.5,-21,3
198.0,-22,4
202.0,-21,3
203.5,-20,2
203.75,-19,3
204.0,-20,2
207.5,-19,1
210.0,-20,2
210.5,-19,3
211.5,-20,2
213.75,-19,3
214.0,-20,2
218.0,-21,1
