Position,Energy,Frequency
0.0,0,0
2.0,1,-1
2.25,0,0
2.75,1,-1
3.0,2,-1
3.25,1,0
3.5,0,0
3.75,1,0
4.0,0,0
4.5,-1,0
5.75,0,0
6.0,-1,-1
6.5,-2,-2
6.75,-1,-2
7.0,-2,-3
8.25,-3,-3
8.5,-2,-2
9.0,-3,-2
9.5,-4,-1
10.0,-3,-2
10.5,-2,-2
11.0,-1,-2
11.5,-2,-2
13.5,-1,-3
16.5,-2,-4
17.0,-1,-4
18.0,-2,-5
18.25,-1,-4
18.5,-2,-5
18.75,-1,-4
19.0,0,-4
19.25,-1,-3
19.5,-2,-3
19.75,-3,-3
20.0,-4,-2
21.75,-5,-3
22.0,-4,-4
22.25,-5,-4
22.75,-4,-4
23.0,-5,-4
23.5,-6,-5
23.75,-5,-6
24.0,-4,-5
24.25,-3,-6
24.5,-4,-6
24.75,-5,-6
26.0,-4,-5
26.5,-3,-6
27.0,-4,-6
28.5,-5,-5
28.75,-4,-5
29.0,-3,-4
29.5,-2,-4
29.75,-3,-5
30.25,-2,-6
30.5,-3,-5
31.0,-2,-5
31.5,-3,-5
32.0,-2,-6
32.25,-3,-7
32.5,-2,-6
33.25,-1,-6
33.5,0,-7
34.0,1,-6
34.25,0,-6
34.5,-1,-6
35.0,0,-7
35.25,-1,-6
35.75,-2,-7
36.0,-1,-6
36.25,0,-5
36.5,-1,-6
36.75,0,-6
38.0,-1,-5
38.25,0,-6
38.5,-1,-6
38.75,-2,-5
39.0,-3,-4
40.0,-2,-5
40.75,-3,-4
41.0,-4,-5
42.0,-5,-6
43.5,-4,-5
43.75,-3,-4
44.0,-4,-5
44.25,-5,-6
44.5,-4,-5
44.75,-5,-6
45.0,-6,-5
45.5,-5,-6
45.75,-4,-6
46.0,-5,-7
46.25,-6,-6
46.5,-5,-7
47.0,-4,-7
47.75,-5,-8
48.0,-4,-8
48.5,-5,-7
49.5,-6,-8
50.0,-5,-7
50.25,-6,-6
50.75,-7,-7
51.25,-8,-6
52.25,-7,-7
52.5,-6,-6
53.0,-7,-5
54.0,-6,-6
54.25,-5,-7
54.5,-4,-7
54.75,-5,-7
56.25,-4,-7
57.0,-5,-7
59.5,-4,-6
60.0,-3,-7
60.25,-2,-8
61.0,-3,-7
61.5,-2,-8
61.75,-1,-7
62.0,-2,-8
62.25,-1,-7
62.5,0,-7
63.0,1,-6
64.0,0,-7
65.5,1,-7
66.0,2,-6
66.5,1,-7
66.75,2,-6
67.0,1,-6
67.25,0,-6
67.75,-1,-7
68.0,0,-8
68.25,-1,-7
68.5,0,-8
69.0,-1,-9
69.25,0,-8
69.5,-1,-9
69.75,0,-10
70.0,1,-9
70.25,0,-10
70.5,1,-9
71.25,2,-10
71.5,1,-10
72.25,2,-9
72.5,1,-9
72.75,2,-10
73.0,1,-10
73.5,2,-10
73.75,1,-10
74.0,2,-9
74.5,1,-10
75.75,2,-9
76.0,1,-9
76.25,0,-10
77.0,1,-9
77.5,0,-8
77.75,1,-7
78.0,2,-8
78.5,1,-8
79.0,0,-9
82.0,1,-8
82.5,2,-7
82.75,3,-8
83.25,2,-9
83.5,1,-8
83.75,0,-9
84.0,1,-8
84.25,0,-8
84.5,-1,-9
86.0,0,-10
86.25,1,-11
86.5,2,-12
87.0,1,-13
87.75,2,-12
88.0,1,-11
88.25,2,-11
88.5,1,-11
88.75,2,-11
89.0,1,-11
89.5,2,-12
90.0,3,-11
91.5,2,-12
92.0,3,-11
93.5,2,-10
94.5,3,-11
94.75,4,-10
95.75,3,-11
96.0,4,-11
96.25,3,-12
96.5,4,-11
96.75,5,-11
97.0,4,-10
97.25,3,-10
97.5,4,-9
98.0,3,-8
98.25,4,-7
98.5,3,-8
98.75,4,-7
99.0,5,-8
99.5,4,-9
100.25,3,-8
100.5,2,-8
100.75,1,-7
101.0,2,-6
101.5,1,-7
102.0,2,-8
102.25,1,-8
102.5,2,-7
102.75,1,-7
103.0,0,-8
103.25,1,-7
103.5,0,-7
103.75,-1,-6
104.0,-2,-7
104.25,-1,-7
105.5,0,-8
106.0,1,-9
106.25,0,-9
106.5,-1,-9
106.75,0,-8
107.0,1,-7
107.5,0,-8
108.0,1,-9
108.25,0,-8
109.0,1,-9
109.5,0,-8
110.25,-1,-9
110.5,0,-9
110.75,-1,-8
111.0,0,-8
111.25,-1,-9
111.5,0,-8
112.0,-1,-9
113.25,0,-8
113.5,1,-7
114.0,2,-6
114.25,3,-5
114.5,2,-6
114.75,1,-5
115.5,2,-6
116.0,1,-5
116.25,2,-5
116.5,1,-5
116.75,0,-4
117.0,-1,-3
117.5,0,-4
118.0,-1,-5
118.25,-2,-5
118.5,-3,-4
118.75,-2,-4
119.25,-3,-3
119.5,-2,-3
119.75,-3,-4
120.25,-2,-5
120.5,-1,-5
122.0,-2,-6
122.25,-3,-6
122.5,-2,-5
123.0,-3,-6
123.5,-2,-5
124.5,-3,-6
124.75,-2,-7
125.0,-1,-7
125.25,-2,-7
125.5,-1,-6
125.75,-2,-5
126.25,-1,-6
126.5,0,-6
126.75,-1,-6
127.0,0,-6
127.25,1,-6
127.5,2,-6
128.25,1,-7
129.0,0,-8
129.25,1,-7
129.5,2,-6
129.75,3,-6
130.25,2,-5
130.5,1,-4
130.75,2,-4
131.0,1,-5
131.25,0,-4
131.5,1,-5
132.25,0,-4
132.5,1,-4
132.75,2,-3
133.0,1,-4
133.5,2,-3
134.25,1,-4
134.5,2,-3
134.75,3,-3
135.0,2,-4
135.25,3,-3
135.5,4,-3
135.75,3,-3
136.25,2,-4
137.0,3,-5
137.5,4,-4
138.25,3,-5
138.5,4,-5
138.75,3,-4
139.0,4,-5
139.5,5,-4
140.25,4,-5
140.75,3,-6
141.0,4,-7
141.5,5,-6
142.25,6,-7
142.5,7,-7
142.75,6,-6
143.0,5,-7
143.25,6,-6
143.5,7,-6
143.75,6,-5
144.25,5,-6
145.0,6,-7
145.25,5,-6
145.5,6,-5
145.75,7,-5
146.25,8,-4
146.5,9,-4
146.75,8,-3
147.0,7,-4
147.5,8,-3
147.75,7,-2
148.25,8,-1
148.5,9,-2
148.75,10,-1
149.0,9,-2
149.5,10,-1
150.25,9,-2
150.5,10,-1
150.75,11,-1
151.0,10,-2
151.25,11,-1
151.5,12,-1
151.75,11,-1
152.25,10,-2
153.0,9,-3
153.5,10,-2
154.25,9,-3
154.5,8,-3
154.75,7,-2
155.0,8,-3
155.5,9,-2
156.25,10,-3
156.75,9,-4
157.5,10,-3
158.25,11,-4
158.5,10,-4
158.75,11,-3
159.25,12,-3
159.5,11,-3
159.75,10,-2
161.75,9,-3
162.0,10,-3
162.25,11,-2
163.0,10,-3
163.5,9,-2
163.75,10,-1
164.0,11,-2
164.25,10,-2
165.5,11,-3
165.75,10,-2
166.0,9,-3
166.75,10,-3
168.0,9,-4
169.5,8,-3
170.0,9,-4
170.25,10,-5
171.0,9,-4
172.0,10,-5
174.0,9,-4
175.0,10,-3
175.5,11,-3
176.0,10,-4
177.0,9,-3
177.5,8,-3
177.75,9,-4
178.0,10,-4
178.25,9,-3
178.5,8,-2
178.75,9,-3
179.0,8,-3
179.25,7,-2
179.5,8,-2
179.75,7,-3
180.0,8,-3
180.5,9,-3
181.0,8,-2
181.5,9,-3
181.75,10,-2
182.0,9,-3
182.5,10,-4
182.75,11,-3
183.0,12,-4
183.25,13,-5
183.5,12,-5
184.0,13,-6
184.25,12,-5
184.5,11,-5
184.75,12,-5
185.0,13,-4
185.5,12,-5
185.75,13,-4
186.0,12,-3
186.25,13,-4
186.5,12,-5
187.0,11,-4
187.25,10,-5
188.0,11,-4
188.25,12,-5
189.5,13,-4
189.75,12,-5
190.0,13,-6
190.25,12,-6
190.5,11,-5
190.75,12,-4
191.0,11,-4
191.25,10,-4
191.5,11,-5
191.75,12,-5
192.5,13,-4
193.0,12,-5
193.5,11,-4
194.0,12,-5
194.25,11,-5
195.0,10,-5
195.25,11,-6
195.75,10,-7
196.0,9,-7
196.25,10,-7
196.75,11,-6
197.0,10,-6
198.0,9,-5
198.25,8,-6
198.5,9,-5
198.75,8,-4
199.0,9,-5
199.25,8,-5
200.0,9,-6
200.75,10,-5
201.0,9,-6
202.0,10,-5
204.0,9,-6
205.0,10,-5
205.25,9,-6
205.5,10,-5
205.75,9,-6
206.0,10,-5
206.25,9,-6
206.5,10,-5
207.25,11,-6
208.0,12,-7
209.0,11,-6
210.0,12,-5
210.25,11,-4
210.5,12,-5
210.75,13,-6
211.0,12,-6
211.25,11,-7
211.75,10,-6
212.0,11,-6
212.25,10,-5
213.0,11,-4
214.0,12,-5
214.25,13,-6
214.5,12,-5
214.75,11,-6
215.25,12,-5
216.0,13,-6
216.5,12,-6
216.75,11,-6
217.0,12,-5
217.25,11,-4
218.0,12,-5
218.25,11,-4
218.5,12,-5
219.0,13,-6
219.5,12,-6
220.0,11,-5
220.5,10,-4
221.0,11,-4
221.25,10,-5
221.5,11,-5
221.75,12,-4
223.0,11,-5
224.75,10,-4
225.75,11,-5
226.25,12,-4
226.5,11,-3
226.75,10,-4
227.0,11,-4
227.25,10,-3
227.5,9,-4
227.75,10,-3
228.0,11,-4
228.25,10,-3
228.5,9,-4
228.75,8,-3
229.0,9,-2
229.25,10,-1
229.5,9,0
229.75,10,-1
230.0,9,-1
230.75,8,-1
231.0,7,0
231.25,6,1
231.5,5,2
231.75,6,1
232.0,5,2
232.25,6,2
232.5,5,2
232.75,4,1
234.75,5,0
235.5,4,1
235.75,5,2
236.0,4,1
236.25,5,2
236.5,4,2
237.75,5,3
238.0,6,2
238.5,5,1
238.75,6,2
239.0,7,1
239.25,6,1
239.5,7,1
239.75,6,1
240.25,7,1
240.5,6,1
242.5,7,2
242.75,8,3
243.25,7,2
243.5,8,3
243.75,7,2
244.0,8,3
244.25,9,2
244.5,8,1
244.75,7,2
245.0,8,1
245.25,9,0
245.75,10,-1
246.75,9,0
247.75,8,1
248.0,9,2
248.25,10,2
249.25,9,2
249.5,10,1
252.0,11,0
253.0,10,-1
253.5,9,-1
253.75,10,0
254.0,9,0
255.75,8,-1
257.0,7,0
257.5,8,1
258.0,9,2
258.25,8,3
258.5,9,2
258.75,8,3
259.0,9,2
259.5,10,1
260.25,9,2
260.5,8,2
260.75,7,3
261.0,8,4
261.5,7,3
262.0,8,2
262.25,7,2
262.5,8,2
262.75,7,3
263.0,8,4
263.25,9,3
263.5,8,4
263.75,7,5
264.0,6,4
264.25,7,4
