Position,Energy,Frequency
0.0,0,0
7.0,-1,1
9.5,0,0
17.5,-1,-1
23.5,0,0
24.5,-1,-1
25.5,-2,-1
32.0,-3,-2
33.5,-4,-1
34.5,-3,-2
36.0,-2,-1
37.5,-1,-1
40.5,-2,-1
41.0,-1,-2
43.0,0,-2
44.5,-1,-1
47.5,-2,0
54.0,-1,-1
55.5,0,-1
57.0,-1,-1
57.5,0,-2
59.0,-1,-2
61.5,0,-3
62.0,1,-3
63.5,2,-4
64.0,3,-3
72.0,2,-3
80.0,3,-4
88.0,2,-4
95.5,1,-3
104.5,0,-4
105.5,-1,-4
108.5,0,-4
112.0,1,-3
113.0,2,-3
128.0,3,-3
129.0,2,-4
130.0,3,-3
132.0,2,-4
133.0,3,-4
134.0,4,-4
135.0,3,-4
136.0,4,-4
137.0,5,-4
138.0,6,-3
139.0,5,-4
140.0,6,-4
141.0,5,-4
142.0,6,-4
143.0,7,-4
144.0,6,-3
145.0,5,-4
146.0,4,-4
147.0,3,-4
148.0,4,-4
149.0,3,-4
150.0,4,-4
151.0,3,-4
152.0,4,-4
153.0,3,-4
154.0,4,-4
155.0,3,-4
156.5,2,-4
157.5,3,-4
158.5,2,-4
159.5,1,-4
160.0,2,-3
164.0,1,-3
165.5,2,-3
168.0,3,-2
172.0,4,-3
173.5,3,-3
176.0,4,-3
179.0,3,-2
180.0,2,-3
181.5,3,-2
184.0,2,-2
192.0,3,-3
196.0,2,-2
197.5,3,-2
200.0,2,-1
204.0,3,-2
205.5,4,-2
208.0,5,-3
212.0,4,-2
213.5,5,-2
217.5,4,-3
220.0,5,-2
221.5,4,-3
223.5,3,-3
224.0,4,-3
225.0,3,-3
226.0,2,-3
227.0,1,-3
229.0,0,-3
230.0,1,-3
231.0,0,-3
233.5,-1,-2
234.5,0,-2
237.5,-1,-3
238.5,0,-2
239.0,1,-3
239.5,2,-3
240.0,1,-2
241.0,2,-3
243.0,1,-3
244.5,0,-3
245.0,1,-3
246.0,2,-3
247.0,3,-3
248.0,2,-3
249.0,1,-3
250.0,2,-2
250.5,3,-1
251.5,4,-1
255.0,3,0
255.5,4,0
256.0,3,-1
258.0,2,0
259.0,3,0
260.0,2,0
263.0,3,0
264.0,2,-1
266.0,1,0
267.0,2,0
268.0,1,-1
268.5,2,-1
272.0,1,0
274.0,0,0
275.0,1,0
276.0,0,0
277.0,1,-1
278.0,2,0
279.0,1,0
280.0,2,0
281.0,1,0
282.0,0,0
283.0,1,0
284.5,0,-1
285.0,1,0
287.0,0,1
292.0,1,0
296.5,2,0
298.5,1,0
300.5,0,0
302.5,1,0
304.5,2,-1
306.5,1,-1
307.0,2,0
307.5,3,-1
310.0,4,0
311.0,5,-1
312.0,6,-2
314.0,5,-1
315.0,4,-2
316.0,5,-1
317.0,4,-2
318.0,5,-1
319.0,4,-2
320.0,5,-2
321.0,4,-2
322.0,5,-1
323.0,4,-2
324.0,5,-2
325.0,4,-2
326.0,5,-2
327.0,4,-2
328.0,3,-1
329.0,4,-2
330.0,5,-2
331.0,4,-2
332.0,5,-2
333.0,4,-2
334.0,5,-2
335.0,4,-2
336.0,5,-2
337.0,6,-2
338.0,7,-2
339.0,6,-2
340.0,7,-2
342.0,8,-2
346.0,7,-1
347.0,6,-2
348.0,7,-2
349.0,6,-2
350.0,7,-2
351.0,6,-2
352.0,7,-1
353.0,6,-2
354.0,5,-1
355.0,6,-2
356.0,7,-2
357.0,6,-2
358.0,7,-2
359.0,6,-2
360.0,5,-2
361.0,4,-2
362.0,5,-2
363.0,4,-2
364.0,5,-2
365.0,4,-2
366.0,5,-1
367.0,4,-2
368.0,5,-2
369.0,6,-2
372.0,7,-2
373.0,8,-2
386.0,7,-1
390.5,6,-1
391.0,7,0
