Position,Energy,Frequency
0.0,0,0
2.0,1,-1
2.25,0,0
2.75,1,-1
3.0,2,-1
3.25,1,0
3.5,0,0
3.75,1,0
4.0,0,0
4.5,-1,0
5.75,0,0
6.0,-1,-1
6.5,-2,-2
6.75,-1,-2
7.0,-2,-3
8.25,-3,-3
8.5,-2,-2
8.75,-3,-3
9.0,-2,-2
9.5,-3,-1
9.75,-4,-2
10.0,-3,-1
10.5,-2,-1
11.0,-1,-1
11.5,-2,-1
13.0,-3,-2
13.5,-2,-2
16.5,-3,-3
17.0,-2,-3
18.25,-1,-2
18.75,0,-3
19.0,1,-3
19.25,0,-2
19.5,-1,-2
22.0,0,-3
22.25,-1,-3
22.75,0,-3
23.0,-1,-3
24.0,-2,-3
24.25,-1,-4
24.5,-2,-4
24.75,-3,-4
25.0,-4,-4
25.5,-3,-3
25.75,-4,-4
26.0,-3,-3
26.5,-2,-4
27.0,-3,-4
27.25,-4,-4
27.5,-3,-3
27.75,-4,-4
28.0,-3,-3
28.5,-2,-4
28.75,-1,-4
29.0,0,-3
29.25,-1,-3
29.5,0,-3
29.75,-1,-4
30.0,-2,-5
30.25,-1,-5
30.5,-2,-4
31.0,-1,-4
31.5,-2,-4
31.75,-3,-5
32.0,-2,-4
32.25,-3,-5
32.5,-2,-4
33.25,-1,-4
33.5,0,-5
34.0,1,-4
34.25,0,-4
34.5,-1,-4
35.0,0,-5
35.25,-1,-4
35.75,-2,-5
36.0,-1,-4
36.25,0,-3
36.5,-1,-4
36.75,0,-4
38.0,-1,-3
38.25,0,-4
38.5,-1,-4
38.75,-2,-3
39.0,-3,-2
40.0,-2,-3
40.75,-3,-2
41.0,-4,-3
42.0,-5,-4
43.5,-4,-3
43.75,-3,-2
44.0,-4,-3
44.25,-5,-4
44.5,-4,-3
44.75,-5,-4
45.0,-6,-3
45.5,-5,-4
45.75,-4,-4
46.0,-5,-5
46.25,-6,-4
46.5,-5,-5
47.0,-4,-5
47.75,-5,-6
48.0,-4,-6
48.5,-5,-5
50.0,-4,-6
50.25,-5,-5
50.75,-6,-6
52.25,-5,-5
52.5,-4,-4
53.0,-5,-3
54.0,-4,-4
54.25,-3,-5
54.5,-2,-5
54.75,-3,-5
56.25,-2,-5
57.0,-3,-5
59.5,-2,-4
59.75,-3,-5
60.0,-2,-4
60.25,-1,-5
61.0,-2,-4
61.5,-1,-5
61.75,0,-4
62.0,-1,-5
62.25,0,-4
62.5,1,-4
63.0,2,-3
63.25,1,-4
64.0,0,-5
65.5,1,-5
66.0,2,-4
66.5,1,-5
66.75,2,-4
67.0,1,-4
67.25,0,-4
67.75,-1,-5
68.0,0,-6
68.25,-1,-5
68.5,0,-6
69.0,-1,-7
69.25,0,-6
69.5,-1,-7
69.75,0,-8
70.0,1,-7
70.25,0,-8
70.5,1,-7
71.25,2,-8
71.5,1,-8
72.25,2,-7
72.5,1,-7
72.75,2,-8
73.0,1,-8
73.5,2,-8
74.0,3,-7
75.75,4,-8
76.0,3,-8
76.25,2,-9
77.0,3,-8
77.75,4,-7
78.0,5,-8
78.5,4,-8
79.0,3,-9
82.0,4,-8
82.5,5,-7
82.75,6,-8
83.25,5,-9
83.5,4,-8
83.75,3,-9
84.0,4,-8
84.25,3,-8
84.5,2,-9
86.0,3,-10
86.25,4,-11
86.5,5,-12
86.75,4,-13
87.0,5,-13
87.75,6,-12
88.0,5,-11
88.25,6,-11
88.5,5,-11
88.75,6,-11
89.5,5,-12
90.0,6,-11
91.5,5,-12
92.0,6,-11
94.75,5,-12
96.0,6,-13
96.25,5,-14
96.5,6,-13
96.75,7,-13
97.0,6,-12
97.25,5,-12
97.5,6,-11
98.0,5,-10
98.25,6,-9
98.5,5,-10
98.75,6,-9
99.0,7,-10
99.5,6,-11
100.25,5,-10
100.5,4,-10
100.75,3,-9
101.0,4,-8
101.5,3,-9
102.0,4,-10
102.5,3,-9
102.75,2,-9
103.0,1,-10
103.25,2,-9
103.5,1,-9
103.75,0,-8
104.0,-1,-9
104.25,0,-9
105.0,-1,-9
105.25,0,-9
105.5,1,-10
106.0,2,-11
106.25,1,-11
106.5,0,-11
106.75,1,-10
107.0,2,-9
107.5,1,-10
107.75,0,-9
108.0,1,-10
108.25,0,-9
109.0,1,-10
109.5,0,-9
110.25,-1,-10
110.5,0,-10
110.75,-1,-9
111.0,0,-9
111.25,-1,-10
111.5,0,-9
111.75,-1,-8
112.0,-2,-9
113.25,-1,-8
113.5,0,-7
114.0,1,-6
114.25,2,-5
114.5,1,-6
114.75,0,-5
115.5,1,-6
116.0,0,-5
116.25,1,-5
116.5,0,-5
116.75,-1,-4
117.0,-2,-3
117.5,-1,-4
118.0,-2,-5
118.25,-3,-5
118.5,-4,-4
118.75,-3,-4
119.25,-4,-3
119.5,-3,-3
119.75,-4,-4
120.0,-5,-5
120.25,-4,-5
120.5,-3,-5
122.0,-4,-6
122.25,-5,-6
122.5,-4,-5
123.0,-5,-6
123.5,-4,-5
124.5,-5,-6
124.75,-4,-7
125.0,-3,-7
125.25,-4,-7
125.5,-3,-6
125.75,-4,-5
126.0,-5,-6
126.25,-4,-7
126.5,-3,-7
126.75,-4,-7
127.0,-3,-7
127.25,-2,-7
127.5,-1,-7
128.25,-2,-8
129.0,-3,-9
129.25,-2,-8
129.5,-1,-7
129.75,0,-7
130.25,-1,-6
130.5,-2,-5
130.75,-1,-5
131.0,-2,-6
131.5,-1,-5
132.25,-2,-4
132.5,-1,-4
132.75,0,-3
133.0,-1,-4
133.5,0,-3
134.25,-1,-4
134.5,0,-3
134.75,1,-3
135.25,0,-2
135.5,1,-2
135.75,0,-2
136.25,-1,-3
137.0,0,-4
137.5,1,-3
138.25,0,-4
138.5,1,-4
138.75,0,-3
139.0,1,-4
139.5,2,-3
139.75,1,-3
140.25,2,-4
140.75,1,-5
141.0,2,-6
141.5,3,-5
142.25,4,-6
142.5,5,-6
142.75,4,-5
143.0,3,-6
143.25,4,-5
143.5,5,-5
143.75,4,-4
144.25,3,-5
145.0,4,-6
145.25,3,-5
145.5,4,-4
145.75,5,-4
146.25,6,-3
146.5,7,-3
146.75,6,-2
147.5,5,-3
147.75,4,-2
148.25,5,-1
148.5,6,-2
148.75,7,-1
149.0,6,-2
149.5,7,-1
150.25,6,-2
150.5,7,-1
150.75,8,-1
151.0,7,-2
151.25,8,-1
151.5,9,-1
151.75,8,-1
152.25,7,-2
153.0,6,-3
153.5,7,-2
154.25,6,-3
154.5,5,-3
154.75,4,-2
155.0,5,-3
155.5,6,-2
156.25,7,-3
156.75,6,-4
157.5,7,-3
158.25,8,-4
158.5,7,-4
158.75,8,-3
159.25,9,-3
159.5,8,-3
159.75,7,-2
162.0,6,-3
162.25,7,-2
163.0,6,-3
163.5,5,-2
163.75,6,-1
164.0,7,-2
164.25,6,-2
165.5,7,-3
166.75,8,-2
168.0,7,-3
168.75,6,-3
169.0,5,-2
169.5,6,-2
169.75,5,-3
170.0,6,-2
170.25,7,-3
171.0,6,-2
171.5,5,-3
172.0,6,-4
173.0,5,-4
173.5,4,-5
174.0,5,-4
174.5,4,-3
174.75,3,-2
175.0,4,-3
175.5,5,-3
175.75,4,-3
176.0,5,-4
177.0,4,-3
177.75,5,-4
178.0,6,-4
178.25,5,-3
178.75,6,-4
179.0,5,-4
179.25,4,-3
179.5,5,-3
179.75,4,-4
180.0,5,-4
180.5,6,-4
181.5,5,-5
181.75,6,-4
182.0,5,-5
182.5,6,-6
182.75,7,-5
183.0,8,-6
183.25,9,-7
183.5,8,-7
184.0,9,-8
184.25,8,-7
184.5,7,-7
184.75,8,-7
185.0,9,-6
185.5,8,-7
185.75,9,-6
186.0,8,-5
186.25,9,-6
186.5,8,-7
187.0,7,-6
187.25,6,-7
188.0,7,-6
188.25,8,-7
189.5,9,-6
189.75,8,-7
190.0,9,-8
190.25,8,-8
190.5,7,-7
190.75,8,-6
191.0,7,-6
191.25,6,-6
191.5,7,-7
191.75,8,-7
192.5,9,-6
193.0,8,-7
193.5,7,-6
194.0,8,-7
194.25,7,-7
195.0,6,-7
195.25,7,-8
195.75,6,-9
196.0,5,-9
196.25,6,-9
196.75,7,-8
197.0,6,-8
198.0,5,-7
198.25,4,-8
198.5,5,-7
198.75,4,-6
199.0,5,-7
199.25,4,-7
200.0,5,-8
200.75,6,-7
201.0,5,-8
202.0,6,-7
204.0,5,-8
205.0,6,-7
205.25,5,-8
205.5,6,-7
205.75,5,-8
206.0,6,-7
206.25,5,-8
206.5,6,-7
207.25,7,-8
208.0,8,-9
209.0,7,-8
210.0,8,-7
210.25,7,-6
210.5,8,-7
210.75,9,-8
211.0,8,-8
211.25,7,-9
211.75,6,-8
212.0,7,-8
212.25,6,-7
213.0,7,-6
214.0,8,-7
214.25,9,-8
214.5,8,-7
214.75,7,-8
215.25,8,-7
216.0,9,-8
216.5,8,-8
216.75,7,-8
217.0,8,-7
217.25,7,-6
218.0,8,-7
218.25,7,-6
218.5,8,-7
219.0,9,-8
219.5,8,-8
220.0,7,-7
220.5,6,-6
221.0,7,-6
221.25,6,-7
221.5,7,-7
221.75,8,-6
223.0,7,-7
226.25,6,-6
226.5,5,-5
226.75,4,-6
227.0,5,-6
227.25,4,-5
227.75,5,-6
228.0,6,-7
228.25,5,-6
228.5,4,-7
229.0,3,-6
229.25,4,-5
229.75,5,-6
230.0,4,-6
230.75,3,-6
231.0,2,-5
231.25,1,-4
231.5,0,-3
231.75,1,-4
232.0,0,-3
232.25,1,-3
232.5,0,-3
232.75,-1,-4
234.5,-2,-5
234.75,-1,-6
235.5,-2,-5
235.75,-1,-4
236.0,-2,-5
236.25,-1,-4
236.5,-2,-4
237.75,-1,-3
238.0,0,-4
238.5,-1,-5
238.75,0,-4
239.0,1,-5
239.25,0,-5
239.5,1,-5
239.75,0,-5
240.25,1,-5
240.5,0,-5
241.25,-1,-6
242.5,0,-5
242.75,1,-4
243.0,0,-3
243.25,1,-4
243.5,2,-3
243.75,1,-4
244.0,2,-3
244.25,3,-4
244.5,2,-5
244.75,1,-4
245.0,2,-5
245.25,3,-6
245.75,4,-7
246.0,3,-7
246.75,4,-6
247.75,3,-5
248.0,4,-4
248.25,5,-4
249.5,4,-5
252.0,5,-6
253.0,4,-7
253.75,5,-6
254.0,4,-6
255.75,3,-7
257.0,2,-6
257.5,3,-5
258.0,4,-4
258.25,3,-3
258.5,4,-4
258.75,3,-3
259.0,4,-4
259.5,5,-5
260.25,4,-4
260.5,3,-4
