Position,Energy,Frequency
0.0,0,0
7.0,-1,1
9.5,0,0
11.0,-1,-1
13.0,0,-2
15.0,-1,-3
17.5,0,-2
19.0,-1,-2
21.5,0,-1
22.0,1,-1
23.0,2,-1
23.5,3,-1
24.5,2,-2
26.5,1,-2
28.5,0,-2
30.0,1,-1
31.5,0,0
32.0,1,-1
33.5,0,0
34.5,1,-1
36.0,2,0
37.5,3,0
40.5,2,0
41.0,3,-1
43.0,4,-1
44.5,3,0
47.0,2,1
47.5,3,2
52.5,4,1
54.0,5,1
55.5,6,1
57.0,5,1
57.5,6,0
59.0,5,0
61.5,6,-1
62.0,7,-1
63.0,6,0
63.5,7,-1
64.0,8,0
65.0,7,-1
72.0,8,0
75.5,7,1
78.5,8,2
79.5,7,2
80.0,8,1
83.0,7,2
88.0,8,1
91.0,7,2
91.5,8,2
95.0,7,3
95.5,8,3
96.0,7,4
96.5,8,3
98.5,7,2
99.5,8,2
100.5,7,2
104.5,8,2
105.5,7,2
106.5,6,2
107.5,7,3
108.5,8,2
109.5,7,2
110.5,8,2
112.0,9,3
113.0,10,3
115.0,9,3
117.0,8,4
118.0,7,4
119.0,6,3
120.0,7,4
128.0,8,4
130.0,7,4
131.0,6,3
132.0,7,3
133.0,8,3
134.0,9,3
135.0,8,3
136.0,9,3
137.0,10,3
138.0,11,4
139.0,10,3
140.0,11,3
141.0,10,3
142.0,11,3
143.0,12,3
144.0,11,4
145.0,10,3
146.0,9,3
147.0,8,3
148.0,9,3
149.0,8,3
150.0,9,3
151.0,8,3
152.0,9,3
153.0,8,3
154.0,9,3
155.0,8,3
156.5,7,3
157.5,8,3
158.5,7,3
159.5,6,3
160.0,7,4
162.0,6,5
164.0,7,4
165.5,8,4
167.0,7,5
167.5,8,5
168.0,9,5
172.0,10,4
173.5,9,4
176.0,10,4
179.0,9,5
181.5,10,4
183.0,9,5
184.0,10,4
185.5,9,5
187.0,10,5
189.0,11,4
190.5,10,4
192.0,11,3
193.0,10,3
196.0,11,4
197.5,12,4
199.5,11,5
200.0,12,4
202.0,11,4
204.0,12,3
205.5,13,3
208.0,14,2
209.0,13,2
212.0,14,3
213.5,15,3
215.5,14,4
216.0,15,3
217.5,16,2
219.0,15,3
220.0,16,2
221.5,15,1
223.0,14,1
223.5,15,1
224.0,16,1
225.0,15,1
226.0,14,1
228.0,13,1
229.0,14,1
230.0,15,1
231.0,14,1
233.0,13,2
233.5,14,1
234.5,15,1
237.0,14,0
237.5,15,0
238.5,16,1
239.0,17,0
239.5,18,0
240.0,17,1
241.0,18,0
242.0,17,0
246.0,16,0
247.0,17,0
248.0,16,0
250.0,17,1
250.5,18,2
251.5,19,2
253.0,18,1
255.0,19,2
255.5,20,2
256.0,19,1
259.0,20,2
260.0,19,2
261.0,18,2
262.0,17,2
263.0,18,2
264.0,17,1
265.0,16,1
266.0,17,2
267.0,18,2
268.0,17,1
268.5,18,1
270.0,17,2
271.0,18,2
272.0,19,2
274.0,18,2
275.0,19,2
276.0,18,2
277.0,19,1
278.0,20,2
279.0,19,2
280.0,20,2
282.0,19,2
283.0,20,2
284.0,19,1
284.5,20,1
285.0,21,2
286.0,20,2
287.0,21,3
288.0,20,3
289.5,21,4
292.0,22,3
293.5,21,4
296.0,22,4
296.5,23,3
298.5,22,3
300.0,21,4
300.5,22,3
302.5,23,3
304.5,24,2
309.5,23,3
310.0,24,4
311.0,25,3
312.0,26,2
314.0,25,3
315.0,24,2
316.0,25,3
317.0,24,2
318.0,25,3
319.0,24,2
320.0,25,2
321.0,24,2
322.0,25,3
323.0,24,2
324.0,25,2
325.0,24,2
326.0,25,2
327.0,24,2
328.0,23,3
329.0,24,2
330.0,25,2
331.0,24,2
332.0,25,2
333.0,24,2
334.0,25,2
335.0,24,2
336.0,25,2
337.0,26,2
338.0,27,2
339.0,26,2
340.0,27,2
342.0,28,2
344.0,27,2
345.0,26,2
346.0,27,3
347.0,26,2
348.0,27,2
349.0,26,2
350.0,27,2
351.0,26,2
352.0,27,3
354.0,26,3
355.0,27,2
356.0,28,2
358.0,29,2
360.0,28,2
362.0,29,2
364.0,30,2
367.0,29,2
368.0,30,2
369.0,31,2
370.0,30,2
371.0,29,2
372.0,30,2
373.0,31,2
376.0,30,3
376.5,31,3
386.0,30,2
390.5,29,2
391.0,30,3
