Position,Energy,Frequency
0.0,0,0
0.25,1,-1
1.0,2,0
1.5,3,-1
2.0,2,-1
2.5,3,0
3.5,2,-1
4.5,3,0
5.25,2,0
5.5,3,1
6.0,2,1
6.75,3,2
9.0,4,1
9.75,3,0
10.0,4,1
10.5,5,1
10.75,4,2
11.0,3,2
11.5,4,1
12.0,5,1
14.0,4,0
14.5,5,1
15.25,6,0
15.5,5,1
15.75,6,0
17.5,7,1
21.0,8,0
21.25,7,1
21.5,8,2
22.5,9,3
23.0,8,2
23.5,7,1
24.0,8,0
26.0,7,-1
27.25,6,0
28.25,7,-1
28.5,8,0
29.0,7,1
29.25,8,2
30.0,7,2
31.75,6,1
33.75,7,2
35.0,8,1
39.5,7,0
39.75,8,0
41.25,9,1
44.75,8,1
48.75,7,1
49.0,6,2
49.25,5,3
49.5,6,2
49.75,7,3
50.5,6,2
51.75,7,3
55.0,6,2
55.25,7,3
55.5,6,2
55.75,7,3
56.75,6,2
57.5,7,3
59.25,6,2
63.25,7,3
63.75,8,2
66.0,7,1
66.25,6,2
66.75,7,1
70.0,6,2
75.0,7,2
78.0,6,1
83.0,5,1
86.0,4,2
91.0,3,3
94.0,4,2
95.5,3,3
98.75,2,4
99.0,1,3
99.5,2,4
99.75,3,4
102.0,2,3
102.5,1,2
107.0,2,3
108.0,3,2
110.0,2,1
111.0,3,2
111.5,2,3
112.75,3,2
113.0,2,3
113.5,1,2
113.75,2,2
114.0,3,2
114.75,4,3
115.25,3,4
115.5,4,3
116.0,3,2
117.0,4,3
118.0,3,2
118.75,4,3
123.5,5,2
123.75,4,3
125.5,5,2
125.75,6,1
128.75,5,2
130.0,6,3
131.5,5,4
134.0,6,5
134.25,7,4
136.0,6,3
137.0,7,4
139.0,6,5
141.25,7,4
142.25,6,5
146.0,7,5
150.0,6,5
151.5,5,4
155.0,4,5
156.0,5,6
157.0,4,7
157.25,5,6
160.0,6,7
161.0,5,8
166.0,4,7
166.25,3,7
166.5,2,8
167.0,3,7
170.0,2,8
170.25,3,7
170.5,2,8
171.0,3,9
171.25,4,8
171.75,3,9
172.0,2,8
174.0,3,9
174.5,4,10
174.75,3,10
177.0,4,9
180.0,3,10
183.0,4,9
184.5,3,10
186.5,4,9
187.0,5,10
187.75,4,11
191.0,5,12
192.0,6,11
194.0,5,10
195.0,6,11
195.5,5,10
195.75,4,11
196.0,3,12
198.0,4,11
200.0,3,12
201.5,2,11
201.75,3,11
202.0,4,12
203.0,3,13
206.0,4,12
208.0,5,12
209.5,4,13
210.0,3,14
211.0,4,13
212.75,3,14
214.0,2,13
216.0,1,12
218.0,2,13
222.0,1,14
222.75,2,13
224.0,1,12
225.5,2,12
226.0,1,13
229.25,0,14
230.0,1,13
230.25,2,13
231.25,3,13
233.75,4,12
234.0,3,12
235.0,4,12
238.0,3,12
240.0,2,13
242.0,3,12
246.0,2,11
246.75,3,12
247.75,2,11
251.25,3,12
251.5,4,13
252.0,3,12
253.0,4,13
254.0,3,14
255.0,2,13
256.0,3,14
256.25,2,13
256.5,3,14
256.75,2,15
257.0,3,14
257.5,4,15
258.25,5,15
258.5,4,15
262.0,3,14
263.0,2,14
264.0,1,15
264.25,2,14
264.5,1,15
270.0,0,14
270.5,-1,15
271.0,0,16
272.0,1,15
274.0,0,16
276.0,1,17
276.5,0,16
277.0,-1,16
277.5,0,17
278.0,-1,16
278.5,0,15
279.0,-1,16
279.5,0,17
280.0,1,16
280.25,2,17
280.5,1,16
280.75,0,16
281.0,1,17
282.0,0,16
285.0,1,15
285.5,0,14
286.0,1,15
286.5,2,14
287.75,3,15
288.0,4,16
294.0,5,17
294.25,6,16
296.0,5,15
301.5,6,16
302.5,5,15
303.5,6,16
304.0,5,15
305.25,4,16
305.75,3,15
306.0,2,15
307.0,3,14
308.0,2,15
308.5,3,14
310.5,2,15
310.75,3,16
313.0,2,15
313.25,3,14
314.0,2,13
315.0,3,12
315.25,2,13
318.0,3,12
318.5,2,12
319.0,1,12
319.5,0,13
320.75,1,12
321.25,2,13
322.75,3,12
323.5,2,13
324.25,1,12
324.5,0,13
326.25,1,13
326.5,0,12
328.0,-1,13
330.5,-2,12
332.0,-1,13
332.25,-2,13
335.5,-1,12
339.5,0,11
340.5,1,11
341.25,0,10
341.75,1,11
344.5,0,11
347.0,-1,10
349.25,0,11
351.0,-1,12
351.5,0,11
351.75,1,12
352.25,0,11
353.5,-1,12
353.75,-2,11
354.75,-3,10
355.0,-4,11
355.25,-3,12
356.25,-4,13
358.0,-3,12
359.25,-2,11
361.25,-3,10
361.5,-4,11
361.75,-3,12
365.0,-4,11
365.75,-3,12
366.25,-4,13
366.75,-3,12
367.0,-4,13
368.25,-3,12
369.0,-2,13
369.25,-1,12
370.0,0,11
370.25,-1,12
370.75,0,11
374.0,-1,10
374.75,0,11
375.5,1,12
375.75,0,11
377.25,1,10
381.75,0,10
382.5,-1,11
383.25,0,10
383.5,-1,11
384.0,0,12
386.0,1,11
390.0,0,12
391.5,1,11
393.0,0,11
395.0,1,12
396.0,0,11
397.25,1,10
398.0,0,11
398.25,1,10
399.0,0,11
402.0,1,10
406.0,0,11
407.25,-1,10
411.0,-2,10
412.0,-3,11
412.5,-2,10
413.0,-1,11
413.25,0,10
414.25,-1,9
417.0,-2,10
417.25,-1,9
420.0,-2,10
422.5,-1,11
422.75,0,10
423.0,1,9
423.25,2,10
426.75,1,11
427.0,0,10
427.25,1,11
427.75,0,10
428.0,1,11
428.25,0,11
429.75,1,10
430.5,2,11
430.75,1,11
433.0,2,10
435.0,1,9
436.0,2,10
438.75,1,9
439.0,2,10
440.5,1,11
441.5,2,10
442.5,1,11
443.0,2,10
447.0,3,11
448.0,2,10
448.5,3,11
449.75,2,12
450.25,3,13
450.5,2,13
451.5,3,12
452.0,2,13
452.25,3,12
452.5,4,13
452.75,3,14
456.0,2,13
456.5,1,12
457.0,2,13
457.5,3,14
458.75,4,13
459.0,3,12
461.5,4,13
464.5,5,12
466.0,4,13
467.0,3,12
467.5,2,11
467.75,3,12
468.0,4,13
469.25,3,12
469.5,4,13
470.0,5,12
470.5,4,13
470.75,5,12
471.0,4,11
471.5,5,12
472.0,4,11
472.5,5,10
473.0,4,11
474.0,3,12
474.75,2,11
475.0,1,12
476.0,0,11
476.5,1,12
478.0,2,12
478.5,1,11
478.75,2,11
479.0,1,12
479.25,2,12
480.5,3,11
481.0,2,12
481.5,1,13
482.75,2,12
483.0,1,13
484.0,0,14
485.0,1,15
486.0,2,14
489.5,1,15
490.0,0,14
490.75,1,15
491.0,0,14
492.0,1,15
492.5,2,14
493.0,1,13
493.5,2,14
494.0,1,13
494.75,0,14
495.5,1,13
497.0,0,14
497.5,1,15
499.0,2,14
500.0,1,13
500.25,2,12
501.5,1,13
502.0,2,12
503.75,1,13
504.0,0,12
505.5,-1,13
506.0,0,14
506.5,-1,13
509.75,0,12
512.0,-1,13
512.75,-2,12
513.5,-3,11
513.75,-2,12
514.25,-3,11
516.0,-4,12
516.25,-3,13
518.0,-4,14
519.0,-3,14
519.25,-4,13
520.0,-3,12
520.5,-2,13
521.0,-3,14
521.25,-2,15
521.5,-3,14
521.75,-2,13
526.5,-3,12
527.0,-2,13
527.5,-3,14
527.75,-4,14
528.0,-5,13
530.0,-4,14
530.25,-5,13
532.0,-4,14
533.5,-3,13
533.75,-2,12
536.0,-3,13
536.25,-2,12
536.5,-3,13
538.0,-4,12
540.0,-3,11
541.0,-4,12
542.0,-3,12
542.5,-2,13
543.5,-3,12
544.0,-2,11
544.25,-1,12
544.5,-2,11
545.0,-1,12
545.25,-2,12
545.5,-1,11
545.75,-2,10
546.0,-1,11
546.25,0,10
547.0,1,10
549.25,0,9
552.0,1,10
553.25,0,9
553.75,1,8
554.0,0,7
558.75,-1,8
559.0,0,9
559.25,1,10
559.5,0,9
559.75,1,9
560.0,0,8
561.0,-1,7
561.5,0,7
561.75,-1,7
562.0,0,8
564.25,-1,7
565.5,0,8
565.75,-1,7
566.0,-2,8
569.0,-1,7
569.25,0,8
570.0,-1,8
570.25,-2,9
570.5,-1,9
571.0,-2,8
572.0,-3,7
574.0,-2,8
574.25,-1,9
574.5,-2,10
574.75,-3,9
575.5,-4,9
578.25,-3,8
579.0,-2,7
579.5,-3,8
580.5,-4,7
580.75,-3,7
581.0,-4,8
581.25,-5,9
581.75,-4,10
584.0,-5,9
584.25,-4,9
585.5,-3,10
586.0,-4,9
587.0,-3,10
587.25,-2,11
590.0,-3,12
592.0,-2,11
592.25,-3,12
596.75,-2,13
600.0,-3,12
601.5,-2,11
603.0,-1,12
603.75,-2,11
604.5,-1,10
604.75,0,9
606.75,-1,10
608.0,0,9
609.5,1,10
612.75,2,9
613.25,1,10
616.0,2,9
617.5,1,8
619.0,2,7
622.0,1,8
623.25,0,7
624.0,1,6
626.0,0,7
628.75,-1,6
630.75,-2,7
631.25,-1,6
631.75,-2,5
632.0,-3,5
632.25,-4,4
633.5,-3,5
635.25,-2,4
636.0,-3,5
636.5,-2,4
636.75,-3,3
637.75,-4,3
638.0,-3,4
640.0,-4,3
640.25,-5,4
644.0,-6,3
644.25,-7,4
