Position,Energy,Frequency
27.75,0,0
29.25,-1,-1
33.75,0,0
35.5,-1,1
43.5,-2,2
43.75,-1,3
44.0,-2,2
53.75,-3,3
87.25,-2,2
119.0,-3,3
120.0,-2,2
121.0,-1,1
122.0,-2,2
122.5,-3,3
122.75,-2,2
123.0,-1,3
123.25,-2,4
123.5,-1,5
128.0,-2,4
128.5,-1,3
128.75,-2,2
129.0,-3,3
129.5,-2,2
131.0,-3,3
131.5,-2,2
132.5,-3,3
133.0,-2,2
133.5,-3,3
134.5,-2,2
135.0,-3,1
135.5,-4,2
135.75,-5,3
136.5,-4,2
137.0,-3,1
137.5,-2,2
138.5,-3,3
139.0,-2,2
139.5,-1,1
140.5,-2,2
141.0,-1,1
141.5,0,0
142.5,-1,1
143.0,-2,2
143.5,-3,1
144.5,-2,0
145.0,-1,-1
145.5,-2,0
146.5,-1,1
147.0,-2,0
147.5,-3,-1
148.5,-4,0
148.75,-5,1
149.0,-4,0
149.5,-3,1
150.5,-2,0
150.75,-3,1
151.0,-2,0
151.5,-3,1
151.75,-4,0
152.5,-3,1
152.75,-4,0
153.0,-5,1
153.5,-4,2
154.5,-3,1
155.0,-4,0
155.5,-3,1
155.75,-4,2
156.5,-3,1
157.5,-2,0
158.5,-3,1
159.5,-4,2
190.75,-3,3
203.5,-2,2
203.75,-1,3
204.0,-2,2
226.0,-1,3
266.0,-2,2
272.0,-3,1
274.0,-2,0
275.0,-3,-1
280.0,-2,0
282.0,-3,-1
290.0,-2,-2
291.5,-3,-1
294.0,-2,-2
295.0,-3,-3
296.0,-2,-2
297.5,-3,-3
298.0,-2,-2
300.0,-3,-1
302.0,-4,-2
304.0,-3,-2
305.0,-4,-2
305.25,-3,-1
305.75,-4,-2
306.0,-3,-1
306.25,-2,0
306.5,-3,1
306.75,-2,2
307.0,-3,1
307.25,-2,2
307.5,-3,3
307.75,-2,4
308.0,-3,3
308.25,-2,4
308.5,-1,3
308.75,-2,2
309.0,-3,3
309.25,-4,4
309.5,-5,5
309.75,-6,4
310.0,-5,5
311.0,-4,4
312.0,-5,5
312.5,-4,4
312.75,-5,5
313.0,-4,4
313.5,-3,3
314.5,-4,4
315.0,-5,3
315.5,-6,4
316.5,-5,3
317.0,-4,2
317.5,-3,3
318.5,-4,4
319.0,-3,3
319.5,-4,4
320.5,-5,5
321.0,-4,4
321.5,-3,5
322.75,-4,6
323.0,-3,5
323.5,-2,4
324.5,-3,3
325.0,-2,4
325.5,-1,3
326.5,-2,4
327.0,-1,3
327.5,-2,4
328.5,-1,5
329.0,0,4
329.5,1,3
331.0,0,4
331.5,-1,5
332.5,0,4
333.0,-1,3
333.5,0,4
334.5,-1,3
335.0,0,2
335.5,-1,3
336.5,0,2
337.0,1,1
337.5,0,2
338.5,-1,1
339.0,0,0
339.5,1,-1
340.5,0,0
341.0,1,1
341.5,2,0
342.5,1,1
343.0,0,0
343.75,1,-1
344.5,2,0
344.75,1,1
345.0,2,0
345.5,3,0
346.5,2,1
347.0,1,0
347.5,2,1
348.5,3,0
348.75,4,1
349.0,3,0
349.5,4,1
350.5,3,0
350.75,2,1
351.0,3,1
351.5,4,2
351.75,3,3
352.5,4,2
353.0,3,3
353.5,4,4
354.5,3,3
354.75,2,2
355.0,1,3
355.5,2,4
355.75,1,3
356.5,0,4
357.0,-1,3
357.5,0,4
358.5,-1,3
358.75,-2,4
359.0,-1,3
359.5,0,2
360.5,-1,3
360.75,-2,2
361.0,-1,1
361.5,0,0
362.5,-1,1
363.0,-2,0
363.5,-1,1
364.5,0,0
365.0,-1,-1
365.5,0,0
365.75,-1,1
366.5,0,2
366.75,-1,1
367.0,-2,0
367.5,-1,1
367.75,-2,2
368.5,-1,3
368.75,-2,2
369.0,-1,3
369.5,0,4
369.75,-1,3
370.5,0,2
370.75,1,3
371.0,0,2
371.5,1,3
371.75,0,4
372.5,-1,3
373.0,-2,4
373.5,-1,3
374.5,-2,2
374.75,-3,1
375.0,-2,2
375.5,-1,1
375.75,-2,0
