Position,Energy,Frequency
0.0,0,0
2.0,1,1
5.0,0,2
6.0,1,3
10.0,0,3
13.0,-1,2
14.0,0,3
16.0,1,2
18.0,2,3
19.0,3,2
22.0,2,3
24.0,1,2
26.0,2,3
27.0,1,2
29.0,0,1
30.0,-1,2
32.0,0,1
34.0,-1,2
37.0,-2,3
38.0,-1,3
42.0,-2,4
46.0,-3,3
50.0,-2,4
50.25,-3,3
50.75,-2,2
51.0,-3,3
53.0,-2,2
54.0,-3,3
58.0,-2,4
59.0,-1,3
62.0,-2,4
67.0,-1,3
67.5,-2,4
68.0,-3,5
68.75,-2,4
69.0,-1,5
71.25,0,4
72.0,1,4
73.0,0,5
75.0,1,4
77.0,0,5
77.25,-1,5
77.5,-2,4
78.75,-1,3
79.75,0,4
81.0,-1,3
82.0,-2,3
83.5,-3,2
83.75,-2,3
85.0,-1,2
88.0,-2,3
89.25,-3,2
89.5,-2,3
90.75,-3,2
93.0,-2,1
94.25,-3,2
95.75,-2,1
96.75,-3,0
97.0,-2,1
98.0,-3,0
100.25,-4,1
102.0,-3,0
105.75,-4,1
106.0,-5,2
106.75,-4,1
107.75,-3,0
108.25,-2,1
109.75,-3,0
110.75,-2,0
111.5,-1,0
111.75,-2,0
114.0,-3,0
114.5,-4,0
114.75,-3,-1
115.5,-2,-2
116.25,-3,-3
119.75,-4,-2
121.25,-3,-3
122.75,-4,-2
124.5,-3,-3
125.5,-4,-2
128.0,-3,-3
128.25,-2,-2
128.75,-3,-3
129.5,-2,-4
129.75,-1,-5
130.0,-2,-4
130.25,-1,-4
131.0,0,-4
131.5,-1,-4
131.75,0,-3
132.25,-1,-4
133.25,-2,-5
133.5,-1,-4
135.0,-2,-3
138.75,-1,-4
140.0,-2,-5
144.25,-1,-4
145.25,-2,-3
146.25,-3,-2
148.0,-2,-2
148.25,-1,-1
148.5,-2,-2
149.0,-1,-3
149.75,-2,-2
150.5,-1,-3
151.25,0,-2
152.0,-1,-3
152.5,-2,-4
153.0,-1,-3
153.75,-2,-4
158.5,-3,-3
158.75,-2,-4
159.0,-3,-3
159.5,-4,-4
159.75,-3,-3
160.0,-4,-2
160.5,-3,-1
161.0,-4,0
161.5,-3,-1
163.0,-2,0
163.25,-1,0
163.5,-2,1
164.0,-1,0
164.5,-2,-1
164.75,-3,-2
166.5,-2,-1
167.75,-1,-1
168.0,-2,-2
169.0,-1,-1
169.25,-2,0
170.5,-3,-1
173.0,-2,-1
173.25,-1,0
174.5,0,1
175.75,-1,1
176.0,-2,0
176.5,-1,1
176.75,-2,0
179.0,-1,-1
179.25,0,-2
179.75,-1,-1
180.0,0,-2
180.5,1,-1
181.0,0,-2
181.75,1,-1
182.25,2,-2
182.5,1,-2
185.25,0,-3
185.5,1,-2
186.5,0,-3
187.0,1,-2
187.5,0,-1
191.0,1,0
192.0,0,-1
192.5,-1,0
196.0,0,-1
196.25,-1,0
196.5,-2,-1
198.25,-1,0
198.5,-2,1
199.75,-3,1
201.5,-4,0
202.5,-3,-1
203.0,-4,-2
203.25,-3,-1
204.0,-4,-2
204.5,-5,-1
208.0,-6,-2
211.75,-7,-2
212.0,-6,-3
212.25,-5,-2
212.75,-4,-3
213.0,-5,-2
214.25,-4,-1
214.5,-3,0
217.25,-4,-1
217.5,-5,-2
218.0,-4,-2
219.0,-3,-1
221.0,-2,-1
223.25,-3,-2
224.0,-2,-1
228.0,-3,0
228.5,-2,-1
232.0,-3,0
232.25,-4,-1
232.5,-3,0
232.75,-4,-1
233.0,-3,0
233.25,-4,-1
234.5,-3,0
235.0,-4,1
239.0,-3,0
239.75,-2,-1
240.75,-1,0
241.0,0,1
241.25,-1,0
245.0,-2,-1
246.25,-1,0
248.0,0,-1
249.0,-1,0
249.25,0,-1
250.5,-1,-2
252.0,0,-1
254.0,-1,-2
255.0,0,-1
255.5,-1,-1
256.0,-2,-1
256.75,-1,-2
257.0,-2,-3
257.25,-1,-2
258.75,-2,-3
260.0,-3,-2
260.25,-4,-1
260.5,-3,-2
260.75,-4,-2
261.0,-3,-3
261.5,-2,-2
261.75,-1,-2
263.0,-2,-3
264.0,-1,-3
264.5,0,-2
265.0,-1,-2
265.5,-2,-1
265.75,-1,-2
268.25,0,-3
268.75,-1,-4
269.25,-2,-3
270.75,-1,-4
272.0,0,-5
273.0,-1,-4
273.5,-2,-3
273.75,-3,-4
274.0,-4,-3
276.25,-3,-4
276.75,-2,-3
277.0,-3,-2
277.5,-2,-3
280.0,-3,-2
281.0,-4,-3
281.25,-3,-2
281.5,-2,-3
282.0,-1,-2
284.25,-2,-1
284.75,-1,0
286.75,-2,-1
289.0,-1,0
292.75,-2,1
293.25,-3,0
293.5,-4,1
293.75,-3,0
296.0,-4,1
296.25,-3,0
296.5,-2,1
296.75,-3,0
297.75,-4,1
299.0,-3,0
300.25,-4,-1
300.5,-3,0
300.75,-2,0
301.0,-3,-1
301.25,-2,0
305.75,-1,-1
308.5,-2,0
308.75,-3,0
309.0,-2,-1
309.25,-1,-2
311.75,-2,-1
312.0,-1,-2
312.5,0,-1
312.75,-1,-2
314.75,0,-1
315.0,1,-2
316.0,0,-3
316.25,1,-2
316.5,0,-2
316.75,-1,-1
317.0,-2,-2
317.25,-1,-3
317.5,-2,-2
318.75,-3,-3
319.0,-2,-2
319.25,-3,-2
320.5,-2,-1
324.0,-3,-2
324.75,-4,-3
325.25,-3,-2
325.75,-4,-3
326.5,-5,-2
326.75,-4,-1
329.0,-5,0
329.25,-4,-1
329.75,-5,0
332.0,-6,-1
334.0,-5,0
334.25,-6,-1
334.5,-5,0
334.75,-6,-1
335.0,-5,0
335.5,-6,-1
335.75,-5,0
336.0,-4,-1
336.25,-3,-2
336.5,-2,-1
337.0,-1,0
338.0,-2,-1
340.0,-1,0
340.25,0,-1
341.0,-1,0
341.25,0,-1
341.5,-1,0
343.0,0,-1
344.0,1,0
346.0,0,-1
347.0,1,0
348.0,2,-1
350.0,1,-1
351.0,2,-1
352.0,3,-2
352.5,2,-3
352.75,3,-2
353.0,2,-1
353.25,3,0
354.0,4,-1
354.75,5,-1
356.0,4,0
356.25,3,-1
356.75,2,0
357.0,3,1
357.75,4,0
358.0,3,1
359.0,4,0
359.25,5,-1
360.0,4,0
361.0,5,-1
362.0,4,0
363.0,5,0
364.25,6,1
364.75,5,0
366.0,4,1
370.0,3,0
370.25,4,0
370.75,3,-1
371.25,4,0
371.5,3,1
372.0,4,2
374.75,5,1
375.0,4,2
376.0,3,1
378.0,2,2
378.5,3,3
379.25,4,4
380.0,3,3
382.0,2,3
383.0,3,3
386.0,2,2
386.75,3,1
387.0,4,2
387.25,3,2
387.5,4,2
387.75,3,3
389.0,4,2
391.0,5,3
393.0,4,3
394.5,5,2
395.0,4,3
396.0,5,2
396.75,4,3
397.0,5,3
398.0,6,2
400.0,5,3
400.25,6,3
402.75,7,4
403.0,6,3
403.5,5,2
403.75,6,3
404.0,5,2
404.25,6,3
404.5,7,2
405.0,6,1
405.25,7,0
406.0,8,1
407.25,9,2
410.75,8,3
411.0,9,2
412.25,8,3
415.25,9,2
415.5,8,2
415.75,7,2
416.25,8,3
416.5,9,2
418.0,8,1
419.5,9,2
419.75,10,3
420.25,9,2
424.0,8,2
424.25,7,2
427.25,6,1
427.75,7,2
430.75,8,1
431.0,7,2
431.25,8,3
431.75,7,2
432.0,6,1
432.5,7,1
433.5,8,0
435.0,9,1
435.5,8,1
436.0,9,1
436.25,8,2
436.5,9,1
436.75,10,0
438.5,9,1
439.0,8,2
439.75,9,1
440.0,8,0
441.25,7,1
442.5,8,0
444.5,9,1
445.25,10,2
445.75,9,3
446.5,10,4
448.0,9,3
452.25,10,2
454.0,9,3
454.25,10,3
455.25,11,2
457.25,10,1
458.5,11,2
458.75,10,2
459.0,11,3
459.25,10,2
459.75,11,3
460.75,10,2
461.0,11,3
462.25,10,4
462.5,11,4
463.0,10,3
464.0,9,4
464.5,10,3
465.0,9,2
465.25,10,3
465.5,11,2
465.75,10,3
467.0,11,3
468.0,12,2
468.5,11,3
468.75,12,2
469.0,11,1
470.25,12,2
470.5,11,3
471.75,12,3
474.5,13,2
475.0,12,1
475.25,13,2
476.0,14,1
476.5,15,0
480.0,14,-1
480.5,15,0
482.5,16,0
483.75,15,1
484.0,16,0
484.25,17,1
484.5,16,2
484.75,15,1
485.0,14,2
486.0,15,3
487.25,16,2
489.0,15,2
489.5,16,3
490.0,15,2
490.5,16,2
491.25,15,1
491.75,16,2
492.75,17,3
494.25,16,2
494.75,15,1
495.0,14,2
495.25,13,3
495.5,14,2
496.0,15,1
498.0,16,2
500.0,15,3
502.0,16,4
503.5,15,5
505.25,16,4
506.0,17,4
507.0,16,3
509.0,15,4
510.0,16,4
510.25,15,5
512.0,16,4
512.75,15,5
513.0,14,4
514.0,15,3
515.0,16,3
516.0,15,2
518.0,16,3
521.5,17,2
522.0,16,3
523.25,15,2
525.0,16,3
526.0,17,4
528.0,16,3
530.0,17,4
530.5,18,5
531.0,17,4
534.0,16,5
537.5,15,4
537.75,16,4
538.0,15,5
538.5,16,6
539.0,17,5
539.25,16,6
540.25,17,5
541.0,16,4
542.0,17,5
543.0,16,5
544.0,15,4
544.75,16,5
545.0,17,4
546.0,16,3
546.5,17,4
547.0,16,3
548.0,15,2
550.0,16,3
552.0,15,2
553.0,14,3
553.5,13,2
553.75,14,2
555.0,13,3
557.0,12,4
558.0,13,5
560.0,14,4
560.25,13,4
561.0,12,5
562.0,13,4
564.0,12,5
564.25,13,4
564.5,12,5
564.75,13,5
565.0,12,5
565.25,11,5
566.0,12,5
568.0,11,4
568.75,12,5
569.0,11,5
572.0,10,5
572.25,9,4
572.75,10,5
573.0,9,5
576.0,8,5
576.25,7,4
576.75,8,5
577.0,7,5
579.0,6,5
580.0,5,5
580.25,4,5
580.75,5,5
581.0,4,5
584.0,3,5
584.25,2,5
584.75,3,5
585.0,2,5
