Position,Energy,Frequency
0.0,0,0
4.0,1,-1
8.0,2,0
10.0,1,-1
11.0,2,0
12.0,3,-1
13.0,2,-2
16.0,3,-2
17.0,4,-1
20.0,3,-2
22.0,2,-1
24.0,3,-2
26.0,4,-3
27.0,3,-2
28.0,4,-3
29.0,3,-3
30.0,2,-4
32.0,3,-3
34.0,2,-4
35.0,1,-3
36.0,2,-4
37.0,3,-3
38.0,2,-4
39.0,1,-3
40.0,2,-4
41.0,3,-5
42.0,2,-4
43.0,3,-4
44.0,4,-5
45.0,3,-4
46.0,4,-4
47.0,5,-4
48.0,6,-5
49.0,5,-4
50.0,6,-5
51.0,7,-6
53.0,8,-5
54.0,9,-6
55.0,8,-5
56.0,9,-6
58.0,8,-6
59.0,7,-5
60.0,6,-5
61.0,5,-5
62.0,6,-6
63.0,7,-5
64.0,6,-5
65.0,5,-5
66.0,6,-6
68.0,7,-5
69.0,6,-4
70.0,7,-5
71.0,8,-5
72.0,7,-4
73.0,8,-5
74.0,7,-4
75.0,6,-3
76.0,7,-4
77.0,6,-3
78.0,7,-2
79.0,6,-1
80.0,5,-1
81.0,6,0
82.0,7,-1
83.0,6,-1
84.0,7,0
85.0,8,-1
86.0,7,0
87.0,8,-1
88.0,7,0
89.0,8,-1
90.0,7,-2
91.0,8,-1
92.0,7,-1
93.0,6,-1
94.0,7,-2
95.0,6,-2
96.0,7,-2
97.0,6,-1
98.0,5,-2
99.0,6,-1
100.0,5,-2
102.0,4,-3
104.0,3,-4
105.0,2,-3
106.0,3,-4
107.0,2,-3
108.0,3,-4
109.0,2,-3
110.0,3,-4
111.0,2,-4
120.0,3,-5
124.0,4,-5
126.0,5,-5
127.0,4,-4
128.0,5,-4
129.0,4,-4
130.0,5,-3
131.0,4,-4
132.0,3,-3
135.0,4,-4
136.0,3,-3
138.0,2,-2
140.0,1,-3
142.0,2,-3
143.0,3,-2
144.0,2,-3
148.0,1,-4
150.0,2,-3
151.0,1,-4
152.0,2,-5
154.0,3,-6
156.0,2,-5
158.0,3,-5
159.0,2,-5
160.0,1,-6
161.0,2,-6
162.0,3,-7
163.0,2,-7
164.0,3,-6
165.0,2,-7
166.0,1,-7
168.0,2,-6
169.0,1,-7
170.0,2,-6
171.0,3,-5
172.0,2,-6
173.0,3,-6
174.0,4,-7
175.0,3,-7
176.0,2,-6
178.0,1,-7
180.0,2,-6
181.0,1,-5
182.0,2,-4
183.0,3,-5
188.0,4,-5
189.0,3,-5
190.0,4,-4
191.0,3,-4
192.0,4,-5
193.0,5,-4
194.0,6,-3
195.0,5,-3
196.0,4,-3
202.0,5,-4
203.0,6,-5
204.0,5,-6
208.0,4,-5
210.0,5,-5
211.0,4,-4
212.0,5,-5
213.0,6,-4
214.0,5,-5
215.0,4,-4
217.0,5,-5
218.0,6,-4
220.0,5,-5
221.0,6,-4
222.0,7,-5
223.0,8,-4
224.0,9,-5
225.0,8,-4
226.0,7,-4
227.0,6,-3
228.0,7,-4
229.0,6,-5
230.0,7,-4
232.0,8,-4
233.0,7,-5
235.0,8,-4
237.0,7,-5
238.0,8,-5
239.0,7,-5
240.0,8,-5
241.0,7,-5
243.0,6,-4
244.0,5,-3
245.0,6,-4
246.0,7,-3
247.0,6,-4
248.0,5,-3
249.0,6,-3
250.0,5,-2
251.0,4,-3
252.0,3,-4
253.0,4,-3
254.0,5,-2
255.0,6,-2
256.0,7,-3
257.0,6,-2
258.0,7,-3
259.0,6,-4
260.0,7,-5
261.0,6,-4
262.0,5,-5
263.0,4,-4
264.0,5,-3
265.0,4,-3
266.0,3,-3
267.0,4,-4
268.0,3,-3
269.0,2,-2
