Position,Energy,Frequency
0.25,0,0
0.5,-1,0
0.75,-2,1
1.0,-1,0
1.25,-2,0
1.5,-1,0
2.0,-2,0
2.75,-3,0
3.0,-4,0
3.5,-3,0
4.25,-4,0
4.5,-3,0
5.0,-4,-1
5.75,-3,0
6.0,-2,1
6.25,-3,1
6.5,-4,0
7.0,-5,0
7.25,-4,0
7.5,-3,0
8.0,-4,0
8.5,-3,1
8.75,-2,0
14.5,-3,1
14.75,-2,1
15.0,-1,0
15.25,-2,1
15.5,-1,0
16.0,0,1
16.25,-1,0
16.5,0,-1
16.75,1,-1
17.0,2,-1
17.25,1,-1
17.5,0,-1
17.75,1,-1
18.0,2,-1
18.25,3,-1
18.5,2,-1
18.75,1,-1
19.0,2,-1
19.25,1,-1
19.5,2,-1
19.75,3,-1
20.0,4,0
20.25,3,-1
20.5,4,0
20.75,3,-1
21.5,4,0
22.0,3,0
22.25,2,-1
23.5,3,0
23.75,4,0
24.0,5,0
24.25,4,-1
24.5,5,0
24.75,4,-1
25.0,5,0
25.25,6,0
25.5,5,0
25.75,4,0
26.0,5,0
26.25,6,0
26.5,7,0
26.75,6,0
27.0,5,0
27.25,4,0
27.5,3,0
27.75,2,0
28.0,3,1
28.25,2,0
28.5,3,1
28.75,2,0
29.25,1,0
29.5,2,1
29.75,1,0
30.0,2,1
30.25,1,0
30.5,2,0
30.75,1,0
31.0,2,0
31.25,3,0
31.5,4,1
31.75,3,1
32.0,4,1
32.25,3,0
32.5,4,1
32.75,3,1
33.0,4,1
33.25,5,1
33.5,4,1
33.75,5,1
34.0,6,1
34.25,7,1
34.5,6,1
34.75,5,1
35.0,4,1
35.25,3,1
35.5,4,1
35.75,3,1
36.0,4,2
36.25,3,1
36.5,4,2
36.75,3,2
37.5,4,2
37.75,3,1
38.0,4,2
38.25,3,1
39.5,4,2
39.75,5,2
40.0,6,2
40.25,7,1
40.5,6,1
40.75,7,1
41.0,6,1
41.25,7,1
41.5,8,1
41.75,7,1
42.0,6,1
42.25,5,1
42.5,6,1
42.75,7,1
43.0,8,1
43.25,9,1
43.5,8,1
43.75,7,1
44.0,6,2
44.25,7,1
44.5,8,1
44.75,7,1
45.0,8,1
45.25,9,1
45.5,8,2
45.75,9,1
46.0,10,1
46.25,9,1
46.5,10,1
46.75,9,1
47.0,8,1
47.25,9,1
47.5,10,2
47.75,9,1
48.0,8,2
48.25,9,2
48.5,8,2
48.75,9,2
49.0,10,2
49.25,9,1
49.5,10,1
49.75,9,2
50.0,8,1
50.25,9,1
50.5,8,2
50.75,9,1
51.0,8,2
51.25,7,1
51.5,8,0
51.75,7,0
52.0,6,1
52.25,5,0
52.5,6,1
53.5,7,1
54.0,8,0
54.5,7,1
54.75,8,1
55.5,9,0
55.75,10,1
56.75,9,1
62.0,10,0
63.75,11,1
65.0,12,1
65.25,13,1
65.5,14,0
65.75,15,1
66.0,16,1
66.25,15,1
66.5,16,1
66.75,15,1
67.0,16,1
67.25,15,1
67.5,14,1
67.75,13,1
68.0,14,1
68.25,13,0
68.5,14,1
68.75,13,1
69.0,12,0
69.25,13,1
69.5,12,1
69.75,13,1
70.0,14,1
70.25,13,0
70.75,12,1
71.0,13,0
71.25,12,1
71.5,13,1
71.75,14,1
72.0,13,1
72.25,12,0
72.75,13,1
73.0,12,1
73.5,13,1
73.75,12,1
74.0,13,1
74.25,12,1
74.75,13,1
75.0,12,0
75.25,11,1
75.5,12,1
75.75,11,0
76.0,12,1
76.25,11,1
76.5,12,1
76.75,13,1
77.0,12,1
77.25,13,1
77.5,12,1
77.75,11,1
78.0,12,1
78.25,13,1
78.5,12,1
78.75,13,1
79.0,12,1
79.25,13,1
79.5,14,1
79.75,13,1
80.0,14,1
80.5,13,1
80.75,14,1
81.0,13,1
81.25,14,1
81.5,15,1
81.75,14,1
82.5,15,1
82.75,16,1
83.0,17,0
83.25,16,1
83.5,17,0
84.0,16,1
84.25,17,1
84.5,16,1
84.75,15,0
85.0,16,-1
85.25,17,-1
85.5,18,-1
85.75,17,0
86.0,18,-1
86.25,17,0
86.5,18,1
86.75,17,0
87.0,16,0
87.25,17,0
87.5,18,0
87.75,19,0
88.0,18,1
88.25,19,0
88.5,18,0
88.75,19,0
89.0,18,1
89.25,17,0
89.5,16,1
89.75,17,1
90.0,18,0
90.25,17,1
90.5,18,2
90.75,19,2
91.0,18,2
91.25,17,2
91.5,16,2
91.75,17,2
92.0,16,2
92.25,17,2
92.5,18,1
92.75,19,0
93.0,20,0
93.25,21,0
93.5,20,0
93.75,19,1
94.0,20,0
94.25,19,1
94.5,20,2
94.75,19,1
95.0,20,2
95.25,19,2
95.5,18,2
95.75,19,2
96.0,20,3
96.25,19,2
96.5,18,1
96.75,19,1
97.0,20,2
97.25,19,1
97.5,20,2
97.75,19,3
98.25,20,2
98.5,19,3
98.75,18,2
99.0,19,3
99.25,18,4
99.75,19,4
100.0,18,4
100.25,19,4
100.5,18,4
100.75,17,3
101.0,18,2
101.25,19,2
101.5,18,2
101.75,17,3
102.0,18,2
102.25,17,3
102.5,18,4
102.75,17,3
103.0,16,3
103.25,17,3
103.5,18,3
103.75,19,3
104.0,18,4
104.25,19,3
104.5,18,3
104.75,19,3
105.0,18,4
105.25,17,3
105.5,16,4
105.75,17,4
106.0,18,3
106.25,17,4
106.5,18,5
106.75,19,5
107.0,18,5
107.25,17,5
107.5,16,5
107.75,17,5
108.0,16,5
108.25,17,5
108.5,18,4
108.75,19,3
109.0,20,3
109.25,21,3
109.5,22,3
109.75,21,4
110.0,22,3
110.25,21,4
110.5,22,5
110.75,21,4
111.0,20,5
111.25,19,5
111.5,20,5
111.75,21,5
112.0,22,6
112.25,21,5
114.5,20,6
115.5,19,6
115.75,20,5
116.0,21,6
116.25,22,6
116.5,21,6
116.75,20,5
117.0,19,4
117.25,20,4
117.5,21,4
117.75,20,5
118.0,21,4
118.25,20,5
118.5,21,6
118.75,20,5
119.0,19,5
119.25,20,5
119.5,21,5
119.75,22,5
120.0,21,6
120.25,22,5
120.5,21,5
120.75,22,5
121.0,21,6
121.25,20,5
121.5,19,6
121.75,20,6
122.0,21,5
122.25,20,6
122.5,21,7
122.75,22,7
123.0,21,7
123.25,20,7
123.5,19,7
123.75,20,7
124.0,19,7
124.25,20,7
124.5,21,6
124.75,22,5
125.0,23,5
125.25,24,5
125.5,23,5
125.75,22,6
126.0,23,5
126.25,22,6
126.5,23,7
126.75,22,6
127.0,23,7
127.25,22,7
127.5,21,7
127.75,22,7
128.0,23,8
128.25,22,7
128.5,21,6
128.75,22,7
129.0,21,8
129.5,22,7
130.25,23,7
130.5,22,7
131.0,23,8
131.25,22,7
131.5,23,8
131.75,22,8
132.0,21,8
132.25,22,8
132.5,21,8
132.75,20,7
133.0,21,6
133.25,22,6
133.5,21,6
133.75,20,7
134.0,21,6
134.25,20,7
134.5,19,8
134.75,20,7
135.0,19,7
135.25,20,7
135.5,19,7
135.75,18,7
136.0,17,8
136.25,18,7
136.5,17,7
136.75,18,7
137.0,17,8
137.25,16,7
137.75,17,8
138.0,18,7
138.25,17,8
138.5,18,9
138.75,17,8
139.0,18,7
139.25,17,7
139.5,16,7
139.75,15,8
140.0,16,8
140.25,17,8
140.5,18,7
140.75,17,8
141.0,18,7
141.25,19,7
141.5,18,8
141.75,19,7
142.0,18,7
142.25,17,8
142.5,18,9
142.75,17,8
143.0,16,9
143.25,17,9
143.5,16,8
143.75,17,9
144.0,16,9
144.25,15,8
144.5,16,9
144.75,15,8
145.5,14,8
145.75,15,8
146.0,14,8
146.75,15,8
147.25,14,8
147.5,15,8
148.0,16,9
148.25,17,8
148.5,18,8
148.75,19,8
149.0,18,8
149.25,19,8
149.5,20,8
149.75,21,8
150.0,20,8
150.25,21,8
150.5,22,9
150.75,23,8
151.0,22,8
151.25,23,8
151.5,24,8
151.75,25,8
152.0,24,9
152.25,25,8
152.5,26,8
152.75,27,8
153.0,26,8
153.25,25,8
153.5,26,8
153.75,27,8
154.0,26,8
154.25,27,8
154.5,28,9
154.75,27,9
155.25,28,9
155.5,29,9
155.75,28,9
156.0,27,9
156.25,28,8
156.5,29,8
156.75,30,8
157.0,29,8
157.25,30,8
157.5,31,8
157.75,32,8
158.0,31,8
158.25,32,8
158.5,33,9
158.75,34,8
159.0,33,8
159.25,34,8
159.5,35,8
159.75,36,8
160.0,35,9
160.25,36,8
160.5,37,8
160.75,36,8
161.0,35,8
161.25,36,8
161.5,37,8
161.75,36,8
162.0,35,8
162.25,36,9
162.5,35,9
162.75,36,8
163.0,35,9
163.25,36,9
163.5,37,8
163.75,36,9
164.0,35,9
164.25,36,8
164.5,37,8
164.75,38,8
165.0,37,8
165.25,38,8
165.5,39,8
165.75,40,8
166.0,39,8
166.25,40,8
166.5,41,9
166.75,42,8
167.0,41,8
167.25,40,8
167.5,41,8
167.75,42,8
168.0,41,9
168.25,42,8
168.5,43,8
168.75,44,8
169.0,43,8
169.25,44,8
169.5,45,8
169.75,46,8
170.0,45,8
170.25,44,8
170.5,45,9
170.75,44,9
171.25,43,9
171.5,44,9
171.75,43,9
172.0,42,9
172.25,41,9
172.5,42,8
172.75,43,8
173.0,42,8
173.25,43,9
173.5,44,8
173.75,45,8
174.0,44,9
174.25,45,8
174.5,44,9
174.75,45,9
175.0,44,8
