Position,Energy,Frequency
0.0,0,0
13.0,-1,1
14.5,0,0
16.0,-1,0
17.0,-2,0
20.0,-1,0
21.0,0,1
22.5,1,1
23.5,0,0
27.0,-1,-1
27.5,0,-1
28.0,1,-2
29.0,2,-1
31.0,3,-1
32.0,2,-2
34.5,1,-1
35.5,0,0
36.0,1,-1
37.0,2,0
38.5,3,0
39.5,2,-1
40.0,3,-2
43.0,2,-2
44.0,3,-2
45.0,4,-1
45.5,5,-2
46.0,6,-1
48.0,7,-1
61.0,6,0
64.0,5,0
64.5,6,0
67.0,5,1
67.5,6,0
69.5,5,-1
70.0,6,-1
71.5,5,0
73.5,6,-1
74.0,7,-1
75.5,8,-1
80.0,7,0
81.0,8,1
82.5,9,0
84.0,8,0
85.0,9,1
86.5,8,0
87.0,9,1
90.5,8,0
91.0,9,1
92.5,10,0
93.0,11,1
94.5,10,0
95.0,11,1
96.0,10,0
96.5,11,0
97.0,12,1
98.0,11,0
98.5,12,1
99.0,13,2
101.0,12,2
102.5,11,1
103.0,12,2
106.5,11,1
107.0,12,2
109.0,13,2
110.5,12,1
111.0,13,2
112.0,12,1
113.5,11,1
114.5,12,1
116.0,11,1
117.0,12,2
118.5,11,1
119.0,12,2
122.5,11,1
123.0,12,2
124.5,13,1
126.5,12,0
127.0,13,1
128.0,12,0
128.5,13,0
130.0,14,-1
130.5,15,0
131.5,14,-1
132.0,15,-2
133.0,16,-1
134.5,15,-2
136.0,16,-3
137.0,17,-2
140.0,16,-3
140.5,17,-2
141.0,18,-1
142.5,17,-2
143.0,18,-2
144.0,17,-2
146.5,16,-2
149.0,17,-1
150.5,16,-2
151.0,17,-1
152.0,16,-2
153.0,17,-1
154.5,16,-2
155.0,17,-1
156.0,16,-2
157.0,17,-1
158.5,16,-2
159.0,17,-1
160.0,16,-2
161.0,17,-1
162.5,16,-2
163.0,17,-1
165.0,16,-1
166.5,15,-2
167.0,16,-1
168.0,15,-2
169.0,16,-1
170.5,15,-2
171.0,16,-1
173.0,15,-1
174.5,14,-2
175.0,15,-1
176.0,16,-1
177.5,17,-1
178.0,18,-1
179.0,17,-2
180.0,18,-3
182.0,19,-2
183.0,18,-3
184.0,19,-3
186.0,20,-2
188.0,19,-3
190.0,20,-2
191.0,19,-3
192.0,20,-3
193.0,19,-3
194.0,20,-2
195.5,19,-3
196.0,20,-4
197.0,19,-3
198.0,20,-4
200.0,19,-4
203.0,18,-3
204.0,19,-4
205.5,18,-4
207.0,19,-4
208.0,18,-3
209.5,19,-3
211.0,20,-4
211.5,21,-4
213.5,22,-4
214.5,21,-4
215.0,22,-4
215.5,23,-4
217.5,22,-4
221.5,21,-4
223.0,22,-4
225.5,21,-4
227.0,22,-4
227.5,23,-4
229.5,24,-4
231.0,25,-4
232.0,26,-3
234.0,25,-4
236.0,26,-5
240.5,25,-4
241.5,24,-5
242.0,25,-6
243.0,26,-5
244.0,27,-6
245.0,26,-6
246.5,25,-6
248.0,26,-5
249.5,25,-6
250.5,26,-6
251.0,27,-6
253.0,26,-5
253.5,27,-5
255.0,26,-5
263.0,27,-4
266.5,26,-4
267.5,27,-5
268.0,28,-5
268.5,29,-4
269.0,30,-4
271.0,29,-5
271.5,30,-4
272.0,29,-5
274.5,28,-5
275.0,29,-4
275.5,30,-3
276.0,31,-4
276.5,32,-3
279.0,33,-4
279.5,34,-3
281.5,33,-4
282.0,34,-5
284.0,35,-5
287.0,34,-4
287.5,35,-3
288.0,36,-4
289.5,35,-4
290.0,36,-4
291.5,35,-4
298.0,34,-3
299.0,35,-3
303.0,34,-2
303.5,35,-3
304.0,36,-3
305.5,37,-3
306.0,38,-3
308.0,37,-3
309.0,38,-3
310.0,39,-3
311.0,38,-2
312.0,39,-3
314.0,38,-3
315.0,37,-3
316.0,38,-3
316.5,39,-2
318.0,38,-3
319.0,37,-3
320.0,38,-3
320.5,39,-2
322.0,38,-3
322.5,39,-3
323.5,40,-3
325.0,39,-3
326.0,40,-3
327.0,39,-2
327.5,40,-3
328.0,41,-3
330.0,40,-3
331.0,39,-3
332.5,40,-2
334.5,39,-3
336.5,40,-3
338.0,39,-3
340.0,38,-3
341.0,39,-2
342.5,38,-3
343.0,39,-2
344.0,38,-3
345.0,39,-2
348.0,38,-3
348.5,39,-2
350.0,38,-3
351.0,39,-3
352.0,38,-3
352.5,39,-2
353.5,38,-1
354.0,39,-2
355.0,38,-1
356.0,37,-2
357.0,38,-1
358.5,37,-2
360.0,38,-3
361.0,39,-2
364.0,38,-3
365.0,39,-3
365.5,40,-3
367.5,39,-3
368.0,38,-3
368.5,39,-3
370.0,38,-2
370.5,39,-3
372.0,38,-3
373.0,37,-3
374.0,38,-3
375.0,37,-2
376.0,36,-3
377.0,37,-2
378.0,38,-3
379.0,39,-2
380.0,38,-3
381.0,39,-2
382.0,40,-3
383.0,41,-2
385.0,40,-3
386.0,41,-3
386.5,42,-3
391.0,41,-2
394.0,42,-3
395.5,43,-3
397.0,42,-2
399.0,43,-2
400.0,42,-3
402.5,41,-2
403.0,42,-1
405.0,43,-1
406.0,44,-2
408.0,43,-1
409.0,44,-2
410.0,43,-2
412.0,44,-2
413.0,43,-1
414.0,44,-2
415.0,43,-1
416.5,44,-2
417.0,45,-2
418.0,44,-1
420.0,45,-2
421.0,46,-1
422.0,45,-2
423.0,46,-1
425.5,45,-2
427.0,46,-1
427.5,47,-2
428.5,46,-1
429.0,47,0
430.5,48,0
432.0,47,0
433.5,46,0
435.0,45,-1
435.5,46,-1
436.0,47,0
438.5,46,-1
440.0,47,-2
441.5,48,-2
443.0,47,-2
443.5,48,-2
445.5,49,-2
447.0,48,-2
447.5,49,-2
449.5,50,-2
450.5,49,-2
451.0,50,-2
451.5,51,-2
453.5,50,-2
456.5,51,-1
459.0,50,-2
461.5,51,-2
463.0,50,-2
463.5,51,-2
464.5,50,-1
465.0,51,-1
468.0,52,-2
469.0,51,-3
470.0,52,-2
470.5,53,-3
480.0,52,-2
482.0,51,-2
