Position,Energy,Frequency
0.0,0,0
0.25,-1,0
0.5,-2,0
0.75,-1,1
1.0,0,0
1.25,1,0
1.5,0,1
1.75,1,0
2.0,0,0
2.25,1,0
2.5,0,0
2.75,1,1
3.0,2,0
3.25,3,0
3.5,2,1
3.75,3,0
4.0,2,0
4.25,3,1
4.5,4,0
4.75,3,1
5.0,2,0
5.25,1,0
5.5,2,0
5.75,1,0
6.0,2,0
6.25,1,0
6.5,0,0
6.75,1,0
7.0,0,0
7.25,-1,0
7.5,0,0
7.75,1,1
8.0,0,1
8.25,-1,1
8.5,-2,1
8.75,-3,0
9.0,-2,1
9.25,-1,1
9.5,-2,1
9.75,-3,1
10.0,-2,1
10.25,-3,1
10.5,-2,1
10.75,-1,1
11.0,-2,1
11.25,-3,1
11.5,-2,1
11.75,-1,1
12.0,0,1
12.25,1,1
12.5,0,1
12.75,-1,1
13.25,0,1
13.5,-1,1
13.75,0,1
14.0,1,1
14.25,0,1
14.75,-1,1
15.25,0,1
15.5,-1,1
16.5,-2,2
16.75,-3,1
17.0,-2,2
17.25,-3,2
17.5,-4,2
18.25,-3,2
18.5,-4,2
18.75,-3,2
19.75,-4,2
20.0,-3,1
20.25,-4,1
20.5,-3,0
21.0,-2,1
21.25,-1,0
21.5,0,0
21.75,1,0
22.0,0,0
22.25,-1,0
22.5,0,0
22.75,1,0
23.0,2,0
23.25,3,0
23.5,2,0
23.75,1,0
24.0,0,0
24.5,1,0
26.0,0,0
26.25,-1,0
26.5,0,1
27.75,-1,0
28.0,0,1
28.25,-1,1
28.5,-2,1
28.75,-3,1
29.0,-2,1
29.25,-1,2
29.5,0,1
29.75,-1,2
30.0,-2,2
30.5,-1,2
30.75,0,2
31.0,1,2
31.25,0,2
31.5,-1,1
31.75,0,2
32.0,-1,3
32.25,-2,2
32.5,-3,3
32.75,-2,2
33.0,-1,2
33.25,-2,3
33.5,-3,2
33.75,-4,2
34.0,-3,2
34.25,-2,2
34.5,-3,2
34.75,-2,2
35.0,-3,2
35.25,-4,2
