Position,Energy,Frequency
0.0,0,0
0.25,1,-1
0.5,2,0
0.75,1,1
1.0,2,0
1.5,1,1
2.0,2,2
3.0,1,2
4.0,2,1
4.5,3,0
5.0,4,-1
5.5,5,0
6.0,6,1
6.5,5,2
7.0,6,1
7.5,7,0
8.0,6,1
8.5,7,0
9.0,8,1
9.5,7,2
10.0,6,3
10.25,7,2
10.5,6,1
11.0,5,2
12.0,6,1
12.5,5,0
13.5,6,1
14.0,5,2
14.25,6,1
14.5,5,0
15.0,4,1
15.5,3,0
16.0,4,1
16.5,5,0
16.75,4,1
17.0,3,0
17.5,2,1
18.0,3,0
18.5,2,-1
19.0,3,0
19.5,4,-1
20.0,3,-2
20.5,2,-3
21.0,3,-2
21.5,4,-3
22.0,3,-2
22.25,2,-3
22.5,3,-2
23.0,4,-1
23.25,3,-2
23.5,2,-3
24.0,1,-2
24.5,2,-3
25.0,3,-2
25.5,2,-1
26.0,3,-2
26.5,4,-3
27.0,3,-2
27.5,2,-3
28.0,3,-2
28.5,2,-3
29.0,1,-2
29.5,2,-3
30.0,1,-2
30.25,2,-3
30.5,3,-4
31.0,2,-3
31.5,3,-4
31.75,2,-5
32.0,3,-4
32.25,2,-3
32.5,1,-4
32.75,2,-3
33.0,1,-4
33.5,2,-5
33.75,1,-6
34.0,2,-5
34.5,1,-6
35.0,2,-5
35.5,1,-6
36.0,2,-5
36.5,3,-6
37.0,2,-5
37.25,3,-6
37.5,4,-7
38.0,3,-6
38.5,4,-7
39.0,3,-6
39.5,2,-7
40.0,3,-6
40.5,4,-7
41.0,3,-6
41.5,2,-7
42.0,3,-6
42.25,2,-7
42.5,3,-8
43.0,4,-7
43.5,3,-8
44.0,4,-7
44.25,5,-7
44.5,4,-6
45.0,3,-5
45.5,4,-6
46.0,5,-5
46.5,4,-6
47.0,5,-5
47.5,6,-4
48.0,5,-3
48.25,4,-4
48.5,5,-3
48.75,6,-2
49.0,5,-3
49.5,4,-4
50.0,3,-3
50.5,2,-4
51.0,3,-3
51.5,2,-4
52.0,3,-3
52.25,4,-2
52.5,3,-3
53.0,4,-2
53.5,5,-3
54.0,6,-2
54.5,5,-3
55.0,6,-2
55.5,5,-3
55.75,4,-4
56.0,5,-5
56.5,4,-6
57.0,5,-7
57.5,4,-6
58.0,3,-5
58.5,4,-6
59.0,3,-5
59.5,4,-6
60.0,5,-5
60.25,4,-6
60.5,3,-7
61.0,4,-6
61.5,3,-7
62.0,4,-6
62.5,3,-7
63.0,2,-8
63.5,3,-7
63.75,2,-6
64.0,3,-7
64.25,4,-6
64.5,3,-7
64.75,2,-6
65.0,3,-7
65.25,2,-8
65.5,3,-7
66.0,2,-6
66.25,1,-7
66.5,2,-6
67.0,1,-5
67.25,0,-6
67.5,1,-7
68.0,0,-6
68.25,-1,-6
68.5,0,-7
69.0,-1,-8
69.5,0,-9
70.0,-1,-8
70.5,0,-7
71.0,-1,-6
71.25,0,-7
71.5,1,-6
72.0,0,-5
72.25,1,-6
72.5,2,-7
73.0,1,-6
73.5,2,-7
74.0,1,-6
74.25,0,-7
74.5,1,-6
75.0,0,-5
75.25,-1,-6
75.5,0,-7
76.0,-1,-8
76.25,0,-7
76.5,1,-6
77.0,2,-7
77.5,3,-6
78.0,2,-5
78.5,3,-6
79.0,2,-5
79.25,3,-6
79.5,4,-7
79.75,3,-6
80.0,4,-5
80.25,3,-6
80.5,4,-5
80.75,3,-4
81.0,4,-5
81.5,5,-4
82.0,4,-5
82.25,5,-6
82.5,6,-6
83.0,5,-7
83.25,4,-8
83.5,5,-9
84.0,4,-8
84.25,3,-9
84.5,4,-8
84.75,3,-7
85.0,4,-7
85.5,5,-6
86.0,4,-5
86.25,3,-6
86.5,4,-5
87.0,3,-6
87.25,2,-5
87.5,3,-4
87.75,2,-3
88.0,3,-2
88.25,2,-3
88.5,3,-2
88.75,2,-3
89.0,3,-2
89.25,2,-3
89.5,3,-2
89.75,2,-1
90.0,3,0
90.25,2,-1
90.5,1,0
90.75,0,-1
91.0,1,0
91.25,2,1
91.5,1,0
91.75,0,1
92.5,-1,2
94.75,0,1
95.0,1,2
95.25,2,1
95.5,1,0
95.75,2,-1
96.5,1,0
96.75,0,-1
97.0,1,0
97.25,0,-1
97.5,1,0
97.75,0,-1
98.0,-1,0
98.25,0,1
98.5,1,0
98.75,0,-1
99.0,1,0
99.25,0,-1
99.5,1,0
100.0,0,-1
100.5,1,0
100.75,0,-1
101.0,1,-2
101.25,0,-3
101.5,1,-2
101.75,2,-3
102.0,1,-4
102.25,2,-3
102.5,3,-4
102.75,2,-5
103.0,3,-4
103.25,2,-5
103.5,3,-4
103.75,2,-3
104.0,3,-2
104.25,4,-3
104.5,5,-2
104.75,4,-3
105.0,5,-2
105.25,4,-3
105.5,5,-4
105.75,4,-5
106.0,5,-6
106.25,4,-5
106.5,5,-4
106.75,4,-5
107.0,5,-4
107.5,6,-5
107.75,5,-4
108.0,6,-5
108.25,5,-6
108.5,6,-5
108.75,7,-6
109.0,6,-7
109.25,5,-6
109.5,6,-5
109.75,5,-6
110.0,6,-7
110.25,7,-6
110.5,6,-5
110.75,5,-6
111.0,6,-5
111.25,5,-6
111.5,6,-7
111.75,5,-6
112.0,6,-5
112.25,5,-6
112.5,6,-7
112.75,5,-6
113.0,6,-7
113.25,5,-6
113.5,6,-7
113.75,5,-6
114.0,4,-7
114.25,5,-6
114.5,6,-7
114.75,5,-8
115.0,6,-7
115.5,5,-8
116.0,4,-9
116.5,5,-8
116.75,4,-9
117.0,5,-10
117.25,4,-9
117.5,5,-10
117.75,4,-9
118.0,3,-10
118.25,4,-9
118.5,5,-8
118.75,4,-9
119.0,5,-8
119.25,4,-9
119.5,5,-8
119.75,4,-7
120.0,5,-8
120.25,6,-7
120.5,7,-6
120.75,6,-7
121.0,7,-6
121.25,6,-7
121.5,7,-8
121.75,6,-9
122.0,5,-8
122.25,6,-7
122.5,7,-8
122.75,6,-9
123.0,7,-8
123.5,8,-9
123.75,7,-8
124.0,6,-9
124.25,5,-8
124.5,6,-9
125.0,7,-8
125.25,6,-9
126.25,5,-8
126.75,4,-7
127.0,5,-8
127.25,4,-8
127.5,5,-9
127.75,4,-10
128.5,5,-9
128.75,4,-10
129.0,5,-9
129.25,4,-10
129.5,5,-9
129.75,4,-10
130.0,3,-9
130.25,2,-8
130.5,3,-9
130.75,2,-8
131.0,1,-7
131.25,0,-8
131.5,1,-7
132.0,2,-8
132.5,1,-7
132.75,2,-7
133.0,1,-6
133.25,0,-5
133.5,1,-6
133.75,2,-5
134.0,1,-6
134.25,2,-5
134.5,3,-6
134.75,2,-6
135.0,1,-5
135.25,0,-6
135.5,1,-5
135.75,0,-6
136.0,1,-7
136.25,2,-6
136.5,3,-7
136.75,2,-8
137.0,1,-7
137.25,0,-6
137.5,1,-5
137.75,0,-6
138.0,-1,-7
138.25,0,-6
138.5,1,-7
138.75,0,-7
139.0,-1,-6
139.5,0,-5
139.75,-1,-6
140.0,0,-5
140.25,-1,-6
140.5,-2,-7
140.75,-1,-6
141.0,-2,-7
141.25,-3,-8
141.5,-2,-7
141.75,-3,-8
143.0,-2,-7
143.25,-1,-8
143.5,0,-9
143.75,-1,-8
144.0,0,-7
144.25,-1,-8
145.0,-2,-7
145.5,-1,-8
145.75,0,-9
146.0,-1,-10
146.25,-2,-9
146.5,-1,-10
146.75,0,-11
147.0,-1,-10
147.5,-2,-11
148.0,-3,-12
148.5,-2,-11
148.75,-3,-12
149.0,-4,-11
149.25,-5,-10
149.5,-4,-11
149.75,-3,-10
150.0,-4,-11
150.25,-3,-10
150.5,-2,-9
150.75,-1,-10
151.0,-2,-9
151.25,-3,-10
151.5,-2,-11
151.75,-3,-10
152.0,-2,-11
152.25,-1,-10
152.5,0,-11
152.75,-1,-11
153.0,-2,-10
153.25,-3,-9
153.5,-2,-10
153.75,-3,-9
154.0,-4,-10
154.25,-3,-9
154.5,-2,-10
154.75,-1,-10
155.0,-2,-9
155.25,-3,-10
155.5,-2,-11
155.75,-3,-10
156.0,-4,-11
156.25,-3,-12
156.5,-2,-11
157.0,-1,-10
157.25,0,-9
157.5,-1,-10
158.75,0,-11
159.25,1,-10
159.5,2,-9
159.75,1,-8
160.0,2,-7
160.25,1,-8
160.5,0,-9
160.75,-1,-10
161.0,0,-9
162.0,-1,-10
162.5,-2,-9
163.0,-1,-10
163.5,-2,-9
164.0,-1,-10
164.5,0,-9
165.0,-1,-8
165.5,0,-9
166.0,-1,-8
166.5,0,-9
167.0,-1,-8
167.5,-2,-9
168.0,-3,-8
168.5,-2,-7
169.0,-1,-8
169.5,0,-7
169.75,-1,-6
170.0,-2,-7
170.25,-1,-6
170.5,-2,-5
171.0,-3,-6
171.5,-4,-5
172.0,-3,-4
172.5,-4,-5
173.0,-5,-4
173.5,-4,-5
174.0,-5,-4
174.25,-4,-5
174.5,-5,-4
175.0,-6,-3
175.5,-5,-4
176.0,-6,-3
176.5,-5,-4
176.75,-6,-3
177.0,-5,-4
177.5,-4,-3
177.75,-3,-2
178.0,-4,-1
178.5,-5,-2
179.0,-4,-1
179.5,-3,-2
180.0,-4,-3
180.5,-5,-4
181.0,-4,-3
181.5,-3,-4
182.0,-4,-3
182.5,-5,-4
