Position,Energy,Frequency
1.5,0,0
1.75,1,1
2.0,0,2
2.25,1,3
2.5,2,3
2.75,1,3
3.0,0,2
3.25,-1,1
3.5,0,0
3.75,1,1
4.0,2,2
4.25,1,1
4.5,2,2
4.75,1,2
5.0,0,2
5.25,-1,1
5.5,-2,0
5.75,-1,0
6.0,-2,1
6.75,-1,0
7.75,0,1
8.0,1,0
9.0,0,-1
10.5,1,-2
10.75,0,-1
11.0,1,-2
11.25,2,-1
12.5,3,-2
12.75,4,-2
13.0,3,-2
13.5,2,-3
13.75,3,-2
14.0,2,-3
14.75,3,-3
15.0,2,-2
15.25,3,-2
15.5,2,-2
16.0,3,-3
16.75,4,-2
17.0,5,-2
20.0,4,-1
20.5,3,-2
21.0,2,-3
21.5,3,-4
21.75,4,-3
22.0,5,-2
22.25,6,-2
22.5,5,-3
22.75,6,-2
23.0,5,-3
24.0,4,-2
25.5,5,-1
25.75,4,0
26.0,5,-1
26.75,6,-2
27.0,7,-1
27.75,6,0
28.0,7,-1
28.75,6,-2
29.0,5,-2
29.75,6,-1
30.0,5,-2
30.75,6,-1
31.0,5,0
31.25,6,-1
31.5,5,-1
31.75,4,0
32.0,3,-1
32.5,4,-2
32.75,3,-1
33.0,2,0
33.25,3,1
33.75,4,0
34.0,5,1
34.25,4,0
34.75,3,1
35.0,4,2
35.75,3,2
36.0,4,1
36.75,3,0
37.0,4,0
37.75,3,0
38.0,4,1
38.75,5,2
39.0,4,3
39.25,5,3
39.5,4,3
39.75,5,3
40.0,4,2
40.25,5,1
40.5,4,0
40.75,5,1
41.0,6,2
41.25,5,1
41.5,6,2
41.75,7,1
42.0,6,1
42.5,7,2
42.75,8,3
43.0,7,3
43.25,8,4
43.75,7,5
44.0,6,4
45.0,7,5
45.25,6,4
45.5,7,3
45.75,8,2
46.0,7,3
46.25,8,2
46.75,7,3
47.0,8,4
47.25,7,4
47.5,8,5
47.75,7,5
48.5,8,5
48.75,7,6
49.0,8,6
49.25,7,6
50.25,6,5
51.0,7,4
51.75,8,3
53.75,9,4
54.0,8,5
54.5,9,6
54.75,8,5
56.25,7,4
56.5,8,5
56.75,7,5
57.0,8,6
57.5,7,5
57.75,8,6
58.5,9,5
58.75,8,6
59.0,9,6
60.5,10,5
60.75,11,4
61.0,12,5
61.25,11,4
61.5,10,4
61.75,11,3
62.0,10,4
62.25,11,4
62.5,10,3
62.75,11,4
63.0,10,3
63.25,11,4
63.5,10,3
64.5,9,2
65.0,10,3
65.25,11,2
66.0,10,1
66.5,9,2
68.25,10,3
68.5,9,3
68.75,8,3
69.0,9,2
69.25,8,2
70.0,9,2
70.25,8,2
70.75,7,1
71.25,6,2
73.0,7,1
73.25,8,1
73.5,7,0
74.25,8,1
75.0,9,0
75.25,8,1
75.5,7,1
75.75,6,1
76.0,7,0
76.25,6,0
76.5,7,1
77.0,8,2
77.25,7,1
77.5,8,2
77.75,7,1
78.0,8,2
78.25,7,2
78.75,8,2
79.0,7,2
79.25,6,3
79.5,7,2
80.0,8,1
80.5,7,0
80.75,8,1
81.0,9,2
81.25,8,1
81.5,7,2
81.75,6,2
82.0,7,2
82.25,8,1
82.5,7,2
82.75,8,2
83.0,7,1
83.25,8,2
83.5,7,1
83.75,8,2
84.0,9,1
84.25,10,2
84.5,9,2
84.75,8,2
85.0,9,1
85.25,10,2
85.5,9,2
85.75,10,2
86.0,11,2
86.25,10,2
86.5,11,2
86.75,10,2
87.0,9,1
87.25,10,2
87.5,9,3
87.75,10,3
88.0,9,3
88.25,8,4
88.5,9,3
88.75,10,4
89.0,11,3
89.25,10,2
89.5,11,2
89.75,10,1
90.0,9,2
90.25,10,1
90.5,11,2
90.75,12,2
91.0,11,3
91.25,12,2
91.5,11,3
91.75,10,4
92.75,11,5
93.0,10,4
93.75,9,5
94.0,10,4
94.25,11,5
95.5,10,6
96.5,9,5
96.75,10,6
97.0,9,7
97.25,10,6
97.5,9,7
97.75,8,8
98.0,9,7
98.75,10,6
99.0,9,7
99.25,10,6
99.5,9,7
99.75,8,6
100.25,7,5
100.5,8,6
100.75,9,7
101.0,8,6
101.25,9,7
101.5,8,6
101.75,7,7
102.25,6,6
102.75,7,7
103.25,8,8
103.5,7,9
103.75,8,8
104.0,9,9
104.25,8,8
104.75,9,9
105.0,8,8
105.25,9,7
105.5,8,8
105.75,7,9
106.0,8,8
106.75,9,7
107.0,8,6
107.25,9,5
107.5,8,6
107.75,7,5
108.0,8,4
108.25,7,5
108.75,8,4
109.0,7,4
109.25,8,3
109.5,7,2
109.75,8,3
110.0,9,2
110.5,10,1
110.75,9,2
111.0,10,3
111.25,9,4
111.5,8,3
112.5,9,2
112.75,8,3
113.0,7,4
113.25,8,5
113.5,7,4
114.75,8,5
115.25,7,4
116.75,8,5
117.25,7,6
117.5,6,5
118.75,7,6
119.25,6,7
120.0,5,6
120.25,4,5
120.75,5,6
121.0,4,5
121.25,5,4
121.5,4,5
122.75,5,6
123.25,6,5
124.5,7,5
124.75,6,6
125.5,7,7
125.75,8,8
126.25,7,7
126.75,6,8
127.25,5,7
128.0,4,8
128.5,5,7
128.75,4,8
129.0,3,9
129.25,4,8
129.5,3,9
129.75,2,10
130.0,3,9
130.25,2,8
130.5,1,9
130.75,2,8
131.0,1,9
131.25,2,8
131.5,1,9
131.75,0,8
132.0,-1,7
132.25,0,6
132.5,1,7
132.75,2,8
133.0,1,7
133.25,2,8
133.5,1,7
133.75,0,6
134.0,-1,7
134.25,0,6
134.75,1,7
135.0,0,6
135.25,1,7
135.5,0,7
135.75,1,6
136.0,2,7
136.25,1,6
136.5,0,7
136.75,1,8
137.0,0,7
137.25,1,6
137.5,0,7
137.75,-1,8
138.0,0,7
138.25,-1,6
138.75,0,7
139.0,-1,6
139.25,0,5
139.5,-1,6
139.75,-2,5
140.0,-3,4
140.25,-2,5
140.5,-3,4
140.75,-2,5
141.0,-1,6
141.25,-2,5
141.5,-1,6
141.75,-2,7
142.0,-1,6
142.25,-2,7
142.5,-3,7
143.0,-2,8
143.25,-3,9
143.5,-2,10
143.75,-3,9
144.0,-2,10
144.25,-3,11
144.5,-2,10
144.75,-3,9
146.75,-4,8
147.25,-5,7
148.75,-4,8
149.25,-5,9
149.5,-6,8
150.75,-5,9
151.25,-6,10
152.0,-7,9
152.75,-6,10
153.25,-5,9
156.5,-4,9
157.5,-5,10
157.75,-4,11
158.75,-5,10
159.25,-4,11
161.5,-3,12
161.75,-2,13
162.0,-3,14
162.25,-2,14
162.5,-3,14
162.75,-4,14
163.0,-5,14
163.25,-4,13
163.5,-3,12
163.75,-2,13
164.0,-1,14
164.25,-2,14
164.5,-3,14
164.75,-2,14
165.0,-3,13
165.25,-2,12
165.5,-3,11
165.75,-2,12
166.0,-3,11
166.75,-2,12
167.25,-3,13
167.75,-4,14
168.0,-3,13
168.75,-2,12
169.25,-3,11
170.5,-2,12
170.75,-3,13
171.0,-2,14
171.25,-3,14
172.25,-4,13
172.5,-3,14
172.75,-2,14
173.0,-3,14
173.75,-4,13
174.0,-5,12
174.75,-4,12
175.0,-5,11
175.25,-4,12
175.5,-5,11
175.75,-4,11
176.0,-3,12
176.75,-4,11
177.0,-3,10
180.5,-2,11
181.75,-3,12
182.0,-2,11
182.25,-3,11
182.5,-2,10
182.75,-3,11
183.0,-2,10
184.75,-3,9
185.25,-2,8
185.5,-1,9
186.0,-2,8
186.75,-1,9
187.0,-2,9
187.75,-3,10
188.0,-2,9
188.25,-3,9
188.5,-4,8
188.75,-3,8
189.0,-2,8
189.25,-3,7
189.5,-2,8
189.75,-1,9
190.5,-2,10
190.75,-1,11
191.0,-2,12
191.25,-3,11
191.5,-4,11
191.75,-3,12
192.25,-4,11
192.5,-3,12
193.0,-4,13
193.25,-3,14
193.75,-4,13
194.0,-3,14
194.75,-4,13
195.0,-3,14
196.0,-4,13
198.0,-3,14
198.75,-4,15
199.0,-3,16
199.25,-2,16
199.5,-3,16
199.75,-4,16
200.0,-3,15
200.75,-2,16
201.0,-1,17
201.25,-2,16
202.5,-3,15
202.75,-2,16
203.0,-3,16
204.0,-2,17
204.75,-3,16
205.0,-2,16
205.25,-1,15
205.75,-2,16
206.25,-3,15
206.75,-4,16
207.0,-3,17
207.25,-4,17
207.5,-3,17
207.75,-4,18
208.5,-3,17
208.75,-4,17
209.0,-5,18
209.25,-4,17
209.5,-5,16
210.0,-6,17
210.25,-5,16
210.5,-4,15
210.75,-3,16
211.0,-4,17
211.25,-5,17
211.5,-4,17
211.75,-5,16
212.0,-4,16
213.0,-5,16
214.5,-4,15
214.75,-5,14
216.5,-4,15
216.75,-3,14
217.0,-2,14
218.0,-3,15
218.25,-4,15
218.5,-3,16
218.75,-2,17
219.0,-3,16
219.75,-2,15
220.0,-1,16
220.25,-2,17
220.5,-1,16
220.75,0,15
221.0,-1,16
221.25,0,15
221.75,1,16
222.0,2,17
222.75,1,16
223.0,0,15
223.25,-1,16
223.5,0,16
224.0,-1,15
224.5,0,14
224.75,-1,15
225.0,0,14
225.25,-1,13
225.5,-2,12
225.75,-1,13
226.0,-2,12
226.25,-1,13
226.5,-2,12
226.75,-3,13
227.0,-2,12
227.25,-3,12
228.25,-4,11
228.5,-5,11
228.75,-4,11
229.25,-5,12
230.0,-6,13
230.5,-5,12
230.75,-6,13
231.25,-5,14
231.5,-6,14
231.75,-5,13
232.0,-4,14
232.25,-3,13
232.5,-2,14
232.75,-3,13
233.25,-2,14
233.5,-3,13
233.75,-2,14
234.25,-3,13
234.5,-2,12
234.75,-3,11
235.0,-4,12
235.25,-3,11
235.5,-4,12
236.25,-5,11
236.5,-4,10
236.75,-5,9
237.25,-4,10
237.5,-5,9
237.75,-4,10
238.0,-3,11
238.5,-4,10
238.75,-3,11
239.0,-4,12
239.25,-5,13
239.5,-4,12
240.5,-3,11
241.25,-4,12
241.75,-5,13
242.5,-6,12
242.75,-7,11
243.25,-6,11
244.25,-5,11
244.75,-4,11
245.25,-5,12
246.5,-6,11
247.25,-5,12
249.25,-4,11
249.75,-5,12
250.5,-6,11
250.75,-7,10
251.25,-6,10
252.5,-5,10
253.5,-6,11
253.75,-5,12
255.25,-6,11
256.0,-7,12
256.5,-6,11
256.75,-7,12
257.0,-8,13
257.25,-7,14
257.5,-8,13
257.75,-7,14
258.0,-8,15
258.25,-9,14
258.5,-8,13
258.75,-9,12
259.0,-10,13
259.25,-9,12
259.5,-10,13
259.75,-11,12
260.0,-12,11
260.25,-11,10
260.5,-12,11
260.75,-11,10
261.0,-12,11
261.25,-11,10
261.5,-12,9
261.75,-11,10
262.0,-10,9
262.25,-11,8
262.5,-10,7
262.75,-11,8
263.0,-12,9
263.25,-11,10
263.5,-12,10
263.75,-11,9
264.0,-12,10
264.25,-11,9
264.5,-10,10
264.75,-11,9
265.0,-12,10
265.25,-11,11
265.5,-12,10
265.75,-11,11
266.0,-12,12
266.25,-13,11
266.5,-12,10
266.75,-13,9
267.0,-14,10
267.25,-13,9
267.5,-14,10
267.75,-15,9
268.0,-16,8
268.25,-15,9
268.5,-14,8
268.75,-15,7
269.0,-14,8
269.25,-13,7
269.5,-14,7
269.75,-13,8
270.0,-12,9
270.25,-13,8
270.5,-12,9
270.75,-13,10
271.0,-14,11
271.25,-13,10
271.5,-14,10
271.75,-15,11
272.0,-14,10
272.25,-13,11
272.5,-12,10
272.75,-13,11
273.0,-14,12
273.25,-13,11
273.5,-14,10
273.75,-13,11
274.0,-14,12
274.25,-15,11
274.5,-14,10
274.75,-15,9
275.0,-16,10
275.25,-15,9
275.5,-16,10
275.75,-17,11
276.0,-18,10
276.25,-17,9
276.5,-18,9
276.75,-17,9
277.0,-18,10
277.25,-17,9
277.5,-18,8
277.75,-17,9
278.0,-16,9
278.25,-17,8
278.5,-16,9
278.75,-17,10
279.0,-18,11
279.25,-17,12
279.5,-18,12
279.75,-17,11
280.0,-18,12
280.25,-17,11
280.5,-16,12
280.75,-17,11
281.0,-18,12
281.25,-17,13
281.5,-18,12
281.75,-19,13
282.0,-18,14
282.25,-17,13
282.5,-16,12
282.75,-17,13
283.0,-18,14
283.25,-17,13
283.5,-16,14
283.75,-17,15
285.0,-18,14
285.25,-17,15
285.5,-16,14
285.75,-15,15
286.0,-14,14
286.25,-15,15
286.5,-14,14
286.75,-15,15
287.0,-16,14
287.25,-17,15
287.5,-18,14
287.75,-19,15
288.0,-18,14
289.5,-17,14
290.0,-18,15
290.5,-19,15
290.75,-18,16
291.0,-17,15
291.5,-16,14
291.75,-17,14
292.0,-18,14
292.25,-17,15
292.5,-18,15
292.75,-17,14
293.0,-16,15
293.25,-17,15
293.5,-18,14
294.25,-19,15
294.5,-20,14
294.75,-19,14
295.0,-18,14
295.25,-19,14
295.5,-20,15
295.75,-19,14
296.0,-20,14
296.25,-19,14
296.5,-20,13
296.75,-21,14
297.75,-20,14
298.0,-21,13
298.5,-20,12
298.75,-21,12
299.25,-20,12
299.5,-21,12
299.75,-22,12
300.75,-21,12
301.0,-22,12
302.5,-21,12
302.75,-22,12
303.25,-23,12
304.25,-24,12
305.5,-23,12
307.0,-22,13
307.75,-23,12
308.75,-22,11
309.0,-23,11
309.75,-22,12
310.0,-23,11
310.25,-22,12
312.0,-23,12
313.25,-22,11
314.25,-23,11
314.5,-22,12
314.75,-21,11
315.0,-22,11
316.75,-23,12
317.25,-22,11
317.75,-23,11
318.0,-22,11
318.5,-21,12
318.75,-20,12
319.0,-21,11
320.0,-22,10
320.25,-21,10
321.0,-22,11
321.25,-23,12
321.5,-22,11
321.75,-23,11
322.0,-24,12
322.25,-23,12
322.5,-22,12
322.75,-23,11
323.0,-22,10
324.0,-21,11
324.25,-22,11
324.5,-23,10
324.75,-22,11
325.0,-23,11
325.25,-24,11
326.0,-23,10
326.25,-22,9
326.5,-21,10
327.0,-22,11
327.25,-21,12
328.0,-20,11
329.0,-21,10
329.25,-20,10
329.75,-21,11
330.5,-22,12
330.75,-21,12
331.0,-22,11
331.25,-23,12
332.5,-22,11
332.75,-23,11
334.25,-24,11
334.75,-23,11
335.25,-24,11
337.0,-23,12
337.25,-24,12
337.5,-25,13
338.5,-24,12
338.75,-25,12
339.0,-26,11
339.25,-27,12
339.5,-26,11
340.0,-27,11
340.25,-26,11
340.5,-27,11
341.0,-28,12
341.25,-27,13
341.5,-28,12
341.75,-27,12
342.0,-26,11
342.5,-27,12
343.0,-28,12
343.25,-27,12
343.5,-28,13
344.25,-27,14
344.5,-26,14
344.75,-27,14
345.0,-28,15
345.25,-27,15
345.5,-28,14
345.75,-27,14
346.5,-26,13
346.75,-27,13
348.25,-26,13
349.5,-27,14
350.0,-28,13
350.5,-27,13
351.0,-26,13
