Position,Energy,Frequency
0.0,0,0
1.0,-1,-1
2.0,0,-1
3.0,-1,-1
4.0,-2,0
8.0,-1,-1
12.0,-2,0
14.0,-3,0
16.0,-2,-1
17.0,-3,0
18.0,-2,-1
19.0,-3,-1
20.0,-2,-1
21.0,-3,-1
22.0,-4,-1
23.0,-3,-1
24.0,-2,-2
25.0,-3,-2
26.0,-2,-1
27.0,-3,-2
28.0,-4,-1
29.0,-3,-1
30.0,-2,-2
31.0,-3,-2
32.0,-2,-3
33.0,-3,-2
34.0,-2,-3
35.0,-3,-4
36.0,-2,-3
39.0,-3,-2
40.0,-2,-3
41.0,-1,-4
42.0,0,-3
43.0,-1,-4
44.0,-2,-4
45.0,-1,-3
46.0,0,-4
47.0,-1,-4
48.0,-2,-4
54.0,-3,-3
55.0,-4,-3
56.0,-3,-4
57.0,-4,-3
58.0,-5,-2
60.0,-6,-1
61.0,-5,-2
62.0,-4,-3
63.0,-5,-4
64.0,-4,-4
65.0,-5,-5
66.0,-4,-4
67.0,-3,-5
72.0,-2,-5
73.0,-3,-4
74.0,-4,-4
75.0,-5,-4
76.0,-6,-4
78.0,-5,-5
80.0,-6,-4
84.0,-5,-5
86.0,-4,-5
87.0,-3,-5
88.0,-2,-5
90.0,-3,-4
92.0,-2,-5
93.0,-3,-4
94.0,-4,-3
95.0,-3,-4
96.0,-2,-5
98.0,-3,-4
99.0,-4,-5
102.0,-5,-5
103.0,-4,-4
104.0,-3,-5
105.0,-2,-4
106.0,-1,-4
107.0,-2,-4
108.0,-3,-3
109.0,-2,-3
110.0,-3,-4
124.0,-4,-5
126.0,-3,-6
128.0,-4,-5
129.0,-5,-5
130.0,-6,-6
131.0,-5,-5
132.0,-6,-4
136.0,-7,-5
139.0,-8,-6
140.0,-9,-5
144.0,-8,-4
146.0,-7,-5
148.0,-6,-4
149.0,-7,-4
152.0,-6,-4
153.0,-7,-4
155.0,-8,-5
156.0,-7,-4
157.0,-8,-5
159.0,-7,-5
160.0,-8,-6
161.0,-9,-5
163.0,-8,-4
164.0,-7,-5
168.0,-8,-4
170.0,-9,-3
171.0,-8,-4
172.0,-7,-4
173.0,-8,-4
176.0,-7,-5
180.0,-6,-6
184.0,-5,-5
188.0,-6,-6
191.0,-5,-5
192.0,-6,-6
193.0,-7,-7
194.0,-6,-8
195.0,-5,-8
196.0,-4,-7
200.0,-5,-7
203.0,-6,-8
204.0,-5,-8
205.0,-6,-7
208.0,-5,-8
209.0,-4,-8
212.0,-3,-9
216.0,-4,-8
220.0,-5,-7
223.0,-6,-7
224.0,-7,-6
225.0,-6,-7
228.0,-7,-6
229.0,-8,-5
231.0,-7,-6
232.0,-6,-5
234.0,-7,-6
235.0,-8,-5
236.0,-7,-6
238.0,-6,-6
240.0,-7,-7
244.0,-6,-8
248.0,-7,-7
254.0,-6,-8
256.0,-7,-7
257.0,-6,-8
258.0,-7,-7
259.0,-8,-8
260.0,-7,-8
262.0,-8,-8
264.0,-7,-8
266.0,-6,-8
268.0,-7,-7
269.0,-8,-8
272.0,-9,-8
273.0,-10,-8
274.0,-9,-9
280.0,-10,-8
281.0,-11,-9
284.0,-12,-8
285.0,-11,-9
287.0,-10,-8
288.0,-11,-8
289.0,-10,-9
291.0,-11,-8
292.0,-10,-9
294.0,-11,-9
295.0,-10,-10
296.0,-9,-9
297.0,-10,-8
300.0,-9,-9
301.0,-8,-10
302.0,-9,-11
304.0,-10,-10
306.0,-11,-11
307.0,-10,-10
308.0,-11,-11
311.0,-10,-11
312.0,-9,-10
313.0,-8,-9
316.0,-9,-10
317.0,-10,-9
318.0,-9,-9
319.0,-10,-10
320.0,-9,-9
321.0,-10,-10
327.0,-9,-9
328.0,-10,-8
331.0,-9,-9
332.0,-8,-8
333.0,-9,-9
335.0,-10,-8
336.0,-9,-9
337.0,-8,-9
338.0,-7,-8
339.0,-6,-9
340.0,-5,-10
341.0,-6,-11
342.0,-7,-11
343.0,-6,-10
344.0,-7,-11
345.0,-6,-10
346.0,-7,-9
347.0,-6,-10
348.0,-7,-9
349.0,-6,-8
350.0,-7,-8
351.0,-8,-8
352.0,-7,-8
353.0,-6,-7
354.0,-7,-8
355.0,-8,-7
356.0,-7,-6
358.0,-6,-6
359.0,-7,-7
360.0,-6,-6
361.0,-7,-7
362.0,-6,-6
363.0,-7,-7
364.0,-8,-6
365.0,-7,-5
366.0,-6,-6
367.0,-5,-7
368.0,-4,-6
369.0,-5,-7
370.0,-4,-6
371.0,-3,-7
372.0,-2,-8
373.0,-3,-7
374.0,-2,-6
375.0,-1,-6
376.0,-2,-5
380.0,-1,-6
381.0,-2,-5
382.0,-3,-6
383.0,-4,-5
384.0,-3,-6
385.0,-2,-5
386.0,-1,-6
387.0,0,-6
388.0,-1,-7
389.0,0,-7
392.0,1,-7
393.0,0,-7
394.0,-1,-6
395.0,0,-6
397.0,-1,-7
399.0,0,-7
400.0,-1,-8
401.0,0,-7
402.0,-1,-8
403.0,0,-9
405.0,-1,-8
406.0,0,-9
407.0,-1,-9
408.0,0,-8
409.0,-1,-9
410.0,0,-9
411.0,1,-10
412.0,0,-9
413.0,1,-9
414.0,0,-8
415.0,-1,-9
416.0,0,-9
417.0,1,-10
418.0,0,-9
419.0,1,-10
420.0,0,-9
421.0,1,-10
423.0,0,-9
424.0,1,-8
425.0,0,-9
426.0,-1,-10
427.0,0,-9
428.0,-1,-9
429.0,0,-10
431.0,-1,-11
432.0,0,-10
433.0,1,-9
434.0,0,-9
435.0,-1,-9
438.0,-2,-10
439.0,-1,-11
440.0,0,-10
441.0,1,-10
442.0,0,-11
444.0,-1,-10
445.0,-2,-11
446.0,-1,-12
447.0,-2,-11
448.0,-1,-12
449.0,-2,-11
450.0,-3,-10
451.0,-2,-11
456.0,-1,-11
459.0,-2,-11
464.0,-3,-10
465.0,-2,-11
466.0,-3,-11
467.0,-4,-11
472.0,-3,-10
473.0,-4,-9
477.0,-5,-8
478.0,-6,-9
479.0,-5,-10
480.0,-4,-9
481.0,-5,-8
482.0,-4,-8
483.0,-5,-7
484.0,-4,-8
488.0,-3,-7
489.0,-4,-7
490.0,-5,-8
491.0,-4,-9
492.0,-5,-8
493.0,-4,-8
496.0,-5,-7
497.0,-4,-6
498.0,-5,-7
502.0,-4,-8
503.0,-3,-7
504.0,-4,-7
506.0,-5,-8
507.0,-4,-7
508.0,-3,-8
509.0,-4,-7
510.0,-3,-8
511.0,-2,-7
512.0,-1,-8
514.0,-2,-8
515.0,-1,-8
516.0,-2,-8
520.0,-3,-9
522.0,-2,-8
524.0,-3,-7
528.0,-4,-8
529.0,-3,-9
530.0,-2,-9
531.0,-3,-8
532.0,-4,-9
533.0,-5,-10
534.0,-6,-9
535.0,-5,-10
536.0,-4,-9
537.0,-5,-8
538.0,-4,-9
539.0,-5,-10
540.0,-6,-9
541.0,-5,-10
543.0,-4,-11
544.0,-3,-12
545.0,-4,-11
546.0,-5,-12
547.0,-4,-13
548.0,-3,-12
549.0,-4,-13
552.0,-3,-12
553.0,-4,-12
554.0,-3,-11
556.0,-2,-12
559.0,-3,-11
560.0,-2,-11
561.0,-3,-10
563.0,-2,-11
564.0,-3,-12
565.0,-2,-11
566.0,-3,-10
567.0,-4,-10
568.0,-3,-9
569.0,-4,-9
570.0,-3,-8
572.0,-4,-9
573.0,-5,-8
574.0,-4,-9
575.0,-5,-8
576.0,-4,-9
577.0,-5,-10
578.0,-6,-9
579.0,-5,-9
580.0,-6,-10
581.0,-5,-10
584.0,-6,-9
585.0,-7,-10
586.0,-6,-11
587.0,-7,-10
588.0,-8,-9
589.0,-7,-10
590.0,-8,-10
592.0,-7,-9
593.0,-8,-9
594.0,-9,-10
596.0,-8,-9
599.0,-9,-10
600.0,-8,-9
601.0,-9,-9
602.0,-10,-10
603.0,-11,-9
604.0,-10,-10
605.0,-9,-9
606.0,-10,-8
607.0,-9,-9
608.0,-8,-9
609.0,-9,-8
610.0,-10,-9
611.0,-9,-8
612.0,-10,-7
613.0,-11,-7
614.0,-10,-8
615.0,-9,-7
616.0,-10,-6
617.0,-11,-6
618.0,-12,-7
619.0,-11,-8
620.0,-12,-7
621.0,-13,-6
622.0,-14,-7
623.0,-13,-6
624.0,-14,-7
625.0,-13,-6
626.0,-14,-7
627.0,-13,-6
628.0,-14,-7
629.0,-13,-6
630.0,-14,-7
631.0,-15,-8
632.0,-14,-7
633.0,-15,-6
634.0,-14,-7
635.0,-15,-6
636.0,-16,-7
637.0,-15,-7
638.0,-14,-7
640.0,-15,-7
641.0,-16,-7
642.0,-17,-8
643.0,-16,-8
644.0,-15,-7
645.0,-16,-6
646.0,-15,-7
647.0,-16,-6
648.0,-15,-6
649.0,-14,-6
650.0,-15,-6
651.0,-14,-6
652.0,-15,-6
653.0,-14,-6
654.0,-15,-7
656.0,-16,-7
657.0,-15,-6
658.0,-14,-7
659.0,-15,-8
661.0,-14,-7
662.0,-13,-7
663.0,-14,-8
664.0,-13,-7
665.0,-12,-7
667.0,-13,-7
668.0,-12,-8
671.0,-13,-7
672.0,-12,-8
674.0,-11,-7
676.0,-10,-6
677.0,-11,-7
678.0,-12,-6
680.0,-11,-6
683.0,-12,-7
684.0,-11,-6
686.0,-12,-6
687.0,-11,-7
