Position,Energy,Frequency
0.0,0,0
6.0,-1,-1
8.0,0,-2
14.0,-1,-1
16.0,0,-2
32.0,1,-2
38.0,0,-1
48.0,1,-2
54.0,0,-1
55.0,1,-1
56.0,2,-1
58.0,1,0
59.0,0,-1
60.0,1,0
61.0,2,-1
62.0,1,0
63.0,2,-1
64.0,3,0
66.0,2,-1
69.0,1,0
70.0,2,-1
71.0,1,-2
72.0,2,-1
74.0,1,-2
75.0,0,-1
76.0,1,-1
80.0,2,0
81.0,1,1
82.0,2,0
83.0,1,-1
84.0,2,0
85.0,1,1
86.0,2,0
87.0,1,1
88.0,2,0
90.0,1,-1
91.0,2,0
92.0,1,1
93.0,0,0
94.0,1,1
106.0,2,0
108.0,1,0
109.0,2,1
110.0,3,0
111.0,2,1
113.0,3,1
114.0,2,2
115.0,3,2
116.0,4,1
117.0,5,2
118.0,4,3
119.0,5,4
121.0,4,4
122.0,3,3
128.0,2,2
129.0,1,2
130.0,2,3
131.0,1,2
132.0,2,3
133.0,3,3
134.0,2,4
135.0,1,3
136.0,2,3
137.0,1,3
138.0,0,3
139.0,-1,3
140.0,0,3
141.0,1,3
142.0,0,4
143.0,1,3
144.0,0,4
145.0,-1,3
146.0,0,3
147.0,-1,4
148.0,-2,3
149.0,-1,3
150.0,-2,3
151.0,-1,4
152.0,0,4
153.0,-1,3
154.0,0,4
155.0,-1,3
156.0,0,3
157.0,-1,4
158.0,-2,5
160.0,-1,4
161.0,-2,5
162.0,-3,6
163.0,-2,6
164.0,-3,5
165.0,-4,6
166.0,-3,7
167.0,-2,6
168.0,-1,7
169.0,0,6
170.0,-1,5
171.0,-2,5
172.0,-1,5
173.0,-2,5
174.0,-1,5
175.0,-2,5
176.0,-1,6
177.0,-2,5
178.0,-1,6
179.0,-2,5
180.0,-1,5
181.0,-2,4
182.0,-1,5
183.0,-2,4
184.0,-3,5
185.0,-2,4
186.0,-3,3
187.0,-4,4
188.0,-3,3
189.0,-2,4
190.0,-1,5
191.0,-2,4
192.0,-1,5
193.0,-2,5
194.0,-3,5
195.0,-2,4
196.0,-1,5
197.0,-2,4
199.0,-3,4
200.0,-2,4
201.0,-1,5
202.0,-2,6
203.0,-3,5
204.0,-4,6
205.0,-3,5
206.0,-4,4
207.0,-3,5
208.0,-2,4
209.0,-1,5
210.0,-2,4
212.0,-3,4
213.0,-4,5
214.0,-5,6
215.0,-4,5
216.0,-3,4
217.0,-4,5
218.0,-3,5
219.0,-4,6
220.0,-3,5
221.0,-4,6
222.0,-3,5
223.0,-2,5
224.0,-3,6
225.0,-4,5
226.0,-5,6
227.0,-4,5
228.0,-5,6
229.0,-4,7
230.0,-5,6
231.0,-4,7
232.0,-3,8
233.0,-2,7
234.0,-1,6
235.0,-2,6
236.0,-3,7
237.0,-2,6
238.0,-1,5
239.0,-2,6
240.0,-1,5
241.0,-2,6
242.0,-1,7
243.0,0,6
244.0,-1,7
245.0,0,6
246.0,-1,5
247.0,0,6
249.0,1,6
250.0,0,5
256.0,-1,6
257.0,-2,5
258.0,-1,6
259.0,-2,7
260.0,-1,6
261.0,-2,7
262.0,-3,6
263.0,-2,7
264.0,-1,6
265.0,-2,7
266.0,-1,6
267.0,0,6
268.0,-1,5
269.0,-2,6
270.0,-1,5
271.0,-2,6
272.0,-1,5
273.0,-2,6
274.0,-1,5
275.0,-2,4
276.0,-1,4
277.0,-2,4
278.0,-3,5
279.0,-4,5
280.0,-5,5
281.0,-4,4
282.0,-3,5
283.0,-2,4
284.0,-1,3
285.0,-2,4
286.0,-3,3
287.0,-2,3
288.0,-1,4
289.0,0,3
290.0,-1,4
291.0,0,3
292.0,1,2
293.0,0,3
294.0,1,3
295.0,2,2
296.0,1,2
297.0,2,3
298.0,1,2
299.0,0,2
300.0,-1,3
301.0,0,3
302.0,-1,2
303.0,0,3
305.0,1,3
306.0,2,4
310.0,1,5
315.0,2,4
316.0,1,5
320.0,0,4
321.0,-1,3
323.0,0,4
324.0,1,3
325.0,0,4
326.0,1,3
327.0,2,2
328.0,1,1
329.0,2,1
330.0,1,2
331.0,0,3
332.0,1,4
333.0,2,5
334.0,1,4
335.0,2,3
336.0,3,4
339.0,2,5
340.0,3,4
341.0,2,5
342.0,3,4
343.0,2,4
344.0,3,3
347.0,2,4
351.0,1,4
352.0,0,3
353.0,-1,4
354.0,0,3
357.0,-1,4
358.0,0,5
362.0,1,4
363.0,0,4
364.0,-1,5
366.0,0,4
367.0,-1,5
368.0,0,4
370.0,1,5
371.0,0,5
372.0,1,6
373.0,0,5
375.0,1,6
377.0,0,5
378.0,1,5
381.0,2,4
383.0,3,5
384.0,2,4
385.0,1,4
386.0,2,5
387.0,3,4
388.0,4,3
389.0,3,4
390.0,4,5
391.0,5,4
392.0,4,3
393.0,5,4
394.0,6,3
395.0,5,4
397.0,6,3
398.0,5,2
399.0,6,3
400.0,7,2
403.0,6,1
406.0,5,2
407.0,6,2
408.0,7,1
409.0,6,2
410.0,7,1
411.0,8,2
412.0,7,1
414.0,6,0
415.0,7,1
416.0,6,2
417.0,7,1
418.0,6,1
419.0,7,2
422.0,8,3
423.0,9,2
424.0,8,3
425.0,7,2
426.0,6,2
427.0,7,2
429.0,6,1
430.0,5,2
432.0,6,3
433.0,5,2
434.0,6,3
435.0,5,4
436.0,4,5
437.0,5,4
438.0,6,5
439.0,5,4
440.0,4,3
441.0,3,2
442.0,2,1
443.0,3,2
444.0,4,1
445.0,5,2
446.0,4,1
447.0,3,1
448.0,4,0
449.0,3,0
450.0,2,1
451.0,3,0
452.0,2,0
453.0,1,1
454.0,2,0
455.0,1,-1
456.0,0,-1
457.0,1,0
458.0,0,-1
459.0,-1,-2
460.0,-2,-1
461.0,-1,0
462.0,-2,-1
463.0,-1,-2
464.0,0,-2
465.0,-1,-1
466.0,0,-2
467.0,-1,-3
468.0,0,-2
469.0,-1,-1
470.0,-2,-2
471.0,-1,-3
472.0,-2,-3
473.0,-3,-2
474.0,-2,-1
475.0,-1,-2
476.0,-2,-3
477.0,-1,-2
478.0,-2,-3
479.0,-1,-2
480.0,0,-1
481.0,-1,0
482.0,0,-1
483.0,-1,0
484.0,-2,-1
485.0,-1,0
486.0,-2,1
487.0,-3,2
488.0,-2,1
489.0,-3,2
490.0,-2,1
491.0,-1,2
492.0,-2,1
493.0,-3,2
494.0,-2,1
495.0,-3,2
496.0,-2,1
497.0,-3,1
498.0,-4,0
499.0,-3,-1
500.0,-4,0
502.0,-5,1
504.0,-4,0
505.0,-3,0
506.0,-4,1
507.0,-3,0
508.0,-4,0
512.0,-3,0
513.0,-4,1
514.0,-3,0
515.0,-4,-1
516.0,-5,0
517.0,-6,1
518.0,-7,0
519.0,-8,-1
520.0,-7,-2
522.0,-8,-2
524.0,-7,-3
526.0,-6,-2
527.0,-7,-3
528.0,-6,-2
529.0,-7,-1
530.0,-6,-2
533.0,-7,-1
534.0,-6,-2
535.0,-5,-1
537.0,-6,-2
539.0,-5,-2
540.0,-6,-1
544.0,-5,-2
545.0,-6,-3
546.0,-5,-2
547.0,-4,-3
548.0,-5,-2
549.0,-4,-3
550.0,-3,-2
552.0,-2,-1
553.0,-3,-2
554.0,-4,-1
555.0,-3,-2
556.0,-4,-3
558.0,-3,-2
559.0,-4,-3
562.0,-3,-2
570.0,-4,-1
572.0,-5,0
576.0,-4,1
577.0,-5,0
578.0,-4,1
579.0,-5,0
580.0,-6,1
581.0,-5,0
582.0,-4,-1
583.0,-5,0
584.0,-4,-1
585.0,-5,-2
586.0,-4,-3
588.0,-5,-4
589.0,-6,-3
590.0,-5,-2
591.0,-4,-2
592.0,-5,-3
594.0,-6,-2
595.0,-7,-3
596.0,-6,-4
597.0,-7,-4
598.0,-6,-3
599.0,-7,-4
601.0,-6,-4
602.0,-7,-3
603.0,-6,-4
604.0,-7,-3
605.0,-6,-4
606.0,-7,-3
608.0,-6,-3
609.0,-5,-4
610.0,-4,-3
612.0,-3,-4
614.0,-4,-3
615.0,-5,-4
617.0,-4,-4
618.0,-5,-3
619.0,-6,-4
620.0,-5,-4
621.0,-6,-3
622.0,-5,-4
623.0,-4,-3
624.0,-5,-4
625.0,-4,-3
626.0,-5,-4
627.0,-4,-3
628.0,-5,-4
630.0,-6,-3
633.0,-5,-2
634.0,-6,-3
635.0,-5,-2
636.0,-6,-3
638.0,-5,-2
640.0,-4,-3
641.0,-3,-4
642.0,-4,-5
643.0,-5,-4
644.0,-6,-3
646.0,-5,-4
647.0,-6,-3
648.0,-7,-4
649.0,-6,-5
650.0,-7,-4
652.0,-6,-5
653.0,-7,-4
654.0,-6,-4
655.0,-7,-3
656.0,-6,-4
657.0,-7,-3
658.0,-8,-4
660.0,-7,-5
661.0,-8,-6
662.0,-9,-5
663.0,-8,-6
665.0,-9,-7
666.0,-8,-7
667.0,-9,-8
668.0,-10,-7
669.0,-11,-8
670.0,-10,-7
672.0,-9,-8
673.0,-8,-7
674.0,-7,-7
675.0,-8,-6
676.0,-9,-5
678.0,-8,-5
679.0,-9,-6
680.0,-8,-6
681.0,-7,-5
683.0,-6,-6
684.0,-5,-5
686.0,-6,-6
687.0,-7,-7
689.0,-6,-8
690.0,-5,-9
691.0,-6,-8
692.0,-7,-7
694.0,-6,-8
697.0,-7,-9
698.0,-6,-9
700.0,-7,-9
702.0,-6,-10
704.0,-7,-9
