Position,Energy,Frequency
0.0,0,0
0.25,1,-1
0.5,0,-2
0.75,-1,-1
1.0,0,0
1.25,-1,-1
1.5,-2,-1
1.75,-1,0
2.25,-2,-1
2.5,-1,0
2.75,-2,0
3.0,-3,0
3.25,-2,-1
3.5,-3,-1
4.0,-4,-1
4.75,-3,0
5.5,-2,-1
5.75,-3,0
64.0,-2,1
64.25,-1,0
64.5,-2,0
64.75,-1,1
65.0,-2,1
65.25,-1,1
65.5,0,1
65.75,-1,1
66.25,-2,1
66.5,-1,1
66.75,0,1
67.0,-1,1
67.25,-2,1
67.5,-1,1
67.75,-2,1
68.0,-3,2
68.25,-2,1
68.5,-1,1
68.75,0,1
69.0,-1,0
69.25,-2,1
69.5,-1,1
69.75,0,1
70.0,-1,0
70.5,0,1
70.75,1,1
71.0,0,1
71.25,-1,1
71.5,-2,1
71.75,-1,1
72.0,0,2
72.25,1,1
72.5,2,1
72.75,1,1
73.0,0,1
73.25,1,1
73.5,2,1
73.75,3,1
74.0,2,1
74.25,1,1
74.5,2,1
74.75,3,1
75.0,2,1
75.25,3,1
75.5,2,1
75.75,1,1
76.0,0,2
76.25,1,1
76.5,2,1
76.75,1,1
77.0,0,1
77.25,-1,1
77.5,-2,1
77.75,-3,1
78.0,-4,1
78.25,-3,1
78.5,-2,1
78.75,-1,1
79.0,-2,1
79.25,-1,1
79.5,-2,1
79.75,-3,1
80.0,-2,2
80.25,-1,1
80.5,-2,1
80.75,-1,2
81.0,-2,2
81.25,-1,2
81.5,-2,2
81.75,-3,2
82.25,-4,2
82.5,-3,2
82.75,-2,2
83.0,-1,2
83.25,-2,2
83.5,-3,2
83.75,-4,2
84.0,-3,3
84.25,-2,2
84.5,-1,2
84.75,0,2
85.0,-1,2
85.25,-2,1
85.5,-1,2
85.75,0,2
86.0,-1,2
86.5,0,1
86.75,1,2
87.0,0,2
87.25,-1,2
87.5,-2,2
87.75,-3,2
88.0,-2,3
88.25,-1,2
88.5,0,2
88.75,-1,2
89.0,-2,2
89.25,-1,2
89.5,-2,2
89.75,-1,2
90.0,-2,2
90.25,-3,2
90.5,-2,2
90.75,-1,2
91.0,-2,2
91.25,-3,2
91.5,-4,2
91.75,-3,2
92.0,-4,3
92.25,-3,2
92.5,-2,2
92.75,-3,2
93.0,-4,2
93.25,-5,2
93.5,-6,2
93.75,-7,2
94.0,-8,2
94.25,-9,2
94.5,-8,2
94.75,-7,2
95.0,-8,2
95.25,-9,2
95.5,-10,2
95.75,-11,2
97.75,-12,2
98.75,-11,2
99.5,-12,1
101.5,-13,2
101.75,-12,1
102.5,-11,2
102.75,-10,1
105.5,-11,2
105.75,-10,2
106.5,-11,2
106.75,-10,2
107.5,-11,2
107.75,-12,1
108.75,-11,1
110.5,-12,2
110.75,-11,1
111.5,-10,1
111.75,-9,1
112.0,-8,2
112.25,-7,1
112.5,-8,1
112.75,-7,2
113.0,-8,3
113.25,-7,2
113.5,-8,3
113.75,-7,3
114.0,-8,4
114.25,-7,3
114.5,-8,3
114.75,-7,4
115.0,-8,5
115.25,-7,4
115.5,-8,4
115.75,-9,5
116.0,-8,6
116.25,-7,5
116.5,-8,5
116.75,-9,6
117.0,-8,7
117.25,-7,6
117.5,-8,6
117.75,-7,7
118.0,-6,8
118.25,-5,7
118.5,-6,7
118.75,-7,8
119.0,-6,9
119.25,-5,8
119.5,-6,8
119.75,-5,9
120.0,-4,10
120.25,-3,9
120.5,-2,10
120.75,-1,9
121.0,-2,10
121.25,-1,9
121.5,0,10
121.75,-1,9
122.0,-2,10
122.25,-1,9
122.5,0,10
122.75,-1,9
123.0,-2,10
123.25,-1,9
123.5,-2,10
123.75,-3,9
128.0,-2,10
128.25,-1,9
128.5,-2,10
128.75,-1,10
129.0,-2,11
129.25,-1,10
129.5,-2,11
129.75,-1,10
130.0,-2,11
130.25,-1,10
130.5,-2,11
130.75,-1,10
131.0,0,11
131.25,1,10
131.5,0,11
131.75,-1,11
132.0,0,11
132.25,1,10
132.5,0,10
132.75,-1,11
133.0,0,12
133.25,1,11
133.5,0,11
133.75,-1,12
134.0,0,13
134.25,1,12
134.5,0,12
134.75,-1,13
135.0,0,14
135.25,1,13
135.5,0,13
135.75,-1,14
136.0,0,15
136.25,1,14
136.5,0,15
136.75,1,15
137.0,0,15
137.25,1,14
137.5,0,15
137.75,1,15
138.0,0,15
138.25,1,14
138.5,0,15
138.75,1,15
139.0,0,15
139.25,1,14
139.5,0,15
139.75,-1,15
140.0,0,15
140.25,1,14
140.5,0,15
140.75,1,15
141.0,0,16
141.25,1,15
141.5,0,16
141.75,1,15
142.0,2,16
142.25,3,15
142.5,2,16
142.75,3,16
143.0,2,17
143.25,3,16
143.5,2,17
143.75,3,17
144.0,2,18
144.25,3,17
144.5,2,18
144.75,3,18
145.0,2,19
145.25,3,18
145.5,2,19
145.75,3,19
146.0,4,20
146.25,5,19
146.5,4,20
146.75,5,19
147.0,6,20
147.25,7,19
147.5,6,20
147.75,7,20
148.0,8,20
148.25,9,19
148.5,8,20
148.75,9,19
149.0,10,20
149.25,11,19
149.5,10,19
149.75,11,20
150.0,12,21
150.25,13,20
150.5,12,20
150.75,11,21
151.0,12,22
151.25,13,21
151.5,12,21
151.75,11,22
152.0,12,23
152.25,13,22
152.5,12,23
152.75,13,23
153.0,14,23
153.25,15,22
153.5,14,23
153.75,15,23
154.0,14,23
154.25,15,22
154.5,14,23
154.75,15,23
155.0,14,23
155.25,15,22
155.5,14,23
155.75,13,23
156.25,12,22
156.5,13,22
156.75,14,22
157.25,13,22
157.5,12,22
157.75,13,22
158.25,12,22
158.5,11,23
158.75,12,22
159.25,11,22
159.5,10,22
159.75,11,22
160.0,12,23
160.25,13,22
160.5,12,23
160.75,13,23
161.0,12,23
161.25,13,23
161.5,12,23
161.75,11,23
162.0,10,23
162.25,11,23
162.5,12,23
162.75,13,23
163.0,12,23
163.25,11,23
163.5,10,23
163.75,9,23
164.0,8,24
164.25,9,23
164.5,8,24
164.75,9,24
165.0,8,23
165.25,7,24
165.5,6,24
165.75,7,23
166.0,6,23
166.25,5,24
166.5,6,23
166.75,7,24
167.0,8,24
167.25,7,24
167.5,6,24
167.75,7,23
168.0,8,24
168.25,9,23
168.5,10,23
168.75,9,23
169.0,8,23
169.25,9,23
169.5,8,23
169.75,9,23
170.0,8,23
170.25,7,23
170.5,8,23
170.75,9,23
171.0,8,23
171.25,7,23
171.5,6,23
171.75,7,23
172.0,6,24
172.25,7,23
172.5,6,23
172.75,7,24
173.0,8,24
173.25,7,24
173.5,6,24
173.75,7,23
174.0,6,23
174.25,5,24
174.5,6,24
174.75,5,24
175.0,4,24
175.25,5,24
175.5,4,24
175.75,3,24
176.0,4,25
176.25,5,24
176.5,4,25
176.75,5,25
177.0,6,25
177.25,5,25
177.5,4,25
177.75,3,25
178.0,2,25
178.25,3,25
178.5,4,25
178.75,5,25
179.0,6,25
179.25,5,25
179.5,4,25
179.75,3,25
180.0,4,26
180.25,5,25
180.5,4,26
180.75,3,26
181.0,2,25
181.25,1,25
181.5,0,26
181.75,1,25
182.0,0,25
182.25,-1,25
182.5,0,26
182.75,1,26
183.0,0,26
183.25,-1,26
183.5,-2,26
183.75,-3,25
184.0,-2,26
184.25,-1,25
184.5,0,25
184.75,-1,25
185.0,-2,25
185.25,-1,25
185.5,-2,25
185.75,-3,25
186.0,-4,25
186.25,-5,25
186.5,-4,25
186.75,-3,25
187.0,-4,25
187.25,-3,25
187.5,-4,25
187.75,-3,25
188.0,-4,25
192.0,-3,26
192.25,-2,25
192.5,-3,26
192.75,-2,26
193.0,-3,26
193.25,-4,26
193.5,-5,26
193.75,-6,26
194.0,-5,26
194.25,-6,26
194.5,-7,26
194.75,-6,26
195.0,-5,26
195.25,-6,26
195.5,-7,26
195.75,-8,26
196.0,-7,27
196.25,-8,26
196.5,-7,26
196.75,-8,26
197.0,-7,27
197.25,-6,27
197.5,-5,28
197.75,-4,27
198.0,-5,27
198.25,-6,28
198.5,-5,28
198.75,-4,28
199.0,-5,28
199.25,-4,27
199.5,-3,28
199.75,-2,28
200.0,-1,28
200.25,0,27
200.5,-1,27
200.75,0,27
201.0,-1,27
201.25,0,27
201.5,-1,27
201.75,0,27
202.0,-1,27
202.25,0,27
202.5,1,27
202.75,0,27
203.0,-1,27
203.25,-2,27
203.5,-3,27
203.75,-2,27
204.0,-1,28
204.25,0,27
204.5,-1,28
204.75,0,28
205.0,-1,28
205.25,-2,28
205.5,-1,29
205.75,0,28
206.0,-1,29
206.25,0,29
206.5,-1,29
206.75,0,29
207.0,-1,29
207.25,-2,29
207.5,-3,29
207.75,-4,29
208.0,-5,29
208.25,-4,28
208.5,-5,29
208.75,-4,29
209.0,-5,29
209.25,-6,29
209.5,-7,29
209.75,-6,29
210.0,-7,29
210.25,-8,29
210.5,-7,29
210.75,-8,29
211.0,-9,29
211.25,-10,29
211.5,-9,29
211.75,-10,29
212.0,-9,30
212.25,-10,29
212.5,-9,29
212.75,-10,30
213.0,-9,30
213.25,-8,30
213.5,-9,31
213.75,-8,30
214.0,-9,30
214.25,-10,31
214.5,-9,31
214.75,-8,31
215.0,-9,31
215.25,-10,30
215.5,-9,31
215.75,-8,31
216.0,-7,31
