Position,Energy,Frequency
2.75,0,0
3.0,1,0
3.25,0,1
3.75,1,1
4.0,0,1
4.5,-1,1
5.75,0,1
6.75,-1,0
7.0,-2,-1
8.5,-1,0
9.0,-2,0
11.0,-1,0
11.5,-2,0
13.5,-1,-1
17.0,-2,-2
18.25,-1,-1
18.75,0,-2
19.0,1,-2
19.25,0,-1
19.5,-1,-1
22.0,0,-2
22.25,-1,-2
22.75,0,-2
23.0,-1,-2
24.0,-2,-2
24.25,-1,-3
26.5,0,-2
28.75,-1,-1
29.0,0,0
29.5,1,0
30.25,0,-1
31.0,-1,0
31.5,-2,0
32.0,-1,-1
33.5,-2,-2
34.0,-1,-1
34.25,-2,-1
35.0,-3,-2
35.25,-4,-1
36.0,-3,-1
36.25,-2,0
36.75,-1,-1
38.25,0,-2
38.5,-1,-2
40.0,0,-1
40.75,-1,0
41.0,-2,-1
43.75,-3,0
44.5,-2,-1
45.5,-3,0
45.75,-2,0
46.0,-3,-1
47.0,-2,-2
48.0,-1,-3
48.5,-2,-2
50.0,-1,-3
50.25,-2,-2
50.75,-3,-3
52.25,-2,-2
52.5,-1,-1
54.0,-2,0
54.25,-1,-1
54.5,0,-1
54.75,-1,-1
56.25,0,-1
60.25,1,-2
61.5,0,-3
61.75,1,-2
62.25,0,-3
62.5,1,-3
63.0,2,-2
66.0,3,-3
66.5,2,-4
68.0,3,-3
68.5,2,-2
69.25,3,-1
69.5,2,-2
69.75,3,-3
70.0,4,-2
70.5,3,-2
71.25,4,-3
72.25,3,-2
72.75,4,-3
73.5,3,-3
74.0,4,-2
75.75,5,-3
76.0,4,-3
76.25,3,-4
77.0,4,-3
78.0,5,-4
78.5,4,-4
79.0,3,-5
82.0,4,-4
82.75,5,-3
83.25,4,-4
84.0,5,-3
84.25,4,-3
86.25,5,-4
86.5,6,-5
87.75,7,-4
88.0,6,-3
88.25,7,-3
88.5,6,-3
88.75,7,-3
89.5,6,-4
90.0,7,-3
91.5,6,-4
92.0,7,-3
94.75,6,-4
96.0,7,-5
96.25,6,-6
96.5,7,-5
96.75,8,-5
97.0,7,-4
97.25,6,-4
97.5,7,-3
98.0,6,-2
98.25,7,-1
98.5,6,-2
98.75,7,-1
99.0,8,-2
99.5,7,-3
100.25,6,-2
100.5,5,-2
100.75,4,-1
101.0,5,0
101.5,4,-1
102.0,5,-2
102.5,4,-1
103.25,5,0
103.5,4,0
103.75,3,1
104.0,2,0
104.25,3,0
105.5,4,-1
106.0,5,-2
106.25,4,-2
106.75,3,-1
107.0,4,0
107.5,3,-1
108.0,4,-2
108.25,3,-1
109.0,4,-2
109.5,3,-1
110.25,2,-2
110.5,3,-2
110.75,2,-1
111.0,3,-1
111.5,2,-1
113.25,1,0
113.5,2,1
114.0,3,2
114.25,4,3
114.5,3,2
114.75,2,3
115.5,3,2
116.25,2,3
116.5,1,3
116.75,0,4
117.0,-1,5
117.5,0,4
118.0,-1,3
118.25,-2,3
118.75,-1,4
119.25,-2,5
119.5,-1,5
119.75,-2,4
120.25,-1,3
120.5,0,3
122.0,-1,2
122.25,-2,2
122.5,-1,3
124.5,-2,2
124.75,-1,2
125.0,0,2
125.25,-1,2
125.5,0,3
125.75,-1,4
126.25,0,3
126.5,1,3
126.75,0,3
127.0,1,3
127.25,2,3
127.5,3,3
128.25,2,2
129.0,1,1
129.25,2,2
129.5,3,3
129.75,4,3
130.25,3,4
130.5,2,5
130.75,3,5
131.0,2,4
131.5,3,5
132.25,2,6
132.5,3,6
132.75,4,7
133.0,3,6
133.5,4,7
134.25,3,6
134.5,4,7
134.75,5,7
135.0,4,6
135.25,5,7
135.5,6,7
135.75,5,7
136.25,4,6
137.0,5,5
137.5,6,6
138.25,5,5
138.5,6,5
138.75,5,6
139.0,6,5
139.5,7,6
140.25,6,5
140.75,5,4
141.0,6,3
141.5,7,4
142.25,8,3
142.5,9,3
142.75,8,4
143.0,7,3
143.25,8,4
143.5,9,4
143.75,8,5
145.5,9,6
145.75,10,6
146.25,11,7
146.5,12,7
146.75,11,8
147.5,10,7
148.25,11,8
148.5,12,7
148.75,13,8
149.5,12,7
150.5,11,6
150.75,12,6
151.5,13,7
151.75,12,7
152.25,11,6
153.5,12,5
154.25,11,4
155.5,12,5
156.25,13,4
156.75,12,3
157.5,13,4
158.25,14,3
158.5,13,3
158.75,14,4
159.25,15,4
159.5,14,4
159.75,13,5
162.0,12,4
162.25,13,5
163.0,12,4
163.5,11,5
163.75,12,6
164.0,13,5
165.5,14,4
166.75,15,5
168.0,14,4
170.0,15,5
170.25,16,4
175.5,15,4
176.0,14,3
177.75,13,2
178.0,14,2
178.25,13,3
178.75,14,2
179.0,13,2
179.25,12,3
179.5,13,3
179.75,12,2
180.0,13,2
180.5,14,2
181.5,13,1
182.0,12,2
182.5,13,1
182.75,14,2
183.0,15,1
183.25,16,0
183.5,15,0
184.0,16,-1
184.25,15,0
184.5,14,0
184.75,15,0
185.0,16,1
185.5,15,0
185.75,16,1
186.0,15,2
186.25,16,1
186.5,15,0
189.5,14,1
189.75,15,0
190.0,16,-1
190.25,15,-1
190.75,16,0
191.0,15,0
191.25,14,0
191.5,15,-1
191.75,16,-1
192.5,17,0
194.0,18,-1
194.25,17,-1
195.25,18,-2
195.75,17,-3
196.0,16,-3
196.25,17,-3
196.75,18,-2
198.5,17,-3
198.75,16,-2
199.0,17,-3
200.75,16,-4
202.0,17,-5
204.0,16,-6
205.0,17,-5
205.25,16,-6
205.5,17,-5
206.0,18,-6
206.25,17,-7
206.5,18,-6
207.25,19,-7
208.0,20,-8
209.0,19,-7
210.0,20,-6
210.25,19,-5
210.5,20,-6
210.75,21,-7
211.0,20,-7
211.25,19,-8
213.0,18,-7
214.0,19,-8
214.25,20,-9
215.25,19,-8
216.0,20,-9
216.5,19,-9
217.0,18,-8
218.0,19,-7
218.5,18,-7
219.0,19,-8
219.5,18,-8
220.0,17,-7
220.5,16,-6
221.0,17,-6
221.5,18,-7
221.75,19,-6
223.0,18,-7
226.25,17,-6
226.5,16,-5
226.75,15,-6
227.0,16,-6
227.25,15,-6
227.75,16,-5
228.0,17,-4
228.25,16,-4
228.5,15,-5
229.0,14,-4
229.25,15,-3
229.75,16,-4
230.0,15,-4
230.75,14,-4
231.0,13,-3
231.25,12,-2
231.5,11,-1
231.75,12,-2
232.0,11,-1
232.25,12,-1
232.5,11,-1
232.75,10,-2
234.75,11,-3
235.5,10,-2
235.75,11,-1
236.0,10,-2
236.25,11,-1
236.5,10,-1
238.0,11,-1
238.75,12,-2
239.0,13,-3
239.25,12,-3
239.5,13,-3
240.25,14,-3
240.5,13,-3
242.5,14,-2
242.75,15,-1
243.25,14,-2
244.0,15,-1
244.25,16,-2
244.5,15,-3
245.0,16,-4
245.25,17,-5
245.75,18,-6
246.75,17,-5
247.75,16,-4
248.0,17,-3
248.25,18,-3
249.5,17,-4
252.0,18,-5
253.0,17,-6
253.5,16,-6
253.75,17,-5
254.0,16,-5
255.75,15,-6
257.5,14,-5
258.0,15,-4
258.25,14,-3
258.5,15,-4
258.75,14,-3
259.0,15,-4
259.5,16,-5
260.25,15,-4
260.5,14,-4
260.75,13,-3
261.0,14,-2
261.5,13,-3
262.0,14,-4
262.5,13,-4
263.0,12,-3
263.25,13,-4
263.5,12,-3
263.75,11,-2
264.25,12,-3
265.5,11,-4
266.0,12,-5
266.25,13,-5
266.5,12,-5
267.5,11,-4
268.0,12,-5
269.5,11,-4
269.75,10,-4
270.25,9,-5
