Position,Energy,Frequency
0.0,0,0
0.25,1,-1
2.0,0,-2
2.5,1,-3
3.5,0,-2
4.0,1,-3
4.5,2,-4
4.75,3,-3
5.0,2,-2
5.25,3,-2
6.0,2,-3
6.25,3,-3
6.5,2,-2
7.0,1,-2
7.25,2,-1
7.5,1,-2
7.75,0,-1
8.5,-1,-2
8.75,-2,-1
10.0,-1,-2
10.5,-2,-1
11.0,-1,-2
11.25,0,-1
11.5,-1,0
12.5,0,-1
12.75,1,0
13.0,0,1
13.5,-1,0
14.0,0,1
14.25,-1,1
14.5,-2,1
15.0,-3,0
16.25,-4,1
16.5,-3,2
17.0,-2,1
19.75,-3,1
20.25,-2,1
20.5,-3,2
20.75,-4,1
21.0,-3,2
21.25,-2,1
21.75,-1,1
22.5,-2,1
24.25,-1,1
24.5,-2,2
25.0,-1,3
26.25,0,2
27.25,-1,1
27.5,0,2
27.75,-1,3
28.5,-2,4
28.75,-3,3
29.75,-2,4
34.5,-3,3
35.0,-2,2
35.5,-3,3
36.5,-2,2
36.75,-3,3
37.5,-2,2
38.0,-3,3
38.25,-2,2
39.0,-1,2
39.25,-2,3
40.0,-3,2
41.75,-2,1
42.75,-3,2
43.0,-4,1
44.0,-5,0
44.25,-4,1
44.5,-3,0
44.75,-4,-1
45.0,-3,-2
45.25,-4,-1
46.5,-3,-2
47.0,-2,-1
47.25,-3,-2
47.75,-2,-3
50.25,-1,-4
51.25,-2,-4
51.5,-3,-3
52.0,-2,-4
52.5,-3,-3
53.75,-2,-4
54.0,-3,-5
54.5,-4,-4
55.0,-3,-5
55.25,-4,-5
56.0,-5,-4
56.75,-6,-5
57.0,-5,-4
57.25,-4,-5
57.5,-5,-4
59.0,-6,-5
60.0,-7,-4
64.0,-6,-5
64.5,-7,-4
64.75,-6,-3
65.0,-7,-2
65.25,-6,-1
65.5,-5,-2
66.0,-6,-3
67.25,-5,-4
68.0,-6,-3
69.25,-5,-4
69.75,-4,-3
70.0,-5,-4
71.0,-4,-5
71.5,-5,-4
71.75,-6,-5
72.25,-5,-6
73.0,-4,-5
73.25,-3,-4
73.75,-4,-5
74.0,-5,-6
75.0,-4,-7
75.5,-5,-6
75.75,-4,-7
76.25,-5,-7
77.0,-4,-7
77.25,-3,-6
78.0,-4,-7
78.5,-3,-6
79.0,-4,-7
80.25,-3,-6
80.5,-4,-7
81.75,-3,-6
82.0,-4,-7
83.0,-3,-8
84.5,-4,-7
85.0,-5,-8
85.25,-4,-7
85.75,-5,-6
86.0,-6,-7
87.0,-5,-8
87.5,-6,-7
87.75,-7,-8
88.25,-6,-7
89.0,-7,-8
89.25,-6,-7
89.75,-7,-8
90.0,-6,-9
91.0,-5,-10
91.5,-6,-9
93.0,-7,-9
93.25,-6,-10
93.75,-7,-9
95.0,-6,-10
95.5,-5,-9
96.25,-6,-8
96.5,-7,-9
97.0,-6,-10
97.25,-5,-9
100.0,-6,-10
100.25,-5,-11
100.5,-4,-10
100.75,-5,-11
101.0,-4,-12
102.0,-3,-11
102.25,-4,-10
102.75,-3,-11
103.75,-4,-11
104.0,-3,-10
105.0,-4,-11
109.75,-3,-10
110.0,-2,-11
112.0,-3,-12
112.25,-4,-11
113.0,-3,-10
114.0,-4,-11
117.0,-3,-10
117.25,-2,-11
118.5,-3,-11
118.75,-4,-10
119.75,-5,-11
120.25,-4,-10
120.5,-5,-10
121.75,-6,-11
122.25,-5,-10
122.5,-6,-11
123.25,-7,-12
124.0,-8,-11
124.5,-7,-10
125.75,-6,-11
126.5,-7,-11
127.0,-8,-12
129.75,-7,-11
130.25,-8,-10
132.5,-9,-11
134.5,-8,-10
135.0,-7,-9
135.5,-6,-10
135.75,-7,-9
136.5,-8,-8
138.0,-7,-9
139.5,-8,-8
140.5,-7,-9
140.75,-8,-10
141.5,-7,-10
143.0,-8,-11
143.75,-9,-10
144.0,-8,-11
144.25,-9,-10
144.5,-10,-9
147.25,-9,-10
147.5,-8,-11
148.5,-7,-10
150.5,-8,-10
152.0,-9,-9
154.5,-8,-10
155.0,-9,-9
156.5,-10,-8
156.75,-9,-9
157.75,-8,-10
158.75,-9,-9
160.0,-8,-10
160.25,-9,-10
160.5,-10,-10
160.75,-9,-9
161.75,-10,-8
162.0,-9,-9
162.5,-10,-8
162.75,-9,-9
163.0,-8,-8
164.5,-9,-9
164.75,-10,-8
165.75,-9,-7
166.0,-10,-8
166.25,-11,-7
167.0,-10,-8
167.5,-11,-7
167.75,-10,-7
168.25,-11,-6
169.25,-10,-7
171.0,-9,-7
171.5,-10,-6
172.25,-11,-5
173.0,-10,-6
173.25,-11,-5
173.75,-10,-4
174.5,-11,-4
175.0,-12,-5
178.0,-11,-4
179.0,-10,-4
181.25,-11,-5
183.75,-12,-6
184.25,-13,-5
185.0,-14,-6
185.25,-13,-7
186.0,-14,-6
186.25,-15,-7
187.0,-14,-8
187.5,-15,-7
187.75,-14,-6
188.25,-13,-5
189.0,-14,-6
189.25,-13,-7
189.75,-14,-6
191.5,-15,-7
192.0,-16,-6
192.25,-17,-7
193.0,-16,-6
193.25,-17,-7
196.25,-18,-8
196.5,-17,-7
197.0,-18,-8
198.0,-17,-9
198.5,-16,-8
198.75,-15,-9
199.25,-14,-9
199.75,-15,-8
200.0,-16,-9
205.75,-15,-8
206.0,-16,-9
207.0,-15,-10
208.0,-16,-9
208.25,-15,-10
209.0,-14,-9
212.75,-15,-8
213.0,-16,-9
213.25,-17,-10
213.75,-18,-9
214.5,-17,-8
216.0,-16,-9
216.25,-17,-8
216.5,-16,-9
217.0,-17,-10
221.75,-16,-9
224.0,-17,-10
224.25,-18,-11
225.0,-17,-10
