Position,Energy,Frequency
0.0,0,0
1.0,1,-1
2.0,0,-1
3.0,1,-1
4.0,0,-1
5.0,1,-1
6.0,2,-1
7.0,3,-1
8.0,4,-1
12.0,3,0
13.0,2,-1
15.0,3,0
16.0,2,-1
18.0,1,-2
24.0,2,-1
25.0,3,-1
26.0,4,-2
27.0,5,-2
28.0,6,-1
29.0,5,-1
30.0,4,-1
32.0,3,-1
33.0,2,0
34.0,3,-1
35.0,2,-1
36.0,1,0
38.0,2,-1
47.0,1,0
48.0,0,0
49.0,-1,0
54.0,0,0
63.0,-1,-1
64.0,0,0
65.0,-1,-1
66.0,0,0
67.0,-1,1
74.0,0,0
76.0,1,1
77.0,0,0
79.0,1,-1
81.0,0,0
84.0,-1,0
87.0,0,0
88.0,-1,1
89.0,0,0
90.0,-1,0
91.0,0,-1
92.0,1,-1
93.0,0,-1
94.0,-1,-1
95.0,0,-1
96.0,-1,-1
97.0,0,-1
98.0,1,-1
99.0,0,-1
100.0,-1,-1
101.0,0,-1
102.0,1,-1
103.0,0,-1
104.0,1,-1
105.0,2,-1
106.0,1,-1
107.0,0,-1
108.0,1,-1
109.0,2,-1
110.0,3,-1
111.0,2,-1
113.0,1,-1
114.0,0,0
122.0,-1,1
124.0,0,0
125.0,-1,0
126.0,0,1
127.0,1,2
128.0,0,3
129.0,1,2
130.0,0,2
131.0,-1,3
132.0,0,2
133.0,1,3
134.0,0,3
135.0,1,3
136.0,0,2
137.0,1,3
139.0,2,3
140.0,1,3
141.0,0,2
142.0,1,3
143.0,2,2
144.0,1,2
145.0,2,2
146.0,3,2
147.0,2,2
148.0,3,3
149.0,4,2
150.0,3,1
151.0,4,2
152.0,5,3
153.0,4,2
154.0,3,2
155.0,4,2
156.0,5,3
157.0,4,3
158.0,3,3
159.0,2,3
160.0,3,3
161.0,2,4
162.0,3,3
163.0,2,4
164.0,3,3
165.0,4,4
166.0,3,3
167.0,2,4
168.0,1,3
169.0,2,4
170.0,1,4
171.0,0,4
172.0,1,4
174.0,2,4
177.0,1,5
178.0,0,4
179.0,-1,5
180.0,0,4
183.0,-1,5
184.0,0,4
185.0,-1,5
186.0,-2,4
187.0,-1,5
188.0,-2,4
189.0,-1,3
190.0,-2,4
191.0,-3,5
193.0,-2,4
195.0,-1,3
196.0,0,4
200.0,-1,3
201.0,0,2
203.0,-1,3
204.0,0,2
207.0,1,3
208.0,2,3
209.0,3,2
211.0,2,2
212.0,1,1
213.0,0,0
214.0,-1,0
215.0,-2,1
216.0,-1,0
223.0,0,1
224.0,-1,2
225.0,0,2
226.0,-1,1
227.0,0,2
228.0,-1,3
232.0,0,2
233.0,1,1
234.0,0,1
235.0,-1,1
236.0,-2,2
239.0,-3,1
240.0,-4,0
243.0,-3,1
244.0,-4,0
247.0,-5,-1
248.0,-4,0
250.0,-5,0
251.0,-4,1
252.0,-5,0
255.0,-4,1
256.0,-5,2
259.0,-4,1
264.0,-3,2
265.0,-4,1
266.0,-5,2
267.0,-4,1
268.0,-5,0
269.0,-4,0
271.0,-3,1
272.0,-4,1
273.0,-5,1
274.0,-4,0
275.0,-5,1
279.0,-4,1
280.0,-3,0
282.0,-4,0
283.0,-3,1
284.0,-2,0
287.0,-1,1
288.0,-2,1
289.0,-3,2
290.0,-2,3
291.0,-1,4
292.0,-2,3
293.0,-3,3
295.0,-4,4
296.0,-3,3
297.0,-2,3
298.0,-3,3
299.0,-4,3
301.0,-5,3
303.0,-4,4
304.0,-5,4
305.0,-4,4
306.0,-5,3
307.0,-6,4
308.0,-5,5
310.0,-6,4
311.0,-7,5
312.0,-6,4
313.0,-7,3
314.0,-6,4
315.0,-7,4
316.0,-6,4
317.0,-7,3
319.0,-8,2
320.0,-7,3
323.0,-8,2
327.0,-7,2
329.0,-8,3
330.0,-7,2
331.0,-8,3
332.0,-9,2
333.0,-10,3
335.0,-9,2
337.0,-8,3
338.0,-7,3
339.0,-8,3
341.0,-7,2
343.0,-8,1
344.0,-9,1
346.0,-10,2
348.0,-9,3
349.0,-10,3
351.0,-9,3
353.0,-10,2
355.0,-11,3
357.0,-10,2
358.0,-11,2
359.0,-10,3
360.0,-11,2
361.0,-10,1
363.0,-11,2
364.0,-12,1
366.0,-13,0
379.0,-12,0
381.0,-11,1
382.0,-12,2
383.0,-13,1
384.0,-12,2
385.0,-11,1
386.0,-12,2
388.0,-11,1
389.0,-12,1
390.0,-11,2
391.0,-10,1
392.0,-9,2
393.0,-10,2
394.0,-11,1
395.0,-10,0
396.0,-9,1
397.0,-8,2
398.0,-9,1
399.0,-10,1
400.0,-9,2
401.0,-10,3
402.0,-11,2
403.0,-10,2
404.0,-9,2
405.0,-8,2
406.0,-7,3
407.0,-6,2
408.0,-7,1
409.0,-6,2
410.0,-5,1
411.0,-6,2
412.0,-7,1
413.0,-6,2
414.0,-7,3
415.0,-6,2
416.0,-7,3
417.0,-6,2
419.0,-7,2
420.0,-6,2
421.0,-7,3
422.0,-8,2
423.0,-7,3
424.0,-6,4
425.0,-7,5
426.0,-8,4
427.0,-9,5
428.0,-10,6
431.0,-9,5
441.0,-8,4
442.0,-9,5
443.0,-8,6
444.0,-9,7
445.0,-8,6
446.0,-7,6
447.0,-8,5
448.0,-7,6
449.0,-6,5
450.0,-7,6
451.0,-8,7
452.0,-7,8
453.0,-8,7
454.0,-9,6
455.0,-8,6
456.0,-9,7
457.0,-8,6
458.0,-9,7
459.0,-8,7
460.0,-7,7
461.0,-8,6
463.0,-7,7
473.0,-6,6
478.0,-7,7
479.0,-6,8
480.0,-5,8
481.0,-6,7
482.0,-7,8
483.0,-6,7
486.0,-7,8
487.0,-8,7
492.0,-7,8
507.0,-6,8
508.0,-7,8
509.0,-8,8
510.0,-9,8
511.0,-8,9
512.0,-9,9
513.0,-10,8
514.0,-9,7
515.0,-10,7
516.0,-9,8
518.0,-10,9
519.0,-9,8
520.0,-8,9
521.0,-9,8
522.0,-8,9
523.0,-9,8
524.0,-8,9
525.0,-9,8
526.0,-8,8
527.0,-7,7
528.0,-8,8
529.0,-7,8
531.0,-8,7
534.0,-7,7
535.0,-6,6
537.0,-7,6
538.0,-6,7
540.0,-7,8
541.0,-6,7
542.0,-5,8
543.0,-4,9
544.0,-5,8
545.0,-6,8
546.0,-5,9
547.0,-4,8
548.0,-5,9
549.0,-6,10
550.0,-5,10
551.0,-6,9
552.0,-7,8
553.0,-6,9
554.0,-5,8
555.0,-6,8
556.0,-5,9
557.0,-4,8
563.0,-5,9
567.0,-4,10
569.0,-3,9
570.0,-4,10
571.0,-5,9
572.0,-4,10
573.0,-5,10
574.0,-6,11
575.0,-5,10
576.0,-4,10
577.0,-5,11
578.0,-4,10
579.0,-5,10
580.0,-4,10
581.0,-3,10
582.0,-4,10
583.0,-5,10
584.0,-4,10
585.0,-5,11
586.0,-6,11
587.0,-5,11
588.0,-6,11
589.0,-7,10
590.0,-8,11
591.0,-7,10
592.0,-6,10
595.0,-5,10
596.0,-6,9
597.0,-5,10
598.0,-4,10
599.0,-5,9
600.0,-6,10
601.0,-7,9
602.0,-6,10
603.0,-5,10
604.0,-6,10
605.0,-7,10
606.0,-8,9
607.0,-7,9
608.0,-8,9
609.0,-7,9
610.0,-8,9
611.0,-9,9
614.0,-10,8
615.0,-9,9
616.0,-10,8
618.0,-9,7
619.0,-8,8
620.0,-9,7
622.0,-10,8
623.0,-9,9
630.0,-10,8
634.0,-11,9
637.0,-12,8
638.0,-13,9
639.0,-12,8
641.0,-13,9
642.0,-12,8
643.0,-13,9
644.0,-14,9
645.0,-13,8
646.0,-14,7
647.0,-13,8
648.0,-14,7
649.0,-13,8
650.0,-14,8
651.0,-13,8
652.0,-12,9
656.0,-11,10
658.0,-12,9
660.0,-11,9
663.0,-10,8
664.0,-9,8
665.0,-10,9
666.0,-9,8
676.0,-8,7
678.0,-9,8
679.0,-10,9
680.0,-9,9
684.0,-8,10
686.0,-9,9
688.0,-8,9
692.0,-7,8
696.0,-6,9
705.0,-7,8
707.0,-8,7
708.0,-7,8
710.0,-6,7
711.0,-5,8
712.0,-6,8
713.0,-5,7
714.0,-6,8
715.0,-5,9
716.0,-6,8
718.0,-5,7
720.0,-6,8
722.0,-5,7
724.0,-4,7
725.0,-5,7
728.0,-4,8
729.0,-5,9
730.0,-6,8
740.0,-5,9
743.0,-6,8
744.0,-5,7
746.0,-4,8
747.0,-5,7
748.0,-6,8
749.0,-5,9
750.0,-4,8
751.0,-3,9
753.0,-4,10
754.0,-5,9
755.0,-6,8
756.0,-5,9
757.0,-4,8
760.0,-3,9
761.0,-4,8
762.0,-3,7
763.0,-4,8
764.0,-3,7
765.0,-2,8
766.0,-3,7
767.0,-2,6
769.0,-3,7
770.0,-4,8
771.0,-3,9
772.0,-2,9
773.0,-3,8
775.0,-2,9
776.0,-1,10
777.0,-2,9
778.0,-3,10
779.0,-2,10
780.0,-1,9
781.0,-2,10
782.0,-3,9
783.0,-4,9
788.0,-3,9
789.0,-4,10
792.0,-3,11
793.0,-4,11
794.0,-3,11
796.0,-2,11
804.0,-3,10
805.0,-4,10
807.0,-3,11
808.0,-4,12
809.0,-3,11
810.0,-4,12
812.0,-3,13
813.0,-2,14
814.0,-3,14
815.0,-4,13
816.0,-3,14
