Position,Energy,Frequency
0.0,0,0
0.25,-1,1
4.25,-2,1
6.75,-1,0
7.0,0,0
7.25,-1,1
7.5,-2,2
8.25,-1,1
8.5,-2,1
8.75,-1,1
9.0,0,1
12.0,-1,0
12.5,0,0
13.75,-1,1
16.25,0,1
16.5,-1,1
19.25,0,1
22.5,-1,1
23.75,0,2
24.0,-1,1
31.25,0,2
31.5,1,2
31.75,0,1
32.0,1,0
36.0,0,1
38.25,1,0
38.5,2,1
39.0,1,1
40.25,0,0
41.0,-1,1
44.25,-2,0
46.75,-1,1
47.25,-2,1
48.25,-3,0
50.25,-2,1
50.5,-1,2
50.75,-2,1
51.0,-3,1
51.25,-2,2
52.25,-3,1
56.25,-2,2
56.75,-3,3
60.25,-2,2
61.25,-3,1
62.5,-4,2
63.25,-3,3
66.75,-2,2
67.5,-1,3
68.5,-2,2
68.75,-3,1
69.25,-2,2
70.0,-3,1
71.25,-4,0
72.25,-5,1
75.0,-4,1
75.5,-5,0
76.0,-6,0
76.25,-5,-1
76.75,-6,0
77.0,-5,-1
78.25,-4,0
78.75,-5,0
79.25,-6,-1
82.0,-7,-2
82.75,-6,-3
85.75,-5,-4
86.75,-6,-4
87.0,-5,-4
87.25,-6,-3
87.5,-5,-3
89.5,-4,-2
92.5,-5,-3
95.0,-6,-2
95.25,-5,-3
95.5,-6,-3
95.75,-7,-4
96.0,-8,-3
96.25,-7,-4
101.25,-6,-5
104.75,-7,-4
105.25,-6,-5
105.75,-7,-6
106.0,-6,-5
110.25,-5,-6
111.0,-6,-5
111.25,-5,-6
111.75,-6,-6
112.0,-7,-7
118.5,-8,-6
119.25,-7,-5
119.75,-8,-5
120.0,-7,-6
120.25,-8,-5
126.5,-9,-6
127.5,-10,-5
127.75,-9,-6
128.0,-8,-7
128.25,-9,-6
132.25,-10,-6
136.0,-9,-7
136.25,-10,-8
137.75,-9,-7
142.5,-10,-8
143.25,-9,-8
143.75,-10,-8
144.0,-9,-8
144.25,-10,-7
145.0,-11,-8
145.25,-12,-7
145.75,-11,-7
149.75,-10,-6
150.25,-11,-7
150.75,-10,-6
151.25,-11,-7
152.25,-10,-6
152.75,-9,-7
155.75,-10,-6
156.0,-11,-7
159.25,-12,-7
162.25,-11,-6
163.25,-12,-7
164.25,-11,-7
165.25,-10,-7
166.5,-11,-6
166.75,-10,-7
169.25,-9,-8
169.75,-10,-8
170.25,-11,-7
170.75,-10,-8
171.25,-9,-8
171.75,-10,-7
172.25,-9,-8
173.25,-10,-8
173.75,-11,-9
174.25,-12,-8
175.25,-11,-9
177.25,-10,-8
178.25,-11,-7
179.25,-10,-8
182.25,-11,-7
182.5,-12,-8
182.75,-11,-9
185.25,-10,-8
185.75,-11,-9
186.25,-10,-8
186.75,-9,-9
187.25,-10,-8
187.5,-9,-7
187.75,-8,-6
188.0,-9,-5
191.5,-8,-4
191.75,-9,-4
194.25,-8,-5
195.25,-7,-4
196.25,-8,-5
197.25,-7,-4
198.25,-8,-3
201.25,-7,-4
201.5,-6,-4
202.25,-7,-5
202.5,-8,-6
202.75,-7,-5
203.0,-8,-5
203.25,-7,-6
203.5,-6,-5
203.75,-7,-4
205.25,-6,-5
206.25,-7,-4
206.5,-6,-3
209.25,-5,-2
210.25,-6,-3
210.5,-7,-2
210.75,-6,-1
211.25,-7,-2
213.25,-6,-2
214.25,-7,-1
217.25,-8,-2
218.75,-7,-1
219.25,-8,-2
220.25,-9,-1
220.75,-8,-2
221.25,-7,-3
221.5,-8,-3
221.75,-7,-4
222.0,-8,-3
223.25,-7,-4
225.0,-8,-3
225.75,-7,-4
226.0,-8,-3
226.25,-9,-2
227.25,-8,-3
228.25,-7,-3
228.5,-8,-2
229.25,-7,-3
229.5,-8,-4
229.75,-9,-3
230.25,-10,-2
230.5,-9,-3
230.75,-8,-3
231.0,-7,-4
231.25,-8,-3
231.5,-7,-3
233.25,-6,-4
234.25,-7,-3
234.75,-8,-2
235.25,-7,-3
235.75,-8,-3
236.25,-7,-3
237.25,-8,-2
237.5,-7,-3
238.25,-8,-4
238.5,-7,-3
239.5,-8,-4
241.25,-7,-3
241.75,-8,-4
242.0,-7,-3
242.25,-8,-4
242.75,-7,-3
243.25,-6,-4
243.5,-5,-3
245.25,-4,-4
245.5,-5,-3
246.25,-4,-2
246.5,-5,-3
248.25,-4,-4
249.25,-5,-4
249.5,-6,-4
249.75,-5,-5
250.0,-6,-4
250.25,-7,-3
250.5,-6,-2
250.75,-5,-2
251.0,-4,-3
251.25,-5,-2
251.5,-6,-3
251.75,-5,-4
252.0,-4,-3
255.75,-5,-4
257.0,-6,-4
257.25,-5,-3
257.5,-4,-4
258.0,-5,-4
261.25,-6,-3
265.25,-5,-4
265.5,-6,-4
266.0,-7,-5
266.25,-6,-4
266.5,-5,-4
266.75,-6,-3
267.0,-5,-4
267.25,-6,-5
267.5,-7,-6
267.75,-6,-5
268.25,-7,-5
268.5,-8,-4
269.25,-7,-5
269.75,-8,-4
270.5,-7,-5
270.75,-6,-6
271.5,-5,-5
273.25,-4,-6
273.75,-5,-6
274.0,-6,-5
274.25,-7,-4
274.5,-8,-5
274.75,-9,-4
275.0,-8,-5
275.25,-9,-4
277.25,-10,-5
277.5,-9,-6
278.25,-10,-5
280.25,-11,-6
281.75,-12,-7
282.25,-11,-6
283.25,-12,-7
283.5,-11,-6
284.25,-10,-7
285.25,-11,-7
285.5,-10,-6
285.75,-9,-7
286.25,-10,-6
286.5,-11,-5
287.75,-10,-6
288.5,-11,-7
289.25,-10,-6
290.5,-9,-7
292.25,-8,-6
294.0,-7,-6
294.75,-8,-6
295.0,-9,-7
296.5,-8,-6
297.0,-7,-6
302.25,-8,-5
302.5,-7,-6
303.25,-8,-5
304.25,-9,-6
306.5,-10,-5
306.75,-9,-5
307.0,-10,-6
308.25,-11,-6
311.25,-10,-7
312.25,-9,-6
312.5,-10,-5
316.25,-11,-6
322.25,-10,-5
322.5,-11,-4
323.0,-10,-5
323.25,-11,-4
324.25,-10,-5
324.75,-11,-4
326.25,-10,-5
326.75,-9,-4
327.25,-10,-3
327.5,-9,-4
328.5,-10,-3
331.0,-9,-4
332.0,-10,-3
332.25,-11,-2
334.75,-12,-1
335.25,-11,0
338.25,-10,-1
339.0,-9,0
341.0,-8,1
344.25,-7,0
351.0,-8,1
351.25,-7,0
351.5,-8,0
351.75,-9,-1
352.25,-8,0
352.5,-7,1
354.0,-8,0
354.25,-7,0
355.25,-8,1
356.0,-7,0
357.25,-8,1
357.75,-9,0
359.25,-8,0
359.5,-9,-1
360.0,-10,-2
360.25,-9,-1
361.25,-8,0
361.75,-9,1
362.0,-8,2
362.25,-9,1
363.25,-10,0
367.0,-9,1
367.25,-8,0
367.75,-9,0
368.0,-10,0
368.25,-11,1
372.0,-12,2
372.25,-11,1
374.5,-12,2
375.25,-11,3
375.75,-10,2
376.0,-9,3
376.25,-10,4
376.5,-11,3
377.0,-10,3
380.25,-11,4
382.5,-12,3
383.0,-11,4
383.25,-12,3
383.5,-13,4
383.75,-12,3
384.0,-13,2
384.25,-12,3
384.75,-13,4
385.75,-12,3
387.25,-11,4
388.25,-12,4
388.5,-11,3
389.25,-12,2
391.25,-11,2
393.75,-12,3
394.25,-11,2
395.25,-10,3
398.5,-11,2
399.0,-10,1
399.25,-11,1
400.0,-12,2
400.25,-13,1
406.0,-14,0
406.5,-13,1
406.75,-14,1
407.25,-13,1
407.75,-12,0
408.25,-13,1
408.75,-12,0
410.75,-11,1
414.25,-12,2
415.5,-11,1
416.0,-12,0
416.75,-11,-1
417.0,-10,0
417.5,-11,-1
418.25,-10,-1
419.75,-11,0
421.25,-12,1
421.75,-11,0
422.25,-10,1
423.25,-11,2
423.75,-10,1
425.25,-9,2
425.75,-8,1
426.25,-7,0
427.75,-8,1
430.25,-7,2
431.75,-6,2
432.0,-7,2
432.75,-8,1
433.0,-7,0
433.75,-8,-1
434.25,-9,-1
434.5,-10,0
435.0,-9,-1
435.5,-10,-1
435.75,-11,0
436.0,-10,-1
436.75,-11,-1
437.0,-10,-1
437.25,-11,0
437.75,-10,-1
439.75,-11,0
441.75,-10,-1
442.25,-9,-1
443.75,-10,0
445.0,-9,-1
447.0,-10,0
447.5,-11,-1
447.75,-10,-2
448.0,-11,-1
448.5,-10,-1
448.75,-11,-2
449.0,-10,-2
449.25,-11,-1
449.5,-12,-2
449.75,-13,-3
450.25,-14,-3
450.5,-15,-3
451.75,-14,-2
452.0,-15,-1
453.25,-16,0
453.75,-15,-1
454.25,-16,0
455.25,-17,1
456.0,-16,0
457.0,-15,-1
457.25,-16,0
457.75,-15,-1
458.25,-16,0
458.5,-15,1
459.25,-16,2
459.75,-15,1
460.75,-16,0
461.0,-15,1
461.25,-16,2
461.75,-15,1
462.25,-16,0
462.5,-15,-1
463.25,-16,0
463.75,-15,0
465.0,-16,1
465.5,-15,0
465.75,-14,1
466.25,-15,0
466.5,-16,1
469.25,-15,2
469.75,-14,3
470.25,-15,2
473.75,-14,2
474.5,-15,3
475.75,-16,4
476.0,-17,3
477.0,-16,2
477.5,-15,3
478.25,-16,2
479.0,-15,1
479.25,-14,2
480.75,-15,1
481.0,-14,1
481.75,-13,2
482.5,-12,1
483.75,-13,0
484.0,-14,1
