Position,Energy,Frequency
0.0,0,0
1.0,1,-1
2.5,0,0
3.0,1,-1
4.5,0,0
6.0,1,0
7.5,2,-1
8.0,3,-1
9.0,4,0
10.0,3,-1
10.5,4,0
11.0,5,-1
11.5,6,0
12.0,7,0
12.5,8,0
14.0,7,0
15.0,8,1
15.5,9,1
17.0,10,0
18.5,11,0
20.0,10,1
21.5,9,2
22.5,8,3
23.5,9,3
24.0,8,2
25.5,9,3
28.5,8,2
30.0,9,2
31.0,8,2
31.5,9,3
33.0,8,2
35.5,9,3
38.5,8,2
40.5,9,3
42.0,8,3
46.5,7,4
47.5,8,3
48.0,7,2
49.0,8,2
50.0,9,3
51.0,8,2
52.0,9,3
54.0,8,4
55.5,7,3
56.5,8,3
57.5,9,4
58.0,8,4
59.5,9,3
60.0,8,3
62.0,9,3
63.5,8,4
64.5,7,4
65.0,8,3
65.5,9,4
66.5,10,5
67.5,11,4
68.5,10,4
69.5,9,5
70.5,10,5
71.5,11,4
72.5,10,4
73.5,9,4
74.5,10,4
75.5,9,4
76.5,10,4
77.5,11,4
78.5,10,4
79.5,11,4
80.0,10,3
80.5,11,4
82.0,10,4
82.5,11,4
83.5,12,4
84.0,11,5
84.5,12,4
86.0,11,4
86.5,12,4
88.0,11,4
88.5,12,4
90.0,11,4
91.0,12,4
92.0,11,3
94.0,12,4
94.5,13,3
95.5,14,3
96.0,13,4
97.5,14,5
99.5,15,4
100.0,14,5
101.5,13,6
102.0,14,6
103.0,13,5
103.5,14,5
104.0,13,5
104.5,14,6
107.0,13,6
107.5,14,5
108.5,13,6
111.5,12,6
112.0,11,6
112.5,12,6
115.5,13,6
116.0,12,6
118.0,11,7
119.0,10,6
119.5,11,6
120.0,10,6
120.5,11,7
123.5,12,6
124.0,11,7
126.0,10,6
126.5,11,5
127.5,12,5
128.0,11,6
129.5,12,7
131.5,13,6
132.0,12,7
133.5,11,8
134.0,12,8
135.0,11,7
135.5,12,7
136.0,11,7
136.5,12,8
139.5,13,7
140.5,12,8
142.0,11,8
142.5,12,7
145.0,11,8
145.5,12,9
147.5,13,8
148.0,12,8
150.0,11,9
151.0,10,8
151.5,11,8
152.0,10,8
152.5,11,9
154.0,10,8
155.5,11,7
156.0,10,8
158.0,9,7
158.5,10,6
160.0,9,6
161.0,10,6
163.0,9,7
166.0,10,8
167.0,11,8
168.0,10,7
169.0,9,8
169.5,10,7
170.0,11,7
170.5,12,7
171.5,11,7
172.0,12,6
173.0,11,7
173.5,12,7
174.5,13,6
175.0,14,6
175.5,15,6
177.0,14,7
179.0,13,6
180.0,14,6
181.5,13,7
182.5,12,7
183.5,11,6
184.5,12,5
185.5,13,6
186.0,12,5
186.5,13,5
187.5,12,4
188.0,13,5
188.5,14,4
190.0,15,3
191.0,14,4
191.5,15,5
192.5,14,4
193.0,15,3
193.5,16,4
194.5,15,4
195.5,16,4
196.5,17,4
197.5,16,4
198.5,17,4
199.5,16,4
200.5,15,4
201.5,16,4
202.0,15,4
202.5,16,4
204.0,15,5
204.5,16,4
205.5,17,4
206.0,16,4
206.5,17,4
208.0,16,4
208.5,17,5
209.5,18,4
210.0,17,4
210.5,18,4
211.0,19,4
211.5,20,4
212.0,19,4
212.5,20,4
213.5,21,4
214.0,20,4
215.0,21,4
216.0,22,4
218.0,21,4
219.5,22,3
221.5,21,4
222.5,22,3
226.5,21,4
227.5,22,3
228.0,21,4
230.0,22,3
231.5,23,3
232.0,22,3
232.5,23,4
234.0,24,3
235.5,25,3
236.5,24,3
238.0,25,3
239.0,24,3
239.5,25,3
240.0,24,4
240.5,25,4
242.0,26,3
243.5,25,4
244.0,24,4
246.0,25,3
247.5,26,3
248.0,25,3
248.5,26,4
250.0,27,3
252.0,26,4
254.5,25,3
255.5,26,3
256.0,25,4
258.0,26,3
259.5,25,3
260.0,24,4
262.0,25,3
263.5,26,3
264.0,25,3
264.5,26,4
266.0,27,3
267.5,28,3
268.5,27,3
269.5,28,3
270.0,29,3
271.5,28,3
272.5,27,4
274.0,28,3
275.5,27,4
276.0,26,4
278.0,27,3
279.5,28,3
280.0,27,3
280.5,28,4
282.0,29,3
283.5,30,3
286.0,29,4
286.5,30,4
287.5,31,3
288.0,30,3
288.5,31,4
289.0,32,3
289.5,33,4
291.5,34,5
292.0,33,5
296.5,34,6
297.0,35,6
298.0,36,6
299.5,35,5
300.0,34,5
301.0,35,6
302.5,34,6
303.5,33,5
304.0,34,5
307.5,33,6
310.5,32,7
312.0,33,7
313.5,34,7
314.0,33,6
315.0,34,7
316.5,33,8
318.5,32,7
319.5,33,8
320.0,32,8
321.5,33,9
323.0,32,8
325.0,31,9
329.5,32,8
330.5,31,9
331.5,32,8
332.0,31,8
332.5,32,8
334.0,31,8
335.0,30,9
335.5,31,8
336.0,30,7
337.0,31,8
338.5,32,7
340.5,31,8
341.5,32,8
342.0,33,9
344.0,32,8
345.0,33,7
345.5,34,8
346.0,33,8
346.5,34,8
347.5,33,8
348.0,34,8
349.0,33,8
349.5,34,7
350.0,33,6
