Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,23.814880836171113,129.19921875
3.0,-1,1,19.5501507649917,150.732421875
3.5,0,1,21.354566580606647,150.732421875
7.0,1,2,22.620288756775228,215.33203125
9.5,0,1,22.301475423925506,172.265625
10.0,-1,2,22.22541507314386,193.798828125
11.0,-2,1,21.218024824288154,172.265625
13.0,-3,0,20.995872728953266,150.732421875
14.5,-4,-1,20.37953158553143,129.19921875
17.5,-3,0,20.683476134222857,150.732421875
18.5,-4,0,19.923587061908385,150.732421875
21.5,-5,1,19.66777662007184,215.33203125
22.0,-4,1,20.176537045158128,215.33203125
23.0,-3,1,20.67949363631105,215.33203125
23.5,-2,1,22.840089614307853,215.33203125
24.5,-3,0,20.17790894761061,172.265625
25.5,-2,0,21.045951535816492,172.265625
26.0,-3,0,19.86350604427873,172.265625
26.5,-2,0,20.571559060935524,172.265625
29.0,-3,1,20.210250777718194,193.798828125
30.0,-4,1,20.17587291172669,193.798828125
31.5,-3,2,20.20051884341088,236.865234375
32.0,-4,1,19.023495783144224,150.732421875
33.5,-5,2,18.221546762690046,215.33203125
34.5,-4,1,19.915524217394065,150.732421875
35.5,-3,1,19.96048282359736,150.732421875
36.0,-2,2,20.193892860596158,258.3984375
37.5,-1,1,20.443729317702314,215.33203125
38.0,-2,1,20.36604188532522,215.33203125
39.5,-3,0,18.148343091122324,129.19921875
40.5,-2,1,20.4584097412872,215.33203125
43.0,-3,0,20.372211715846845,172.265625
44.5,-4,1,19.830729385792807,193.798828125
45.5,-5,0,17.885036394301636,129.19921875
46.0,-4,0,17.9489185605782,129.19921875
47.0,-3,1,18.14999110420954,215.33203125
47.5,-2,2,19.607918351518563,236.865234375
52.5,-3,1,19.059220983673985,215.33203125
53.5,-2,1,19.069468479186618,215.33203125
54.0,-1,1,21.737742882848806,215.33203125
56.0,-2,1,20.318368234867986,215.33203125
57.0,-1,1,21.644863345172944,215.33203125
58.0,-2,0,20.091334756677842,172.265625
59.0,-1,0,21.104071833540615,172.265625
59.5,0,0,21.55244944567288,172.265625
60.0,-1,0,20.419895167344073,172.265625
61.0,-2,0,19.215781133909427,172.265625
61.5,-1,-1,21.795862684632674,150.732421875
62.0,0,-1,22.034370785540943,150.732421875
63.0,-1,0,20.369294982096093,236.865234375
63.5,0,-1,22.59566796683004,129.19921875
64.0,1,-1,24.43184231332659,129.19921875
65.0,0,-1,20.957551957750056,129.19921875
72.0,1,-1,23.4479214868694,129.19921875
78.5,0,0,20.421199341292887,193.798828125
80.0,1,-1,24.318301696610092,129.19921875
88.0,0,-1,23.661998629217237,129.19921875
95.5,-1,0,21.981789539932016,236.865234375
96.5,-2,0,17.353477034340862,236.865234375
98.5,-1,-1,17.561885524145065,150.732421875
99.5,0,-2,17.581530692955624,129.19921875
100.5,1,-2,17.675171130213535,129.19921875
104.5,2,-2,20.89753459835569,129.19921875
105.5,1,-1,18.6671413299651,172.265625
106.5,0,-2,17.342753283397393,129.19921875
107.5,1,-1,18.336006651000144,150.732421875
108.5,2,-2,19.46237021761924,129.19921875
109.5,1,-2,18.41567740293333,129.19921875
112.0,2,-2,23.595340401215065,129.19921875
114.0,1,-2,22.923185388795662,129.19921875
116.0,2,-2,23.925957804138328,129.19921875
118.0,1,-2,23.74762376308251,129.19921875
120.0,0,-2,22.697470978973126,129.19921875
122.0,-1,-2,21.746832114600316,129.19921875
124.0,-2,-2,14.544490820627281,129.19921875
128.0,-1,-2,24.726424322304066,129.19921875
130.0,-2,-2,24.19900168941219,129.19921875
131.0,-3,-2,23.48255920378882,129.19921875
132.0,-2,-2,24.051705317159975,129.19921875
133.0,-1,-2,24.076330332065332,129.19921875
134.0,0,-2,24.549426668180672,129.19921875
135.0,-1,-2,23.82845878083332,129.19921875
136.0,0,-2,24.373633013868915,129.19921875
138.0,1,-2,24.554204244519852,129.19921875
139.0,0,-2,23.886069532223186,129.19921875
140.0,1,-2,24.810761677279196,129.19921875
141.0,0,-2,24.096328222637556,129.19921875
142.0,1,-2,24.371599184505676,129.19921875
143.0,0,-2,24.224219005661798,129.19921875
144.0,1,-2,24.234529406116152,129.19921875
146.0,0,-2,24.20770298223485,129.19921875
147.0,-1,-2,23.596748997359636,129.19921875
148.0,0,-2,24.77619076718023,129.19921875
149.0,-1,-2,23.48335642605795,129.19921875
150.0,0,-2,24.484149250606862,129.19921875
151.0,-1,-2,23.72812020191299,129.19921875
152.0,0,-2,24.2556437655792,129.19921875
153.0,-1,-2,23.64876569130478,129.19921875
154.0,0,-2,24.550014632025906,129.19921875
155.0,-1,-2,23.7333422607442,129.19921875
156.5,-2,-2,21.733712289757303,129.19921875
157.5,-1,-2,23.319532723221606,129.19921875
158.5,-2,-2,22.33899404488077,129.19921875
159.5,-3,-2,21.91000088463426,129.19921875
160.0,-2,-2,23.947245488518774,129.19921875
162.0,-3,-1,21.009989805428905,215.33203125
164.0,-2,-2,22.620286762182936,172.265625
165.5,-1,-3,23.839322867576264,129.19921875
167.5,-2,-2,20.900704478644435,215.33203125
168.0,-1,-2,24.03544663354296,215.33203125
172.0,-2,-3,23.952863744000915,150.732421875
173.5,-1,-4,24.08599632531335,129.19921875
176.0,-2,-4,23.73117048021108,129.19921875
178.0,-3,-3,19.481452468450136,215.33203125
178.5,-2,-4,19.847840126353457,150.732421875
179.0,-1,-3,22.616228530685845,172.265625
180.0,0,-4,22.6936985294593,129.19921875
181.5,1,-4,24.082043479529005,129.19921875
182.5,0,-3,20.420005137045084,215.33203125
184.0,1,-4,24.129056535861558,129.19921875
185.0,0,-3,18.302246206129777,236.865234375
186.0,1,-3,18.99098256404595,236.865234375
187.0,2,-4,20.30784086259114,172.265625
189.0,1,-5,20.026440769066213,150.732421875
190.5,0,-4,19.278110449420275,172.265625
192.0,1,-5,25.425989102863756,129.19921875
193.5,0,-4,20.500420477636982,150.732421875
196.0,1,-3,22.807067336543287,172.265625
197.5,2,-4,23.266336478784343,150.732421875
199.5,1,-3,20.527100928784122,215.33203125
200.0,2,-4,22.89393501123059,150.732421875
204.0,3,-5,23.478840368888648,129.19921875
205.5,4,-5,24.685027307384793,129.19921875
208.0,3,-5,24.62270544579233,129.19921875
209.5,2,-4,20.429361875067976,150.732421875
212.0,3,-4,23.097283648621453,150.732421875
213.5,4,-4,23.579459922151663,150.732421875
216.0,3,-5,22.4289014669967,129.19921875
217.5,4,-5,23.845365618481047,129.19921875
218.0,3,-4,20.08049315676378,172.265625
219.0,4,-4,20.463290096056834,172.265625
220.0,5,-5,23.31520136511161,129.19921875
221.5,6,-5,23.34947133052036,129.19921875
222.0,5,-4,20.720773798199374,150.732421875
223.5,6,-5,22.338712104643253,129.19921875
224.0,7,-5,24.59103982714861,129.19921875
225.0,8,-5,24.800632807576626,129.19921875
226.0,7,-5,24.381449581284542,129.19921875
228.0,6,-5,22.559311697951607,129.19921875
229.0,7,-5,23.446585190782088,129.19921875
230.0,8,-5,23.668689747246297,129.19921875
232.0,7,-5,21.9532724125406,129.19921875
233.0,8,-5,22.514724168860244,129.19921875
234.0,9,-5,23.285448166938522,129.19921875
235.0,10,-5,23.572740052637858,129.19921875
236.0,9,-5,23.272386078740602,129.19921875
237.0,10,-5,23.272976800110477,129.19921875
238.0,9,-5,23.21667756906622,129.19921875
239.0,10,-5,24.42095009824111,129.19921875
240.0,9,-5,23.326127048494175,129.19921875
241.0,10,-5,24.724226930119503,129.19921875
242.0,9,-5,24.46898015380922,129.19921875
244.0,8,-5,22.224216101092903,129.19921875
245.0,9,-5,22.843144159746636,129.19921875
246.0,10,-5,23.196754902215545,129.19921875
248.0,9,-5,22.737620039249343,129.19921875
249.0,10,-5,22.983862892942494,129.19921875
250.0,11,-5,23.45537685207896,129.19921875
255.0,10,-4,21.167345995100227,236.865234375
255.5,11,-4,22.365805563549014,236.865234375
256.0,10,-5,21.61454800145796,129.19921875
258.0,9,-4,19.581289034412524,193.798828125
258.5,10,-5,19.584065243685302,129.19921875
259.0,11,-4,21.679788695036745,172.265625
260.0,10,-3,19.51569388892231,193.798828125
261.0,11,-4,21.228535541117534,150.732421875
262.0,10,-4,20.004231077571298,150.732421875
263.0,11,-3,20.831154050181485,172.265625
264.0,12,-4,20.89926515013028,150.732421875
266.0,13,-5,21.66826634211557,129.19921875
267.0,14,-4,22.333094514156407,172.265625
268.0,13,-5,20.4864035801778,129.19921875
268.5,14,-5,23.64317560858549,129.19921875
270.0,13,-5,20.548587673016996,129.19921875
271.0,12,-4,19.914787187508075,236.865234375
272.0,13,-5,20.43112931566549,172.265625
272.5,14,-6,21.021669822343377,129.19921875
273.0,15,-5,21.63565976405472,193.798828125
274.0,14,-6,20.19332212295255,172.265625
275.0,15,-6,21.546378453314578,172.265625
276.0,14,-5,19.176354289335535,193.798828125
277.0,15,-6,21.467068787926543,150.732421875
278.0,14,-6,20.06698210843879,150.732421875
279.0,15,-5,20.42141666650213,172.265625
280.0,16,-5,21.49199982033705,172.265625
282.0,15,-5,20.680133390939552,172.265625
283.0,16,-5,21.67381881049838,172.265625
284.0,15,-4,18.608125848688818,258.3984375
284.5,16,-5,22.15389722979517,129.19921875
286.0,15,-4,20.411367165666103,150.732421875
287.0,16,-3,21.88712280822592,236.865234375
288.0,15,-4,21.47941721474141,193.798828125
292.5,16,-5,22.02570732235516,129.19921875
296.5,17,-4,22.432017563648348,150.732421875
298.5,18,-5,22.594517845670662,129.19921875
300.5,17,-4,22.419414215760398,150.732421875
302.5,18,-5,22.944792939649652,129.19921875
304.5,17,-5,22.75914961046253,129.19921875
306.0,16,-4,21.010150378819837,150.732421875
306.5,17,-5,21.399390565504213,129.19921875
307.5,18,-5,21.94500443153951,129.19921875
308.0,17,-4,19.89925386605591,150.732421875
310.0,18,-3,20.80584033674816,236.865234375
311.0,19,-4,22.078021973095595,215.33203125
312.0,20,-5,25.066184431828574,129.19921875
314.0,19,-5,24.150156509714517,129.19921875
315.0,18,-5,23.51980275764894,129.19921875
316.0,19,-5,24.069572198057166,129.19921875
318.0,20,-5,24.427892584083693,129.19921875
319.0,19,-5,23.526447713708045,129.19921875
320.0,20,-5,24.360665349996395,129.19921875
322.0,21,-5,24.485466596044926,129.19921875
324.0,22,-5,24.762510183252914,129.19921875
325.0,21,-5,23.828227372086094,129.19921875
326.0,22,-5,24.810735634282647,129.19921875
327.0,21,-5,24.16711372600472,129.19921875
328.0,22,-5,24.277347400061004,129.19921875
329.0,21,-5,24.23536177766185,129.19921875
330.0,22,-5,24.522168665540462,129.19921875
331.0,21,-5,23.603598635220848,129.19921875
332.0,22,-5,24.729576404044728,129.19921875
333.0,21,-5,23.900283876569993,129.19921875
334.0,22,-5,24.41131095071661,129.19921875
335.0,21,-5,23.952147359663577,129.19921875
336.0,22,-5,24.4819685570619,129.19921875
337.0,21,-5,24.05447695680206,129.19921875
338.0,22,-5,24.614834785353263,129.19921875
339.0,21,-5,23.7890748105819,129.19921875
340.0,22,-5,24.697699323623944,129.19921875
342.0,23,-5,25.063280615958902,129.19921875
344.0,22,-5,24.129332026359243,129.19921875
345.0,21,-5,22.97279325462255,129.19921875
346.0,22,-5,24.332611146444954,129.19921875
348.0,23,-5,24.513040227229467,129.19921875
349.0,22,-5,23.655196407789308,129.19921875
350.0,23,-5,24.593388942045983,129.19921875
351.0,22,-5,23.51897949438015,129.19921875
352.0,23,-5,24.218673959604672,129.19921875
353.0,22,-5,23.744793957194727,129.19921875
354.0,23,-5,24.05472802527969,129.19921875
355.0,22,-5,23.82395592669983,129.19921875
356.0,23,-5,24.584578138183275,129.19921875
357.0,22,-5,23.82701176438358,129.19921875
358.0,23,-5,24.81729230245866,129.19921875
360.0,22,-5,23.945145646443567,129.19921875
362.0,23,-5,24.28629756698065,129.19921875
364.0,24,-5,24.43537045902722,129.19921875
365.0,23,-5,23.51348539146241,129.19921875
366.0,24,-5,24.229169110441028,129.19921875
367.0,23,-5,23.47690557400381,129.19921875
368.0,24,-5,24.25219898849264,129.19921875
370.0,23,-5,24.23131813963686,129.19921875
372.0,24,-5,24.744790736524354,129.19921875
374.0,25,-5,24.921927001216066,129.19921875
386.0,24,-4,3.8570591049761487,150.732421875
386.5,25,-3,5.670478932334531,236.865234375
391.0,26,-4,6.417693542764754,193.798828125
