Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,19.336261103385034,215.33203125
2.0,-1,-1,15.735045157335845,150.732421875
3.0,0,0,16.375614746977405,236.865234375
4.0,-1,1,16.00153662919992,258.3984375
8.5,-2,1,15.030384770420017,258.3984375
11.5,-1,1,16.274789506510263,258.3984375
12.0,0,1,16.780001118090834,258.3984375
13.0,-1,1,15.949472938226183,258.3984375
15.5,0,0,18.916418119771624,215.33203125
16.0,1,1,19.18947887174721,258.3984375
18.0,2,0,20.010816321780844,236.865234375
18.5,3,1,20.69385227252182,258.3984375
20.0,2,0,16.626237546682127,215.33203125
20.5,3,0,20.33199780319577,215.33203125
22.0,2,0,19.185641549903927,215.33203125
22.5,3,1,19.23258934366639,258.3984375
23.5,2,0,17.889000181416048,215.33203125
24.0,3,0,18.068753569546327,215.33203125
26.0,2,0,17.13346428192561,215.33203125
26.5,3,0,18.581861390879517,215.33203125
28.0,2,0,16.654064275498385,215.33203125
32.5,3,-1,20.37786612418962,150.732421875
36.0,4,-1,22.68445633273651,150.732421875
38.0,3,0,19.523744998283156,215.33203125
39.0,4,-1,21.60221757367049,150.732421875
40.0,3,0,19.514194161879686,172.265625
40.5,4,0,20.6576474908763,172.265625
46.5,3,-1,20.600028669608452,129.19921875
47.0,4,-1,21.172295821406195,129.19921875
49.0,3,0,20.726361877420366,236.865234375
50.0,2,-1,20.270997388728517,150.732421875
50.5,3,-2,20.323613374251664,129.19921875
51.5,4,-1,20.969304695416856,150.732421875
52.0,5,0,21.61597402693911,215.33203125
54.0,6,1,22.37723927237624,258.3984375
55.5,5,0,19.342738496964177,215.33203125
56.0,6,0,19.968252261701736,215.33203125
57.5,7,-1,20.5803285175109,172.265625
58.0,8,-1,21.11038268148022,172.265625
62.0,7,-2,18.71724489710846,129.19921875
69.0,8,-1,21.471922480857437,258.3984375
70.0,9,-1,22.00528930501187,258.3984375
71.0,10,-1,23.264175844303324,258.3984375
72.0,11,-1,25.054476400342583,258.3984375
73.0,12,-1,25.744219190964387,258.3984375
74.0,11,-1,24.96864655671843,258.3984375
75.0,10,-1,24.787781290321135,258.3984375
76.0,9,-2,23.97568785411282,236.865234375
77.0,10,-2,24.68916845038064,236.865234375
78.0,9,-2,24.626191629696454,236.865234375
79.0,8,-2,21.802977230650153,236.865234375
79.5,9,-1,22.238332717530444,258.3984375
80.0,8,-1,20.848958291890455,258.3984375
82.5,7,-1,14.832386812408789,258.3984375
84.0,8,-2,14.915955356592361,215.33203125
89.5,9,-1,15.381870010095112,258.3984375
90.0,8,-1,14.153417293692696,258.3984375
90.5,9,-1,15.272196325848968,258.3984375
91.0,10,-1,15.354331067420357,258.3984375
91.5,11,-1,17.194209219732095,258.3984375
95.0,10,-2,13.851235781292212,150.732421875
95.5,11,-2,18.85206700109131,150.732421875
96.0,10,-1,18.725705091529875,193.798828125
97.0,11,-1,19.152972266521147,193.798828125
98.0,10,0,14.62041310211947,215.33203125
98.5,11,0,17.513987374429007,215.33203125
99.5,12,0,17.605469469073725,215.33203125
100.0,11,0,17.43737271041667,215.33203125
103.0,10,-1,14.000451508692118,172.265625
103.5,11,-2,16.918070011748792,129.19921875
104.0,12,-1,18.31458731342445,172.265625
105.0,13,-1,19.244537667135678,172.265625
105.5,14,0,22.1541815816917,215.33203125
106.0,13,-1,16.073095237953158,193.798828125
106.5,14,-1,19.827293804780773,193.798828125
107.5,15,-1,19.877889954889994,193.798828125
108.0,14,0,18.91102810623166,258.3984375
110.0,15,-1,26.94788268895779,215.33203125
112.0,14,-2,19.81367411615763,150.732421875
113.0,15,-3,25.452812310625173,129.19921875
113.5,16,-3,26.121019876697193,129.19921875
114.0,15,-2,20.136157042945197,215.33203125
115.0,16,-2,20.317673665558562,215.33203125
116.0,15,-2,20.070017183505637,215.33203125
118.5,14,-3,17.734934184132566,129.19921875
119.0,15,-2,18.910539502377482,215.33203125
120.0,16,-2,19.06389207443421,215.33203125
120.5,17,-3,19.352614414690542,172.265625
121.0,18,-2,19.619986721934414,236.865234375
122.0,17,-1,18.203552517746285,258.3984375
123.0,18,-1,19.20497751344925,258.3984375
124.0,17,-1,18.136064864521167,258.3984375
128.5,18,-2,24.82428636690411,172.265625
130.0,17,-1,18.112081633456896,215.33203125
130.5,18,-1,18.93986082053638,215.33203125
131.0,19,-1,19.435886816378385,215.33203125
132.0,18,-2,13.708507860315729,150.732421875
134.5,19,-2,14.491168116465587,150.732421875
135.0,20,-1,16.49077578023264,172.265625
135.5,21,-1,18.32158126246078,172.265625
136.0,20,0,14.80914185110056,193.798828125
137.5,21,0,15.880801395330014,193.798828125
138.0,22,0,16.34496534217383,193.798828125
138.5,23,0,18.254805506948,193.798828125
139.0,24,-1,18.839955407303123,172.265625
139.5,25,0,19.223904544680007,193.798828125
140.0,24,-1,16.13775525433205,172.265625
140.5,25,0,16.41878570735301,258.3984375
141.5,26,-1,25.401715639066857,236.865234375
142.0,25,-2,23.059890041812427,193.798828125
144.0,24,-1,16.337046999997916,215.33203125
144.5,25,-2,25.78141986443077,129.19921875
145.0,26,-2,25.88755934183567,129.19921875
146.0,25,-1,20.028994557633922,215.33203125
147.0,26,-1,20.123742278109592,215.33203125
148.0,25,-2,15.614388247285504,193.798828125
150.0,26,-3,22.27456462058899,129.19921875
152.0,25,-2,15.892294334650504,193.798828125
153.0,26,-3,20.123803011050413,129.19921875
154.0,25,-2,17.887307882320258,258.3984375
154.5,26,-3,18.41007748905428,193.798828125
155.0,27,-3,20.94747422239625,193.798828125
156.5,28,-3,25.31206472510494,193.798828125
157.0,29,-4,25.316089039741424,150.732421875
158.0,28,-5,17.453171699452007,129.19921875
159.5,29,-4,25.496851921365252,193.798828125
160.5,28,-5,22.230801190581325,129.19921875
162.0,27,-4,16.86317941113169,236.865234375
162.5,28,-4,17.004711276103222,236.865234375
163.0,29,-4,17.265548501694866,236.865234375
165.5,30,-3,18.203563394591026,258.3984375
166.0,29,-4,16.34143196897481,215.33203125
166.5,30,-5,16.870703100161233,172.265625
167.5,31,-5,19.44903825017326,172.265625
169.0,30,-4,16.731920597908797,258.3984375
169.5,31,-5,18.740601978068952,129.19921875
170.0,32,-5,19.38764322926608,129.19921875
172.0,31,-4,17.18450345428383,258.3984375
173.5,30,-4,16.76175705026447,258.3984375
174.0,29,-5,14.805865484307763,215.33203125
174.5,30,-6,18.001908663526144,150.732421875
175.0,31,-7,18.676333417001544,129.19921875
176.0,32,-6,20.408189145238275,215.33203125
176.5,33,-6,22.188033952905734,215.33203125
178.0,32,-7,16.95579381541998,129.19921875
179.0,33,-6,17.419865099911405,215.33203125
180.0,32,-5,17.276843122149966,258.3984375
181.5,33,-6,24.731597411216658,129.19921875
182.0,32,-5,16.27834069219523,172.265625
