Position,Energy,Frequency
0.0,0,0
0.5,-1,0
1.0,0,1
1.5,-1,0
2.25,-2,1
2.5,-1,0
3.0,0,0
4.0,-1,0
4.5,-2,-1
5.5,-1,-2
6.0,-2,-1
6.5,-3,0
7.0,-4,1
7.5,-3,0
8.0,-2,0
8.5,-1,0
10.0,-2,1
10.5,-1,0
11.0,-2,1
11.5,-1,2
11.75,-2,2
15.0,-1,1
15.5,-2,1
16.0,-1,2
16.5,-2,2
17.0,-1,2
18.0,0,2
18.5,-1,3
19.0,-2,2
19.5,-1,1
22.0,0,1
22.5,-1,1
24.0,-2,2
26.5,-1,3
27.0,0,2
31.5,1,1
32.5,2,2
33.0,1,1
35.0,2,0
35.5,1,0
37.0,0,0
39.5,-1,-1
39.75,0,0
41.0,1,-1
47.5,2,-1
48.5,1,0
49.0,2,-1
54.75,1,0
55.0,2,0
55.25,3,-1
55.5,2,0
56.0,3,-1
57.0,4,-1
57.5,5,-1
59.5,4,-1
60.75,3,-1
61.0,4,-1
61.25,3,0
61.5,4,-1
63.5,3,0
63.75,4,-1
65.0,3,-2
66.0,2,-1
69.0,3,-2
69.5,4,-2
70.5,3,-3
72.5,2,-2
73.0,1,-3
73.25,2,-2
73.5,3,-1
74.0,4,-2
74.5,5,-1
75.0,4,0
75.5,5,1
77.0,6,0
77.5,5,0
78.0,4,0
78.5,5,0
79.0,6,0
80.5,5,0
81.0,6,0
81.25,5,0
81.75,4,1
83.0,5,0
83.5,6,-1
84.25,7,0
86.0,8,-1
87.0,7,0
88.0,8,-1
88.5,9,-1
89.0,10,-1
89.5,9,-2
90.5,10,-1
91.0,9,-2
92.5,8,-2
93.0,9,-3
93.5,10,-3
94.0,9,-3
94.5,8,-2
95.0,7,-1
95.25,8,-2
95.5,7,-2
96.0,6,-1
96.5,7,0
100.0,6,-1
100.5,7,-1
101.5,6,-1
103.25,5,0
103.5,6,-1
103.75,7,-1
104.0,8,-1
104.5,7,-1
105.0,6,0
105.5,7,-1
107.5,6,0
107.75,7,1
109.0,8,0
111.25,7,-1
111.5,8,-1
111.75,7,-2
112.5,8,-3
113.5,9,-3
114.75,8,-3
115.25,7,-2
115.5,8,-3
119.5,7,-4
119.75,6,-3
120.5,7,-2
121.5,8,-3
123.75,7,-2
126.5,8,-3
129.5,7,-2
130.0,8,-3
134.5,7,-2
135.5,6,-3
135.75,7,-4
138.0,6,-3
140.0,7,-4
141.0,8,-5
141.5,7,-6
142.0,8,-5
142.5,9,-5
143.0,10,-6
143.5,9,-5
144.0,10,-6
144.5,9,-7
145.0,8,-8
149.0,9,-7
150.5,10,-8
153.75,9,-7
154.5,10,-8
154.75,9,-7
155.0,10,-8
157.0,11,-7
158.5,12,-8
160.0,13,-9
160.5,12,-8
161.0,13,-7
167.0,12,-8
167.25,13,-7
167.5,12,-7
167.75,11,-6
168.5,12,-7
170.0,11,-6
170.5,12,-7
172.5,11,-8
173.0,12,-9
173.25,13,-8
175.0,12,-9
175.25,13,-9
178.5,14,-9
180.5,13,-8
180.75,14,-9
181.0,13,-8
181.25,12,-9
181.5,13,-8
182.0,12,-7
182.5,11,-8
183.5,10,-9
184.0,11,-10
185.0,10,-10
188.0,9,-9
188.5,8,-9
189.0,9,-8
190.5,10,-9
190.75,9,-9
192.0,10,-8
192.75,9,-9
193.0,10,-9
193.25,9,-8
195.0,8,-9
197.0,7,-8
198.5,8,-9
199.0,7,-8
199.5,8,-9
203.5,9,-10
207.5,8,-9
208.0,7,-10
208.5,8,-10
208.75,9,-9
211.5,10,-10
212.0,9,-9
214.5,10,-10
215.5,11,-11
216.0,12,-10
220.25,13,-11
220.5,12,-10
222.0,13,-11
222.25,14,-10
224.0,13,-11
228.25,14,-12
229.0,13,-11
230.25,14,-12
231.0,13,-11
231.25,12,-12
231.5,13,-13
231.75,12,-12
234.0,13,-13
234.5,12,-13
236.0,13,-12
236.25,12,-11
236.5,13,-12
239.5,12,-11
240.0,13,-12
240.5,12,-13
241.0,13,-14
241.5,14,-13
242.5,15,-12
243.5,14,-13
245.0,13,-14
247.0,12,-13
247.5,13,-14
248.5,14,-14
249.0,13,-13
249.5,12,-12
250.0,11,-13
250.5,12,-12
251.0,11,-13
251.5,12,-13
252.5,13,-14
253.0,14,-14
253.5,15,-14
253.75,14,-13
254.0,13,-14
254.5,14,-14
256.5,13,-14
257.5,14,-15
258.5,15,-14
259.0,14,-15
259.25,15,-14
260.0,14,-15
260.5,15,-14
263.5,14,-15
264.0,15,-14
264.5,16,-15
265.0,15,-16
266.5,16,-15
267.0,15,-14
267.25,14,-13
267.5,15,-14
269.5,16,-15
271.5,15,-14
271.75,14,-15
273.5,15,-14
273.75,14,-13
279.0,15,-14
279.5,16,-14
279.75,15,-14
280.0,16,-15
280.5,15,-14
281.0,14,-13
282.5,15,-14
285.5,16,-15
287.0,15,-14
287.25,14,-15
287.5,15,-16
288.5,16,-15
290.25,15,-14
290.5,16,-15
292.5,15,-16
292.75,14,-15
295.25,15,-16
296.0,14,-15
296.25,15,-14
298.5,16,-15
298.75,15,-14
299.5,14,-15
299.75,15,-16
302.5,16,-16
303.5,15,-15
306.0,16,-16
310.25,15,-17
310.5,14,-17
311.5,13,-16
312.5,14,-17
314.0,15,-18
316.0,14,-19
317.5,15,-18
318.5,14,-17
319.0,15,-18
319.5,14,-18
320.0,15,-19
320.5,16,-18
320.75,15,-17
323.5,16,-16
324.5,15,-17
325.0,16,-16
331.0,17,-17
332.5,18,-18
333.0,17,-17
334.5,18,-18
336.0,17,-17
336.5,16,-18
337.0,17,-17
338.0,16,-18
338.5,15,-17
341.0,14,-18
343.5,15,-17
346.0,14,-18
348.0,13,-19
348.5,12,-18
349.25,13,-19
349.5,12,-18
350.0,11,-19
351.0,10,-20
351.25,9,-21
351.5,10,-20
352.0,11,-20
352.5,10,-19
353.0,11,-19
353.5,10,-20
354.0,11,-21
354.5,12,-21
355.5,13,-22
356.0,12,-21
356.5,13,-20
357.5,14,-21
358.0,13,-21
360.5,12,-20
361.0,11,-19
361.5,10,-18
363.0,9,-19
364.5,10,-20
365.0,11,-19
365.5,10,-18
366.0,9,-19
368.75,10,-20
369.0,9,-19
369.25,8,-19
373.0,7,-18
374.5,6,-19
375.5,7,-19
376.5,6,-18
378.0,5,-19
378.5,6,-18
379.5,5,-17
379.75,6,-16
380.5,7,-17
381.5,6,-16
382.0,7,-17
382.5,6,-18
384.0,5,-18
384.5,6,-17
385.0,7,-18
385.5,8,-17
385.75,7,-16
386.0,8,-17
387.0,9,-17
388.5,8,-16
389.0,7,-15
389.25,8,-14
389.5,7,-15
389.75,8,-14
391.0,7,-13
391.5,8,-14
392.5,7,-13
393.5,6,-14
394.0,5,-13
395.0,6,-12
395.75,5,-13
396.5,6,-12
