Position,Energy,Frequency
2.25,0,0
3.0,-1,1
7.5,0,2
8.0,-1,1
8.25,-2,0
8.5,-1,0
13.0,0,1
13.25,-1,2
13.75,0,3
14.5,-1,4
15.0,0,3
18.0,1,4
18.5,2,4
19.5,1,3
23.25,2,4
23.5,1,5
24.0,0,4
24.25,1,3
24.5,0,4
25.5,-1,3
27.0,0,4
28.75,-1,5
30.0,0,4
30.5,1,3
31.5,0,4
32.0,1,3
32.25,0,4
32.75,1,5
33.0,0,6
33.5,1,5
33.75,0,4
34.0,1,5
37.5,0,4
38.5,1,4
40.25,2,5
41.5,1,5
41.75,0,4
42.5,1,4
44.75,2,5
46.25,1,6
46.5,2,6
46.75,3,7
49.5,4,6
53.5,3,7
55.75,4,6
57.75,3,7
58.25,2,6
59.5,3,6
60.0,2,5
60.25,1,6
67.0,2,5
68.0,3,6
70.25,4,5
71.25,5,5
74.0,4,6
75.75,5,5
77.5,6,6
77.75,5,7
78.5,6,6
79.0,7,5
79.25,6,6
79.5,5,5
81.5,4,6
82.5,5,5
82.75,6,6
84.0,5,5
84.25,6,6
84.5,7,5
84.75,6,6
85.0,7,5
85.25,8,6
85.5,9,6
85.75,8,7
86.0,9,6
86.25,10,7
86.5,9,8
86.75,8,7
87.0,9,8
87.25,8,9
89.0,9,8
89.25,10,9
89.5,9,8
90.75,10,7
91.5,11,8
92.0,10,7
92.25,11,6
92.5,10,5
92.75,11,6
93.0,10,7
93.25,11,8
93.5,12,7
93.75,11,7
94.0,10,7
94.25,11,8
94.5,12,7
94.75,13,6
95.0,12,5
95.25,11,6
95.5,12,5
96.5,11,6
97.25,12,7
97.5,13,6
97.75,12,7
100.25,13,6
100.5,12,7
100.75,11,6
101.75,12,5
103.5,13,4
104.5,12,5
104.75,13,6
105.25,12,7
105.75,11,6
107.5,12,5
107.75,13,5
108.25,12,6
108.5,13,5
108.75,14,4
109.0,15,5
109.5,14,4
109.75,15,5
111.5,16,4
111.75,17,3
112.5,18,2
113.25,17,3
113.5,18,2
113.75,19,2
115.75,18,3
116.25,17,4
116.5,18,5
116.75,17,4
117.0,18,5
117.75,17,4
118.5,16,5
118.75,17,5
119.0,18,5
119.25,17,6
119.5,18,5
119.75,17,6
120.5,18,5
120.75,17,6
121.25,18,5
123.5,17,6
124.25,18,5
124.5,17,6
124.75,18,5
125.25,19,6
125.5,18,5
125.75,19,4
126.25,18,5
126.5,19,4
126.75,18,3
127.0,17,4
127.25,18,5
128.5,17,4
128.75,16,5
129.5,17,4
132.75,16,5
133.75,17,6
135.5,16,7
136.5,17,6
136.75,18,5
137.25,19,4
137.5,18,5
139.5,17,6
140.25,18,5
140.5,19,4
141.5,18,3
144.5,19,3
144.75,18,4
145.5,17,3
148.25,18,4
148.5,17,3
148.75,18,4
149.75,17,5
150.25,16,4
150.75,17,5
151.5,18,4
152.75,19,5
153.25,20,6
155.5,19,7
155.75,20,6
156.25,19,7
156.5,18,6
156.75,19,6
157.5,20,7
158.0,19,8
158.25,20,9
159.5,19,10
160.0,18,11
160.25,17,10
160.5,18,10
160.75,17,11
161.0,18,10
166.75,17,9
167.0,18,10
167.5,19,11
167.75,18,10
168.25,17,11
168.5,18,10
169.0,19,11
174.0,18,10
176.25,17,11
179.25,16,12
181.0,17,11
183.0,16,12
183.25,15,13
183.5,16,14
183.75,17,15
185.0,16,14
187.0,17,15
190.0,18,14
190.75,17,15
191.0,16,16
191.25,17,17
191.5,16,18
191.75,15,17
192.0,16,18
192.25,17,17
192.5,18,16
193.25,17,16
193.5,16,17
194.0,17,16
199.75,18,17
200.75,17,18
204.75,16,17
206.75,15,16
207.0,16,16
207.25,15,17
207.5,14,18
208.0,15,17
208.75,16,16
212.75,15,15
213.5,14,15
215.5,15,16
217.5,16,15
218.0,17,15
219.25,18,16
219.5,17,15
221.5,18,16
222.75,17,17
223.25,18,18
223.5,17,17
224.25,16,18
225.5,17,17
226.5,16,18
227.25,15,17
229.5,14,16
231.5,15,15
232.75,16,16
233.0,15,15
237.5,14,14
238.75,13,14
240.75,12,15
241.5,11,16
242.5,12,15
243.25,13,15
244.75,12,16
247.5,13,17
247.75,12,17
248.75,11,16
251.25,12,15
252.75,11,16
253.75,12,15
255.5,11,16
257.5,12,15
258.5,11,16
259.5,12,15
260.0,11,16
266.5,12,15
267.0,11,16
271.0,12,15
271.25,11,16
271.5,12,15
271.75,13,15
272.0,12,14
272.25,13,13
272.5,14,13
275.0,15,14
276.0,14,13
276.25,13,12
277.0,14,11
277.25,13,10
277.75,12,10
278.0,13,11
282.0,14,12
283.5,13,11
287.25,12,12
288.25,13,13
295.5,12,12
295.75,13,13
299.0,14,12
301.0,13,13
303.0,14,12
303.25,13,13
304.0,14,12
305.25,13,12
306.0,14,13
309.5,13,13
309.75,12,12
311.0,13,13
311.25,12,14
311.5,13,15
312.0,14,14
313.5,13,15
313.75,14,14
315.25,15,13
316.0,14,14
316.5,15,15
318.0,14,14
318.25,15,13
318.5,14,14
318.75,13,13
319.0,14,12
319.25,13,13
320.5,14,12
321.25,13,11
321.5,12,12
322.5,13,11
323.5,12,10
323.75,13,11
324.0,12,10
324.25,13,9
324.5,12,10
324.75,13,11
325.0,12,10
325.5,13,11
325.75,12,10
326.0,13,9
326.25,12,10
326.5,13,9
326.75,14,8
327.0,13,9
327.25,14,9
327.5,15,8
328.5,14,9
329.25,15,10
329.5,16,9
329.75,15,10
332.25,16,10
332.5,15,11
332.75,16,10
333.75,15,9
334.25,14,10
335.5,15,9
335.75,14,10
337.25,15,9
339.5,16,10
339.75,17,10
340.25,16,10
340.5,17,11
340.75,18,10
341.5,17,11
343.5,18,10
343.75,17,11
344.5,18,10
345.25,17,11
345.5,18,10
345.75,19,10
347.75,18,11
348.25,17,12
348.5,18,13
348.75,17,12
349.75,16,11
351.0,17,12
351.25,16,13
351.5,17,12
351.75,16,13
352.5,17,12
352.75,16,13
353.25,17,12
353.5,16,11
355.5,17,12
355.75,18,13
356.25,17,12
356.5,16,13
356.75,17,12
357.25,16,13
357.5,17,12
357.75,18,11
358.25,17,12
358.5,18,11
358.75,17,11
359.0,18,10
359.25,19,11
360.5,18,10
360.75,17,11
361.5,18,10
362.25,17,11
364.75,16,10
365.75,17,11
367.5,16,10
368.5,15,11
368.75,16,12
369.25,17,11
369.5,16,12
371.5,15,11
372.25,16,12
372.5,15,12
372.75,14,11
373.5,15,10
375.25,14,11
375.75,15,12
376.5,16,11
377.5,15,11
380.25,16,12
380.5,15,11
380.75,16,12
382.25,15,13
383.5,16,12
384.5,17,12
385.25,16,13
387.5,15,14
387.75,16,13
388.25,15,14
388.5,16,13
388.75,17,12
389.5,18,13
390.0,17,14
390.25,16,15
391.25,17,14
391.5,18,15
391.75,19,14
392.0,18,13
396.0,17,12
