Position,Energy,Frequency
1.0,0,0
2.0,-1,-1
8.0,0,-2
9.0,1,-1
10.0,0,-1
12.0,-1,-1
13.0,0,-1
14.0,-1,0
15.0,-2,-1
20.0,-1,-2
22.0,0,-1
23.0,-1,0
25.0,0,0
26.0,1,-1
27.0,0,0
28.0,-1,-1
29.0,0,-1
30.0,1,0
31.0,0,0
32.0,1,-1
33.0,0,0
34.0,1,-1
36.0,0,-1
39.0,-1,-2
40.0,0,-2
44.0,1,-3
45.0,0,-2
47.0,-1,-3
48.0,-2,-2
49.0,-1,-3
50.0,0,-3
53.0,-1,-3
54.0,0,-4
55.0,1,-4
56.0,0,-3
57.0,-1,-2
58.0,0,-3
59.0,-1,-2
60.0,-2,-3
61.0,-1,-3
62.0,-2,-2
63.0,-1,-3
64.0,0,-2
72.0,-1,-3
73.0,0,-2
74.0,-1,-3
76.0,0,-2
77.0,-1,-3
78.0,0,-2
79.0,-1,-3
86.0,0,-3
88.0,-1,-2
89.0,-2,-3
90.0,-1,-2
91.0,-2,-3
92.0,-1,-2
93.0,-2,-3
94.0,-1,-3
95.0,0,-2
96.0,-1,-2
97.0,-2,-3
98.0,-1,-2
99.0,0,-3
100.0,-1,-4
101.0,-2,-4
103.0,-1,-5
105.0,-2,-4
106.0,-1,-3
107.0,0,-4
108.0,-1,-5
110.0,0,-4
111.0,1,-3
119.0,2,-2
121.0,1,-3
122.0,2,-4
123.0,1,-3
124.0,2,-4
125.0,3,-5
126.0,2,-6
127.0,3,-5
128.0,2,-4
129.0,3,-5
130.0,4,-4
131.0,3,-5
132.0,4,-6
134.0,3,-7
135.0,2,-6
136.0,3,-7
137.0,4,-6
138.0,3,-6
139.0,4,-7
140.0,5,-7
141.0,4,-6
143.0,5,-7
144.0,6,-6
151.0,5,-7
152.0,4,-6
153.0,3,-5
154.0,4,-6
155.0,3,-6
157.0,4,-6
159.0,5,-5
161.0,4,-5
163.0,3,-4
164.0,4,-5
165.0,3,-5
166.0,4,-4
167.0,3,-5
168.0,4,-5
169.0,3,-6
170.0,4,-6
171.0,3,-7
172.0,4,-6
173.0,5,-7
174.0,4,-6
175.0,3,-5
176.0,4,-4
177.0,5,-5
178.0,6,-6
179.0,7,-5
181.0,6,-6
182.0,7,-5
183.0,8,-5
184.0,7,-4
185.0,8,-5
186.0,9,-4
187.0,8,-5
188.0,9,-6
189.0,10,-5
190.0,9,-6
191.0,10,-5
193.0,11,-4
194.0,12,-5
195.0,13,-5
196.0,14,-4
197.0,13,-4
199.0,14,-5
200.0,15,-4
201.0,14,-5
202.0,13,-5
203.0,12,-4
205.0,11,-5
206.0,12,-4
207.0,13,-3
209.0,12,-3
210.0,13,-2
211.0,14,-3
212.0,15,-2
213.0,14,-1
214.0,15,-2
215.0,16,-1
217.0,15,0
218.0,16,-1
219.0,17,-1
221.0,16,0
222.0,17,1
223.0,16,1
224.0,15,2
225.0,16,3
227.0,17,2
229.0,18,3
230.0,17,4
231.0,18,4
232.0,19,4
233.0,18,3
234.0,19,2
235.0,18,3
236.0,17,2
237.0,16,1
238.0,17,1
239.0,18,0
240.0,19,-1
241.0,18,0
242.0,17,1
244.0,18,0
245.0,19,1
247.0,18,0
249.0,19,-1
256.0,20,-2
257.0,19,-1
258.0,20,-2
259.0,19,-3
260.0,20,-2
261.0,19,-3
262.0,20,-4
263.0,19,-3
264.0,18,-2
265.0,19,-2
266.0,20,-3
267.0,19,-3
268.0,20,-3
269.0,19,-2
270.0,18,-3
271.0,19,-2
272.0,20,-3
273.0,19,-2
274.0,20,-3
275.0,19,-3
276.0,20,-4
278.0,21,-3
279.0,20,-4
280.0,21,-4
281.0,22,-5
282.0,21,-4
283.0,22,-5
284.0,21,-6
285.0,22,-6
286.0,21,-6
287.0,20,-6
288.0,21,-6
289.0,22,-6
290.0,21,-5
291.0,22,-4
292.0,23,-5
293.0,22,-4
294.0,21,-5
295.0,20,-4
296.0,21,-5
297.0,22,-4
299.0,21,-5
300.0,22,-6
301.0,21,-5
302.0,20,-6
303.0,21,-7
304.0,22,-7
305.0,21,-6
306.0,20,-7
307.0,21,-6
309.0,20,-7
310.0,21,-6
311.0,20,-5
312.0,19,-6
313.0,20,-5
314.0,19,-6
315.0,18,-7
316.0,19,-6
317.0,18,-5
318.0,19,-4
320.0,20,-5
321.0,21,-6
322.0,20,-7
323.0,21,-6
324.0,22,-7
325.0,21,-7
326.0,20,-8
327.0,21,-7
328.0,22,-7
329.0,21,-6
330.0,22,-6
331.0,23,-7
332.0,22,-6
333.0,21,-7
334.0,22,-6
335.0,21,-7
336.0,22,-6
337.0,23,-5
338.0,22,-5
339.0,23,-4
340.0,24,-4
341.0,23,-5
342.0,22,-4
343.0,21,-3
344.0,20,-4
345.0,19,-3
346.0,20,-4
347.0,19,-4
348.0,20,-4
349.0,19,-3
352.0,20,-3
353.0,19,-4
354.0,20,-3
355.0,21,-3
356.0,20,-4
357.0,19,-4
358.0,20,-5
359.0,19,-4
360.0,18,-5
361.0,19,-4
362.0,20,-4
363.0,19,-5
364.0,20,-6
366.0,19,-5
367.0,20,-4
370.0,19,-3
371.0,18,-2
372.0,19,-1
374.0,20,-2
375.0,21,-3
379.0,20,-2
380.0,21,-3
381.0,22,-2
386.0,23,-3
387.0,22,-2
388.0,21,-1
389.0,22,-2
390.0,23,-1
391.0,22,0
393.0,21,-1
399.0,20,-1
401.0,21,-2
402.0,22,-1
403.0,23,0
405.0,22,-1
407.0,23,-1
409.0,22,0
410.0,23,-1
411.0,22,-2
412.0,21,-1
413.0,20,-2
414.0,21,-3
417.0,20,-4
