Position,Energy,Frequency
13.75,0,0
15.0,1,-1
16.0,2,0
16.25,3,-1
16.5,2,-2
16.75,1,-1
17.0,0,0
20.25,-1,-1
21.0,0,0
22.5,-1,1
22.75,-2,0
24.0,-1,-1
24.25,0,0
24.5,-1,-1
24.75,-2,-2
25.0,-3,-1
29.0,-4,-2
29.25,-3,-3
31.0,-4,-2
31.25,-5,-3
32.0,-4,-2
32.25,-3,-3
32.5,-4,-4
32.75,-5,-3
33.0,-6,-2
36.25,-7,-3
37.0,-8,-2
37.25,-7,-3
38.5,-8,-2
38.75,-7,-3
40.0,-6,-2
40.25,-5,-3
40.5,-6,-4
40.75,-7,-3
41.0,-8,-2
45.0,-9,-1
45.25,-8,-2
47.0,-9,-1
47.25,-8,-2
48.0,-9,-1
48.25,-8,0
48.5,-7,1
48.75,-6,0
49.0,-7,1
49.25,-6,0
49.5,-7,1
49.75,-6,2
50.0,-5,1
50.25,-6,2
50.5,-5,1
50.75,-4,0
52.0,-3,-1
52.25,-2,0
52.5,-1,-1
52.75,-2,0
53.0,-3,-1
53.25,-2,0
53.5,-1,1
54.0,0,0
54.25,1,-1
55.0,0,-1
56.0,-1,-2
57.5,0,-1
62.25,1,0
64.0,0,-1
65.5,-1,0
66.75,0,-1
67.0,-1,-2
68.0,0,-1
68.25,1,0
68.5,2,-1
68.75,1,-2
69.0,0,-1
69.25,1,0
69.5,0,-1
69.75,1,0
70.0,2,-1
70.25,3,0
70.5,2,-1
70.75,3,0
71.0,2,-1
71.25,1,-2
71.5,0,-1
71.75,1,0
72.0,2,-1
72.25,1,0
72.5,2,-1
72.75,3,-2
73.0,2,-1
73.25,1,-2
73.5,2,-3
73.75,1,-2
74.0,2,-3
74.25,3,-4
74.5,4,-3
74.75,5,-4
75.0,4,-3
75.25,3,-4
75.5,2,-3
75.75,3,-2
76.25,2,-2
76.5,3,-3
76.75,2,-2
79.5,3,-3
79.75,2,-2
80.0,1,-3
80.5,2,-2
80.75,1,-1
81.0,2,-2
81.25,1,-3
81.5,0,-2
81.75,-1,-3
83.0,0,-2
83.75,-1,-1
84.0,0,0
84.25,1,-1
84.5,0,0
84.75,-1,1
85.0,-2,0
85.25,-1,1
85.5,-2,2
86.0,-1,1
86.5,-2,0
87.0,-1,-1
87.25,0,-2
87.5,1,-1
88.0,0,0
88.5,1,-1
89.0,0,-2
90.0,1,-1
90.75,0,0
91.0,1,-1
91.25,0,-2
91.5,1,-3
92.0,0,-2
92.25,-1,-1
92.5,0,-2
93.0,1,-1
94.0,2,-2
94.5,1,-1
95.0,2,-2
95.25,1,-1
96.0,0,-2
96.25,-1,-3
96.5,0,-2
96.75,-1,-3
97.0,0,-2
97.25,-1,-3
97.5,-2,-2
97.75,-1,-3
98.0,0,-2
98.5,-1,-1
98.75,0,-2
99.0,-1,-3
99.25,0,-2
99.5,1,-3
100.0,2,-4
100.25,3,-5
100.5,2,-6
100.75,1,-5
101.0,0,-6
101.25,-1,-7
101.5,0,-6
102.0,1,-6
103.0,0,-5
103.25,1,-6
104.0,0,-5
104.5,1,-6
105.0,0,-7
106.0,1,-6
106.75,0,-5
107.0,1,-6
107.25,0,-5
107.5,1,-6
108.0,0,-5
109.0,-1,-6
110.0,0,-5
111.0,-1,-6
111.25,-2,-7
111.5,-1,-6
117.0,0,-7
117.25,1,-8
117.5,0,-7
117.75,-1,-6
118.0,0,-7
118.25,-1,-6
118.5,0,-7
119.0,-1,-6
119.25,0,-7
119.5,1,-6
120.0,0,-7
120.5,1,-6
121.0,2,-7
121.5,1,-8
122.0,0,-7
122.5,-1,-6
122.75,-2,-7
123.0,-1,-6
123.25,-2,-7
123.5,-1,-8
124.0,-2,-7
124.25,-3,-6
124.5,-2,-7
125.0,-1,-8
126.0,-2,-7
127.0,-3,-8
127.25,-4,-7
127.5,-3,-6
128.0,-4,-7
128.25,-5,-6
128.5,-4,-5
128.75,-5,-4
129.0,-4,-3
129.25,-3,-4
129.5,-4,-5
129.75,-5,-4
130.0,-4,-5
130.5,-5,-6
130.75,-4,-5
131.0,-5,-4
131.25,-4,-3
131.5,-3,-4
132.0,-4,-3
132.25,-3,-2
132.5,-4,-3
132.75,-3,-2
133.0,-4,-3
133.25,-5,-2
133.5,-6,-1
134.0,-5,-2
136.0,-6,-3
136.25,-5,-2
136.5,-6,-3
136.75,-7,-2
137.0,-6,-3
137.25,-7,-2
137.5,-6,-1
137.75,-7,-2
138.0,-6,-1
140.0,-5,-1
140.25,-6,-2
140.5,-5,-3
140.75,-6,-2
141.0,-7,-3
141.25,-8,-4
141.5,-7,-3
141.75,-8,-4
142.0,-7,-5
142.25,-8,-6
142.5,-7,-5
142.75,-6,-4
143.0,-7,-5
143.25,-6,-4
143.5,-5,-3
143.75,-6,-4
144.25,-5,-3
144.5,-6,-4
144.75,-5,-3
147.0,-4,-4
147.25,-5,-3
147.5,-4,-4
147.75,-5,-5
148.0,-6,-6
148.25,-5,-5
148.5,-6,-4
148.75,-7,-3
149.0,-8,-4
149.25,-7,-3
149.5,-8,-2
149.75,-9,-3
150.0,-8,-2
150.5,-9,-1
151.0,-10,-2
151.5,-11,-1
152.0,-12,-2
152.5,-11,-1
153.0,-10,-2
153.5,-9,-1
154.5,-10,0
155.0,-9,1
156.0,-8,0
156.5,-9,1
157.0,-10,2
157.5,-11,1
158.0,-10,0
158.5,-9,1
159.0,-10,0
159.5,-9,-1
160.5,-8,0
161.0,-9,1
161.5,-8,0
162.5,-9,-1
163.0,-8,0
163.25,-9,1
163.5,-8,0
164.0,-9,1
164.5,-8,2
165.0,-9,1
165.5,-10,2
166.0,-9,3
166.5,-10,3
167.0,-9,2
167.25,-10,3
167.5,-9,2
168.0,-10,3
168.5,-9,2
169.0,-8,1
169.5,-9,2
170.0,-8,2
170.5,-9,1
171.0,-8,2
171.25,-9,1
171.5,-10,0
172.0,-9,1
172.5,-8,0
173.0,-9,-1
173.5,-10,0
173.75,-9,-1
174.0,-8,0
174.5,-9,-1
175.0,-10,0
175.25,-11,-1
175.5,-10,0
175.75,-11,-1
176.0,-10,-2
176.25,-11,-1
176.5,-10,-2
176.75,-11,-1
177.0,-10,-2
177.5,-9,-1
177.75,-10,-2
178.0,-9,-3
180.0,-8,-2
180.25,-7,-3
180.5,-6,-2
180.75,-7,-1
181.0,-6,-2
181.25,-7,-3
181.5,-6,-2
181.75,-7,-3
182.0,-6,-2
182.25,-7,-1
182.5,-6,-2
182.75,-7,-1
183.0,-6,-2
183.25,-7,-3
183.5,-6,-2
183.75,-7,-1
184.0,-8,0
184.25,-7,-1
184.5,-6,0
184.75,-7,-1
185.0,-6,-2
185.25,-7,-1
185.5,-6,0
185.75,-7,1
186.0,-6,0
186.25,-7,-1
186.5,-6,-2
186.75,-7,-1
187.0,-6,-2
187.25,-5,-1
187.5,-6,-2
187.75,-7,-3
188.0,-6,-2
188.25,-5,-3
188.5,-6,-2
188.75,-7,-3
189.0,-8,-2
189.25,-7,-3
189.5,-6,-2
189.75,-7,-3
190.0,-6,-2
190.25,-7,-3
190.5,-6,-4
190.75,-7,-5
191.0,-6,-4
191.25,-7,-3
191.5,-6,-4
191.75,-5,-3
192.0,-6,-2
192.25,-7,-3
192.5,-6,-4
192.75,-7,-3
193.0,-6,-2
193.25,-7,-3
193.5,-6,-2
193.75,-7,-3
194.0,-6,-2
194.25,-7,-3
194.5,-6,-4
194.75,-7,-3
195.0,-8,-4
195.25,-7,-5
195.5,-6,-6
196.0,-5,-5
196.25,-4,-6
196.5,-5,-5
196.75,-6,-6
197.0,-5,-5
197.25,-4,-6
197.5,-5,-5
197.75,-6,-6
198.0,-7,-5
198.25,-6,-6
198.5,-5,-7
198.75,-6,-7
199.0,-5,-6
199.25,-6,-7
199.5,-5,-6
199.75,-4,-7
200.0,-5,-8
200.25,-4,-9
200.5,-3,-8
200.75,-4,-7
201.0,-3,-8
201.25,-4,-9
201.5,-3,-8
201.75,-2,-9
204.0,-3,-10
204.25,-2,-9
204.5,-3,-10
204.75,-4,-9
205.0,-3,-10
205.25,-4,-11
205.5,-5,-10
205.75,-4,-11
206.0,-3,-10
206.25,-4,-9
206.5,-3,-10
206.75,-2,-11
207.0,-3,-12
207.25,-2,-11
207.5,-3,-10
207.75,-4,-11
208.0,-3,-10
208.25,-4,-9
208.5,-5,-10
208.75,-4,-9
209.0,-5,-8
209.25,-6,-7
209.5,-5,-8
209.75,-4,-9
210.0,-5,-8
210.25,-6,-7
210.5,-5,-8
210.75,-4,-7
211.0,-5,-8
211.25,-4,-9
211.5,-3,-8
211.75,-4,-7
212.25,-5,-8
212.75,-4,-7
213.0,-5,-6
213.75,-4,-7
214.0,-5,-6
214.75,-4,-7
215.25,-5,-7
216.25,-6,-6
216.5,-5,-5
217.0,-6,-6
217.5,-5,-7
217.75,-6,-6
218.0,-7,-7
218.25,-6,-8
220.0,-7,-9
220.25,-6,-8
220.5,-5,-9
220.75,-6,-8
221.0,-5,-7
221.25,-6,-6
221.5,-5,-7
221.75,-4,-8
222.0,-5,-7
222.25,-6,-8
222.5,-5,-9
222.75,-4,-10
223.0,-5,-11
223.25,-6,-12
223.5,-5,-11
223.75,-6,-10
224.0,-5,-11
224.25,-6,-10
224.5,-7,-11
224.75,-6,-10
225.0,-7,-9
225.25,-6,-8
225.5,-5,-9
225.75,-6,-10
226.0,-5,-9
226.25,-4,-8
226.5,-5,-7
226.75,-6,-8
227.0,-5,-9
227.25,-4,-8
227.5,-5,-7
227.75,-6,-8
228.0,-7,-9
228.25,-6,-8
228.5,-7,-8
228.75,-6,-9
229.0,-7,-8
229.25,-8,-9
229.5,-9,-8
229.75,-8,-8
230.0,-7,-7
230.5,-8,-8
230.75,-9,-7
231.25,-8,-8
232.25,-9,-7
232.5,-8,-6
232.75,-9,-7
233.25,-8,-8
233.5,-9,-9
233.75,-10,-8
234.0,-9,-7
234.25,-10,-7
234.75,-11,-7
235.75,-12,-6
236.0,-11,-7
236.25,-10,-8
236.5,-9,-9
236.75,-10,-8
237.0,-11,-7
266.25,-10,-8
267.0,-9,-8
267.75,-10,-8
268.0,-11,-9
268.25,-10,-8
268.75,-11,-7
269.0,-10,-6
269.5,-11,-7
269.75,-10,-6
270.25,-9,-7
270.5,-10,-6
271.0,-11,-5
271.25,-10,-6
271.5,-11,-7
271.75,-12,-6
276.0,-13,-5
276.25,-12,-6
276.75,-13,-5
277.0,-12,-6
277.5,-13,-5
277.75,-12,-6
278.0,-11,-7
278.25,-12,-8
278.5,-11,-7
279.0,-12,-8
279.5,-11,-7
279.75,-12,-6
284.0,-13,-7
284.25,-12,-6
284.5,-11,-7
284.75,-12,-7
285.0,-13,-8
285.25,-12,-7
285.5,-13,-8
285.75,-12,-7
286.0,-11,-6
286.25,-12,-5
286.5,-13,-6
286.75,-12,-7
287.0,-13,-6
287.25,-14,-7
287.5,-15,-8
287.75,-14,-7
288.0,-15,-6
288.25,-14,-7
288.5,-15,-8
288.75,-14,-9
289.0,-13,-8
289.25,-14,-9
289.5,-13,-8
289.75,-14,-7
290.0,-15,-8
290.25,-14,-7
290.5,-13,-8
290.75,-14,-8
291.0,-15,-7
291.25,-16,-8
291.5,-17,-9
291.75,-16,-8
292.0,-17,-9
292.25,-16,-10
292.5,-17,-11
292.75,-18,-10
298.25,-17,-9
298.5,-16,-10
298.75,-17,-9
299.0,-18,-10
299.25,-19,-11
299.5,-18,-10
304.0,-19,-9
304.25,-18,-10
304.75,-19,-9
305.0,-18,-10
305.25,-19,-11
305.5,-20,-10
305.75,-19,-11
306.0,-20,-12
306.25,-21,-11
306.5,-20,-12
306.75,-21,-13
307.0,-20,-12
307.5,-21,-13
308.0,-20,-14
308.25,-19,-13
308.5,-20,-14
308.75,-21,-13
309.0,-20,-14
309.25,-21,-15
309.5,-20,-14
309.75,-21,-15
310.0,-20,-14
310.5,-19,-15
311.0,-20,-14
311.25,-19,-13
311.5,-18,-14
312.0,-19,-13
312.5,-18,-12
313.0,-19,-11
313.5,-18,-12
314.0,-19,-11
314.5,-18,-12
314.75,-19,-11
315.0,-20,-10
315.25,-19,-9
315.5,-18,-10
315.75,-17,-9
316.0,-18,-8
316.25,-17,-7
316.5,-16,-8
317.0,-17,-7
317.5,-16,-8
318.5,-17,-7
319.0,-18,-8
319.25,-17,-7
319.5,-16,-8
320.0,-17,-7
320.25,-16,-8
320.5,-15,-7
320.75,-16,-8
321.0,-15,-9
321.25,-16,-10
321.5,-15,-11
321.75,-16,-10
322.5,-15,-11
322.75,-14,-10
323.0,-15,-11
323.25,-16,-12
323.5,-15,-11
323.75,-16,-10
324.0,-15,-11
324.25,-14,-12
324.5,-15,-13
324.75,-16,-12
325.0,-15,-11
325.25,-14,-12
325.5,-13,-11
325.75,-14,-12
326.0,-13,-11
326.5,-12,-12
327.0,-13,-11
327.25,-12,-10
327.5,-13,-11
328.0,-14,-12
328.5,-13,-13
329.0,-14,-12
329.5,-13,-13
330.5,-14,-12
330.75,-15,-13
331.0,-16,-14
331.25,-15,-13
331.5,-14,-14
331.75,-15,-15
332.0,-16,-14
332.5,-15,-15
333.0,-16,-14
333.25,-17,-15
333.5,-16,-16
333.75,-17,-15
334.0,-16,-14
334.5,-15,-15
335.0,-16,-14
335.25,-17,-15
335.5,-16,-16
335.75,-17,-15
341.0,-16,-16
341.25,-15,-16
341.5,-14,-17
341.75,-13,-16
342.0,-12,-17
342.25,-13,-16
342.5,-12,-17
343.0,-13,-16
343.25,-14,-15
344.0,-15,-16
344.25,-16,-15
344.5,-15,-16
345.0,-14,-17
345.5,-15,-18
346.0,-14,-17
347.0,-15,-16
347.5,-14,-17
348.0,-13,-16
348.25,-12,-17
348.5,-13,-18
348.75,-14,-17
349.0,-13,-18
349.25,-14,-17
352.25,-15,-16
352.5,-14,-17
353.0,-13,-16
353.5,-14,-17
353.75,-15,-16
356.0,-14,-15
356.25,-13,-16
356.5,-14,-17
356.75,-15,-16
357.0,-14,-17
357.25,-15,-16
357.5,-14,-15
357.75,-15,-16
358.0,-14,-15
358.25,-15,-14
360.0,-14,-14
360.25,-13,-15
360.5,-14,-16
360.75,-15,-15
361.0,-16,-14
361.25,-17,-15
361.5,-16,-14
361.75,-17,-13
362.0,-16,-14
362.25,-17,-15
364.0,-16,-14
364.25,-15,-15
364.5,-16,-14
