Position,Energy,Frequency
0.0,0,0
7.0,-1,1
9.5,0,0
13.0,-1,-1
17.5,-2,-1
23.0,-3,0
23.5,-2,0
24.5,-3,-1
26.5,-4,-1
30.0,-5,0
32.0,-6,-1
33.5,-7,0
34.5,-6,-1
36.0,-5,0
37.5,-4,0
40.5,-5,0
41.0,-4,-1
43.0,-3,-1
44.5,-4,0
45.5,-5,1
47.0,-4,0
47.5,-3,1
54.0,-2,0
55.5,-1,0
57.0,-2,0
57.5,-1,-1
59.0,-2,-1
61.5,-1,-2
62.0,0,-2
63.0,-1,-1
63.5,0,-2
64.0,1,-1
72.0,0,-1
78.5,-1,0
80.0,0,-1
88.0,-1,-1
95.5,-2,0
96.5,-3,0
99.5,-2,-1
104.5,-1,-1
105.5,-2,-1
106.5,-3,-1
107.5,-2,0
108.5,-1,-1
109.5,-2,-1
110.5,-1,-1
112.0,0,0
113.0,1,0
128.0,2,0
130.0,1,0
131.0,0,-1
132.0,1,-1
133.0,2,-1
134.0,3,-1
135.0,2,-1
136.0,3,-1
137.0,4,-1
138.0,5,0
139.0,4,-1
140.0,5,-1
141.0,4,-1
142.0,5,-1
143.0,6,-1
144.0,5,0
145.0,4,-1
146.0,3,-1
147.0,2,-1
148.0,3,-1
149.0,2,-1
150.0,3,-1
151.0,2,-1
152.0,3,-1
153.0,2,-1
154.0,3,-1
155.0,2,-1
156.5,1,-1
157.5,2,-1
158.5,1,-1
159.5,0,-1
160.0,1,0
164.0,0,0
165.5,1,0
167.5,0,1
168.0,1,1
172.0,2,0
173.5,1,0
176.0,2,0
177.0,1,-1
178.5,0,0
179.0,1,1
181.0,0,2
181.5,1,1
182.5,0,2
183.0,1,2
184.0,2,1
187.0,1,2
189.0,2,1
192.0,3,0
196.0,2,1
197.5,3,1
200.0,2,2
204.0,3,1
205.5,4,1
208.0,5,0
212.0,4,1
213.5,5,1
216.0,4,1
217.5,5,0
219.0,4,1
220.0,5,0
221.5,4,-1
223.5,3,-1
224.0,4,-1
225.0,3,-1
226.0,2,-1
229.0,1,-1
230.0,2,-1
231.0,1,-1
233.5,0,0
234.5,1,0
237.0,0,-1
237.5,1,-1
238.5,2,0
239.0,3,-1
239.5,4,-1
240.0,3,0
241.0,4,-1
249.0,3,-1
250.0,4,0
250.5,5,1
251.5,6,1
255.0,5,2
255.5,6,2
256.0,5,1
258.0,4,2
259.0,5,2
260.0,4,2
261.0,3,2
262.0,2,2
263.0,3,2
264.0,2,1
265.0,1,1
266.0,2,2
267.0,3,2
268.0,2,1
268.5,3,1
270.0,2,2
271.0,3,2
272.0,4,2
274.0,3,2
275.0,4,2
276.0,3,2
277.0,4,1
278.0,5,2
279.0,4,2
280.0,5,2
281.0,4,2
282.0,3,2
283.0,4,2
284.5,3,1
285.0,4,2
286.0,3,2
287.0,4,3
292.0,5,2
296.5,6,2
298.5,5,2
300.0,4,3
300.5,5,2
302.5,6,2
304.5,7,1
310.0,6,2
311.0,7,1
312.0,8,0
315.0,7,0
316.0,8,1
317.0,7,0
318.0,8,1
319.0,7,0
320.0,8,0
321.0,7,0
322.0,8,1
323.0,7,0
324.0,8,0
325.0,7,0
326.0,8,0
327.0,7,0
328.0,6,1
329.0,7,0
330.0,8,0
331.0,7,0
332.0,8,0
333.0,7,0
334.0,8,0
335.0,7,0
336.0,8,0
337.0,9,0
338.0,10,0
339.0,9,0
340.0,10,0
342.0,11,0
345.0,10,0
346.0,11,1
348.0,10,0
349.0,9,0
350.0,10,0
351.0,9,0
352.0,10,1
353.0,9,0
354.0,8,1
355.0,9,0
356.0,10,0
358.0,11,0
359.0,10,0
360.0,9,0
362.0,10,0
363.0,9,0
364.0,10,0
365.0,9,0
366.0,10,1
367.0,9,0
368.0,10,0
369.0,11,0
372.0,12,0
373.0,13,0
386.0,12,1
390.5,11,1
391.0,12,2
