Song, Low, Mid, High, Total, RMS
80s Electronic _ Digital Farm Animals - Adore You Feat Ofei (128kbit_AAC).mp3,3.286,3.291,3.408,9.985,-14.34
95 Royale - Whatever You Want (128kbit_AAC).mp3,2.249,2.567,2.46,7.276000000000001,-13.78
[Funky Way Release] Toniia - Never Let you Down (Feat. Magnus) [The Remixes] Minimix (128kbit_AAC).mp3,2.711,2.758,2.785,8.254,-14.37
Anzo - No talking (152kbit_Opus).mp3,1.021,1.0,0.91,2.931,-15.92
Ark Patrol - Never (152kbit_Opus).mp3,2.232,3.982,4.277,10.491,-12.65
Arman Cekin - Blue Line (152kbit_Opus).mp3,4.703,2.422,2.696,9.821,-12.63
Arman Cekin - Good Vibes (152kbit_Opus).mp3,1.696,1.692,0.916,4.304,-14.81
Asat - Weird Funky Noises (152kbit_Opus).mp3,1.814,1.972,2.151,5.936999999999999,-13.22
Avionics - Flipside _ World Premiere (152kbit_Opus).mp3,3.035,1.938,1.945,6.918,-13.83
Ballester - Black Mind Ft. Dcoverz [Funky Way Release] (152kbit_Opus).mp3,4.312,2.57,2.552,9.434,-14.93
Beat Market - Aviator 2000 (Fonkynson Remix) (128kbit_AAC).mp3,1.882,1.801,2.148,5.8309999999999995,-13.95
Beerlover - Stereo Funk (128kbit_AAC).mp3,3.186,1.305,1.819,6.31,-15.07
Bongo - Ocean (SAFIA Remix) (128kbit_AAC).mp3,2.675,2.061,1.978,6.7139999999999995,-13.76
Camaro Kids - Street Love (Official Video) (128kbit_AAC).mp3,3.793,3.034,3.643,10.469999999999999,-13.89
Chill _ Resa - You Need a Puppy (152kbit_Opus).mp3,1.852,0.99,1.073,3.915,-16.07
Chill _ Savant - Mellow (152kbit_Opus).mp3,1.572,0.958,0.901,3.431,-18.98
Chill _ Some Guy Ty - Liquor Lips (Prod. Some Guy Ty) (152kbit_Opus).mp3,4.138,2.108,2.314,8.56,-15.36
Chill_ Funk _ Alessandro Calabrese & Jiox - Cascade (128kbit_AAC).mp3,3.707,2.253,2.594,8.554,-13.75
ChillJAZZ _ Eli Way - Wave.wav (152kbit_Opus).mp3,2.056,1.528,1.44,5.024,-16.49
Chillwave _ Sparkly Night - Cliffside Point Motel (152kbit_Opus).mp3,1.574,1.542,1.199,4.315,-15.15
Chiptune _ sylcmyk - 甘いイチゴ☆ラブくん (152kbit_Opus).mp3,1.968,1.761,1.99,5.719,-16.6
Chiptune _ Ultrasyd - Un Croissant S'il Vous Plaît (128kbit_AAC).mp3,6.537,6.537,6.41,19.484,-9.3
Complextro _ Complexive - Time's Up (152kbit_Opus).mp3,2.58,2.089,2.182,6.851000000000001,-15.34
Complextro _ eccentric & Yeeflex - Lost Without You (152kbit_Opus).mp3,5.616,4.134,4.096,13.846,-12.31
Complextro _ Eccentric - B There 4 U (128kbit_AAC).mp3,2.58,3.084,3.203,8.866999999999999,-12.25
Complextro _ Retrograde & brandonsong - Stay Low (152kbit_Opus).mp3,3.24,2.944,2.827,9.011,-13.34
Complextro _ The Cosmic BangerZ - Meteor Shower [Funky Way Release] (128kbit_AAC).mp3,3.581,2.861,2.954,9.396,-15.17
Complextro _ WXLF - Illusions (152kbit_Opus).mp3,4.16,4.305,4.305,12.77,-13.05
Curator Blackout - #BlackLivesMatter (128kbit_AAC).mp3,10.331,0.14,0.143,10.614,-19.24
Dance _ Avien & OSKR - Pieces (audalanche Remix) (128kbit_AAC).mp3,1.901,1.358,0.858,4.117,-16.66
Dance _ The Funk Hunters - Turn Down The Silence feat. DiRTY RADiO (152kbit_Opus).mp3,3.155,2.417,2.552,8.123999999999999,-14.99
Dance _ Warner Case & Spencer Ludwig - Heart Dance (152kbit_Opus).mp3,5.022,4.283,4.239,13.544,-12.42
Daze - With You (152kbit_Opus).mp3,3.119,1.652,1.655,6.426,-16.75
Deep House _ Alex Preston - Hip Shakin' Mumma (Original Mix) (128kbit_AAC).mp3,4.515,3.093,3.243,10.850999999999999,-12.24
Deep HOUSE _ DINKS - Disco Lights (128kbit_AAC).mp3,5.179,2.939,3.026,11.144,-13.78
Deep HOUSE _ DINKS - Way To Cool (128kbit_AAC).mp3,4.413,3.267,3.377,11.056999999999999,-12.58
Deep House _ Joyful Cash - Stay [Funky Way Release] (128kbit_AAC).mp3,6.447,3.767,3.571,13.785,-13.6
Deep House _ Museless - Grey Boy (Bearoid Remix) (152kbit_Opus).mp3,2.347,1.566,1.558,5.471,-14.64
Deep House _ Thomas Tonfeld feat. ILY - Skin on Skin [Funky Way Release] (152kbit_Opus).mp3,4.876,3.541,3.698,12.115,-12.64
DeepHOUSE _ LYAR - Cool (ft. Matthew J. Kurz) (152kbit_Opus).mp3,2.259,1.279,1.591,5.129,-15.13
Desso - Whatcha Gonna Say _ World Premiere (128kbit_AAC).mp3,4.723,3.842,4.087,12.652,-11.86
Deusexmaschine - Come Back to Me Feat. Kim Chandler (128kbit_AAC).mp3,5.737,3.049,3.084,11.87,-12.66
Dilemmachine - Too Synth For The Disco (EP minimix) [Funky Way Release] (152kbit_Opus).mp3,3.285,2.64,2.81,8.735000000000001,-14.22
Disco  House _ Jarkko S - Glitter (Funkhameleon Remix) (128kbit_AAC).mp3,3.619,2.252,2.429,8.3,-13.32
Disco - House _  Timo Juuti & Hector 87 - Cheap Bad Moves (128kbit_AAC).mp3,4.234,3.403,3.422,11.059000000000001,-13.23
Disco - House _ 95 Royale - The Neighbourhood (128kbit_AAC).mp3,4.769,4.884,4.735,14.388000000000002,-11.87
Disco - House _ EDDRUNDFUNK - Hush (128kbit_AAC).mp3,4.507,4.203,4.425,13.135000000000002,-12.9
Disco - House _ EDDRUNDFUNK - Pinup (128kbit_AAC).mp3,4.822,3.394,3.628,11.844000000000001,-12.62
Disco - House _ Geisha Twins - Shake Dat Rump (128kbit_AAC).mp3,2.86,3.064,3.007,8.931,-14.19
Disco - House _ J Paul Getto - Keep It Raw (128kbit_AAC).mp3,6.532,4.748,4.744,16.024,-11.09
Disco - House _ Jean Tonique - Funky Colors (128kbit_AAC).mp3,2.591,2.471,2.281,7.343,-14.21
Disco - House _ Jean Tonique - Sunshine Cleaning (128kbit_AAC).mp3,3.693,3.475,3.782,10.95,-13.44
Disco - House _ Just Kiddin - Mammal (Kosmetique Remix) (152kbit_Opus).mp3,3.148,2.623,2.768,8.539000000000001,-14.07
Disco - House _ La Zebra - (A.S.S) After School Special (Tobtok Remix) (128kbit_AAC).mp3,3.314,2.671,2.877,8.861999999999998,-13.46
Disco - House _ Lest Diet - Noodel (You're All I Want) (152kbit_Opus).mp3,4.347,3.791,3.807,11.945,-13.51
Disco - House _ Melee - Wednesday Morning Analog (152kbit_Opus).mp3,5.638,3.991,3.88,13.509,-12.12
Disco - House _ RUNDFUNK & EDDR - Rock The Flock (128kbit_AAC).mp3,4.978,4.296,4.641,13.915000000000001,-11.74
Disco - House _ Savant - Good Times (152kbit_Opus).mp3,2.918,2.531,2.364,7.813,-15.14
Disco - House _ SoHight & Cosmonaut Grechko - Night Moves (152kbit_Opus).mp3,3.877,3.018,3.09,9.985,-14.16
Disco - House _ Stereocool - Simple Ft. Ace (La Zebra Remix) (152kbit_Opus).mp3,1.807,2.024,1.779,5.609999999999999,-16.47
Disco - House _ The Kooks - Naive (Jean Tonique Remix) (128kbit_AAC).mp3,3.04,3.396,3.468,9.904,-13.61
Disco - House _ Treasure Fingers - Take My Hand _Free (128kbit_AAC).mp3,2.979,2.234,2.31,7.523,-14.05
Disco - House _ Umberto Lumber - Blue Velvet (128kbit_AAC).mp3,1.641,1.415,1.267,4.323,-17.08
Disco - House _ Umberto Lumber - Picnic King (128kbit_AAC).mp3,3.506,2.13,2.222,7.857999999999999,-15.18
Disco - Pop _ Galactik Knights - How I Feel (Blue Satellite Remix) (152kbit_Opus).mp3,3.433,2.992,3.009,9.434,-14.24
