Position,Energy,Frequency
0.0,0,0
0.5,-1,1
1.0,0,0
1.25,-1,-1
1.5,0,0
1.75,-1,0
11.0,-2,-1
12.5,-1,0
13.0,-2,-1
14.75,-1,0
15.0,0,-1
15.25,-1,0
15.5,0,0
15.75,1,1
16.5,2,1
16.75,3,0
17.25,4,0
17.5,3,-1
17.75,4,0
18.0,3,0
18.5,2,1
18.75,3,0
19.25,2,1
19.5,1,2
21.25,2,3
22.0,3,4
22.25,2,4
22.75,3,4
23.0,4,4
23.25,5,4
24.0,4,5
25.25,3,4
26.0,4,3
26.25,5,4
28.25,4,3
29.75,3,3
30.5,2,4
30.75,1,4
31.0,2,3
31.25,3,3
31.5,4,3
33.0,3,2
33.25,4,2
33.5,5,2
33.75,4,3
34.75,5,3
35.75,4,3
36.25,3,2
38.0,4,3
38.25,5,3
38.5,6,3
38.75,7,3
39.0,8,3
39.25,7,3
39.5,8,3
39.75,7,3
40.75,8,2
41.0,7,2
41.5,8,2
41.75,9,2
42.0,8,2
42.25,7,2
42.5,8,2
42.75,9,2
43.0,10,3
43.25,9,3
43.5,10,3
43.75,9,3
46.25,8,2
46.75,9,2
48.5,8,3
49.0,7,3
51.0,8,4
51.25,9,3
51.75,8,4
52.5,9,5
52.75,8,5
53.0,7,5
53.25,8,4
53.75,7,3
54.0,6,2
54.25,7,3
54.5,6,3
54.75,5,3
55.0,4,3
55.25,5,3
55.5,6,2
55.75,5,3
56.0,4,2
56.25,3,3
56.5,4,2
56.75,3,3
57.0,4,2
57.25,3,3
57.5,4,2
57.75,3,3
58.0,2,2
58.25,3,3
58.5,2,2
59.5,1,2
59.75,0,2
60.0,1,1
60.5,0,1
60.75,-1,2
61.0,0,3
61.25,1,2
63.0,0,3
67.25,-1,2
68.5,0,3
70.5,-1,4
79.5,0,3
80.25,-1,3
80.75,-2,3
81.0,-1,3
81.25,-2,4
81.5,-1,3
83.0,-2,2
83.25,-1,3
83.5,0,2
83.75,1,2
84.0,0,1
84.25,-1,0
84.5,-2,-1
89.5,-1,0
94.75,-2,-1
95.75,-1,0
96.5,0,-1
97.5,-1,0
98.75,0,-1
99.25,1,0
99.5,0,0
100.0,1,-1
100.25,0,0
105.5,1,-1
106.75,0,-2
107.5,1,-3
108.0,2,-2
108.25,1,-3
108.5,2,-2
108.75,1,-1
112.0,0,0
112.25,1,0
112.5,2,-1
112.75,1,0
113.0,2,0
113.25,3,1
113.5,4,2
113.75,3,2
114.0,4,1
114.25,5,2
114.5,4,3
115.0,5,2
115.25,4,2
115.5,5,2
115.75,4,1
116.5,5,2
116.75,6,3
117.0,5,2
117.25,6,3
117.5,5,4
117.75,6,4
121.5,7,3
123.5,8,2
128.5,9,2
130.0,10,3
130.75,11,2
131.25,12,3
132.0,11,2
132.25,12,1
132.5,11,0
133.5,10,1
135.0,9,2
135.5,8,1
136.0,9,2
136.25,8,2
137.25,9,1
137.5,10,2
138.0,11,2
138.25,10,1
138.75,11,2
139.0,10,1
139.25,11,2
139.5,10,1
140.0,11,2
140.25,10,1
140.5,11,2
141.5,10,3
142.25,11,2
