Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,19.963288346954855,1184.326171875
0.5,-1,-1,17.3941867450781,581.396484375
0.75,0,-1,17.46822335423879,581.396484375
1.25,1,-1,17.707707973416028,581.396484375
1.5,2,0,18.334547357184963,1550.390625
2.0,1,-1,18.260532578339856,1162.79296875
2.25,2,0,20.28342675637304,1184.326171875
3.0,1,1,18.843600370723724,1765.72265625
3.5,2,0,19.06559687871422,1571.923828125
3.75,1,-1,18.15254051784484,882.861328125
4.0,2,0,19.572091168810633,1184.326171875
5.5,1,1,19.025454703194846,1571.923828125
6.0,0,0,17.35173584768435,882.861328125
6.5,1,0,17.55123554884481,882.861328125
7.5,2,1,19.618018061233876,1550.390625
8.0,1,0,18.399854116182244,1184.326171875
9.5,0,1,18.370220639001342,1571.923828125
9.75,1,0,18.59385904290836,882.861328125
10.25,2,0,19.847983903006273,882.861328125
11.0,1,0,18.319694566240553,882.861328125
12.0,2,-1,18.869970636677557,667.529296875
12.5,1,-2,17.733801105868793,581.396484375
13.5,2,-1,19.611739692507072,667.529296875
14.0,1,-2,18.782759910740452,645.99609375
14.5,0,-2,17.361310059684843,645.99609375
15.75,1,-3,18.557258963008902,581.396484375
16.0,2,-2,19.534150355826387,1184.326171875
17.25,1,-3,17.660784820554213,581.396484375
17.5,2,-3,19.67835036561471,581.396484375
17.75,1,-2,19.541215064011066,1184.326171875
18.0,0,-3,18.269260696443187,1162.79296875
18.25,-1,-3,18.02734349343106,1162.79296875
18.5,0,-2,18.62217223208788,1184.326171875
19.0,1,-1,19.065994486996967,1765.72265625
19.25,2,-2,19.19536612536716,1184.326171875
19.5,3,-1,19.509082178814868,1571.923828125
20.0,2,-2,18.783183499565563,1184.326171875
20.25,1,-3,18.079690391829196,882.861328125
20.5,0,-3,17.618263099005837,882.861328125
22.0,1,-3,18.106446531037598,882.861328125
22.75,2,-3,18.863788308234447,882.861328125
23.0,1,-2,17.311651239017582,1765.72265625
23.5,2,-3,19.197374742788003,1571.923828125
24.25,1,-4,18.375573755985396,882.861328125
24.75,2,-5,18.631917269790733,581.396484375
25.5,3,-4,18.676004047988453,1571.923828125
25.75,4,-5,19.42715744832193,882.861328125
26.0,3,-6,17.309350181727076,495.263671875
26.25,2,-5,17.20669713136251,882.861328125
27.0,3,-5,18.181080596116136,882.861328125
27.25,2,-5,17.79543649412283,882.861328125
27.5,3,-4,20.004437854504754,1571.923828125
27.75,2,-5,18.508590942305517,645.99609375
28.0,3,-4,18.970249023730556,1184.326171875
28.25,2,-5,18.089542750296847,1162.79296875
29.25,1,-6,17.59029821211094,667.529296875
29.5,2,-5,18.556933662249616,1571.923828125
29.75,1,-6,17.67794180128689,667.529296875
30.75,2,-6,17.74314197509188,667.529296875
31.0,3,-5,19.102267464474828,1765.72265625
31.25,2,-6,18.689772884133994,667.529296875
32.0,3,-7,19.183865629870134,301.46484375
32.25,2,-6,18.44234565158817,322.998046875
32.5,1,-6,14.364861732889766,322.998046875
33.0,2,-5,16.445920666898964,689.0625
33.75,1,-6,16.39847077762441,430.6640625
34.0,2,-7,17.308472750187388,301.46484375
34.25,1,-6,15.112031548334684,430.6640625
34.5,2,-7,16.25415939161819,301.46484375
35.0,3,-7,21.173142236556345,301.46484375
