Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,0.9613940855128635,21.533203125
71.25,-1,0,0.6660969878231147,21.533203125
73.0,0,0,0.7883083590197455,21.533203125
80.25,-1,0,0.608401745658742,21.533203125
89.0,-2,0,0.597766045106357,21.533203125
99.75,-1,0,0.65256202887051,21.533203125
100.25,-2,0,0.6174199652088992,21.533203125
100.75,-1,1,0.8627277443769646,86.1328125
102.5,-2,0,0.6876735740226447,64.599609375
115.25,-1,0,0.6996063112277596,64.599609375
115.75,-2,-1,0.6613513595995971,21.533203125
123.75,-3,0,0.5907315286721396,64.599609375
128.25,-2,0,0.9588305307168798,64.599609375
128.75,-3,-1,0.618579668568987,21.533203125
129.25,-2,-1,0.6289559617908261,21.533203125
129.75,-1,0,0.6579638050477614,43.06640625
130.25,-2,1,0.6277657399212622,64.599609375
130.5,-1,0,0.7807092501602222,21.533203125
130.75,-2,1,0.6272774437696462,43.06640625
131.25,-1,2,0.6428266243476668,64.599609375
131.75,-2,1,0.5846278267769403,43.06640625
132.75,-1,2,0.6916562395092624,64.599609375
133.25,-2,1,0.6547288430433058,43.06640625
134.25,-1,0,0.7786950285348064,21.533203125
134.75,-2,1,0.6770989104892117,86.1328125
135.25,-3,0,0.608630634479812,21.533203125
136.25,-4,1,0.5787072359385967,86.1328125
136.5,-3,1,0.6339457380901516,86.1328125
139.25,-2,0,0.7189703054902798,21.533203125
140.25,-3,0,0.6988586077455977,21.533203125
140.75,-4,1,0.5905331583605458,86.1328125
142.25,-3,0,0.6006958220160528,21.533203125
143.25,-2,1,0.7551805169835506,43.06640625
146.25,-3,2,0.6337015900143437,64.599609375
146.75,-2,3,0.6438337351603748,86.1328125
147.25,-3,2,0.6333506271553697,43.06640625
148.25,-4,3,0.5849177526169622,86.1328125
149.25,-3,2,0.6548051393169958,43.06640625
150.25,-2,1,0.8386486404004028,21.533203125
151.25,-3,2,0.6346781823175756,43.06640625
152.5,-2,3,0.7567217017120884,86.1328125
153.75,-3,2,0.6024506363109225,21.533203125
154.75,-4,3,0.5786309396649068,64.599609375
164.25,-3,2,0.7519913327433088,43.06640625
173.25,-4,3,0.5775322733237709,64.599609375
173.75,-3,2,0.880443739127781,43.06640625
180.25,-4,1,0.6807306131168553,21.533203125
183.0,-5,1,0.6146275215918455,21.533203125
192.25,-4,1,0.7856379894405957,21.533203125
195.25,-5,2,0.6757103183080538,43.06640625
197.0,-6,2,0.608584856715598,43.06640625
200.25,-5,2,0.7273781548509171,43.06640625
200.5,-6,3,0.5914944914090396,86.1328125
203.5,-5,2,0.8394573809015168,21.533203125
204.25,-6,3,0.7631153294473099,64.599609375
205.0,-7,4,0.6436201055940427,86.1328125
205.5,-8,3,0.6119113742484816,64.599609375
205.75,-7,4,0.7127750480666524,86.1328125
207.0,-8,3,0.6015808587908567,64.599609375
212.75,-9,2,0.5925473799859615,43.06640625
214.5,-8,2,0.6657460249641407,43.06640625
216.25,-9,1,0.6566820276497696,21.533203125
217.75,-8,2,0.8290963469344157,43.06640625
220.25,-9,1,0.717642750328074,21.533203125
221.5,-10,2,0.6805932798242134,86.1328125
221.75,-11,1,0.6715750602740562,21.533203125
227.25,-12,2,0.5775170140690329,86.1328125
228.75,-11,1,0.6016724143192846,21.533203125
229.25,-10,2,0.8824884792626728,43.06640625
231.25,-11,3,0.6359752189703055,86.1328125
231.75,-12,2,0.58630634479812,64.599609375
232.5,-11,2,0.8361308633686331,64.599609375
234.25,-12,3,0.6963103122043519,86.1328125
234.75,-13,2,0.6240119632557146,64.599609375
235.75,-12,3,0.8191930906094547,86.1328125
236.25,-13,2,0.6329844050416578,21.533203125
236.75,-12,2,0.9221320230719932,21.533203125
237.25,-13,3,0.6891994994964445,43.06640625
241.25,-14,4,0.5782341990417188,64.599609375
242.25,-13,5,0.6664784691915647,86.1328125
243.25,-14,4,0.6116519669179358,64.599609375
245.25,-13,4,0.6514786217841121,64.599609375
246.75,-12,3,0.6884060182500686,21.533203125
247.25,-11,4,0.7711416974394971,86.1328125
247.5,-10,3,0.8440198980681783,43.06640625
248.0,-11,2,0.7630542924283579,21.533203125
260.75,-10,3,0.7967162083803827,86.1328125
263.75,-11,2,0.5945158238471633,43.06640625
265.25,-10,3,0.5996124149296549,64.599609375
268.25,-9,2,0.7627796258430738,21.533203125
279.25,-8,3,0.7793969542527543,64.599609375
288.0,-9,2,0.7154759361552782,43.06640625
291.75,-8,1,0.7350230414746544,21.533203125
308.5,-9,2,0.6996520889919737,43.06640625
312.25,-10,3,0.6881160924100467,86.1328125
313.25,-11,2,0.6253395184179205,21.533203125
313.75,-10,3,0.7446211127048554,64.599609375
314.25,-9,2,0.9346293527024141,43.06640625
314.5,-10,1,0.6624500259407331,21.533203125
314.75,-9,1,0.739463484603412,21.533203125
315.25,-10,2,0.65141758476516,86.1328125
316.75,-9,1,0.7987304300057985,64.599609375
317.25,-10,0,0.6196935941648609,43.06640625
318.25,-9,0,0.7666249580370494,43.06640625
318.75,-8,1,0.8785821100497452,86.1328125
320.25,-9,1,0.6493728446302682,86.1328125
320.5,-8,1,0.7216254158146915,86.1328125
323.25,-7,0,0.7330545976134526,43.06640625
324.25,-8,-1,0.6272011474959562,21.533203125
324.75,-9,0,0.586428418836024,86.1328125
326.25,-8,-1,0.5958586382641072,43.06640625
327.25,-7,-1,0.7744682149723807,43.06640625
330.25,-8,-1,0.76227607043672,43.06640625
330.5,-7,-2,0.8654286324655904,21.533203125
331.25,-8,-1,0.7331156346324046,43.06640625
332.25,-9,0,0.6315347758415479,86.1328125
332.75,-8,-1,0.6511123996704001,64.599609375
333.25,-7,-2,0.7110354930265206,21.533203125
334.25,-6,-2,0.7259132663960692,21.533203125
334.5,-7,-1,0.5805383465071565,43.06640625
334.75,-6,0,0.597857600634785,86.1328125
335.25,-7,-1,0.5905636768700216,43.06640625
336.25,-6,0,0.652668843653676,86.1328125
336.5,-7,0,0.63090914639729,86.1328125
337.75,-8,-1,0.5837733085116124,43.06640625
338.75,-7,0,0.5905178991058077,64.599609375
339.25,-6,1,0.7018494216742455,86.1328125
340.25,-7,0,0.5841853083895383,21.533203125
342.25,-6,1,0.6938077944273202,43.06640625
342.5,-7,0,0.6387371440778833,21.533203125
343.25,-8,0,0.6356547746208076,21.533203125
344.25,-7,1,0.6356700338755454,64.599609375
345.25,-6,0,0.7985168004394665,43.06640625
346.25,-5,1,0.8005310220648824,86.1328125
347.25,-4,0,0.8491775261696219,21.533203125
348.25,-5,1,0.847453230384228,86.1328125
348.5,-6,1,0.6068453016754662,86.1328125
350.75,-5,0,0.6668294320505386,64.599609375
351.25,-6,-1,0.6258430738242744,21.533203125
353.75,-7,0,0.608844264046144,43.06640625
354.25,-6,0,0.663380840479751,43.06640625
358.25,-5,0,0.8616290780358287,43.06640625
358.5,-6,1,0.6690878017517624,86.1328125
359.25,-7,0,0.6626178777428511,43.06640625
359.5,-6,1,0.7894070253608814,64.599609375
360.25,-7,1,0.6942197943052462,64.599609375
361.25,-8,0,0.6558580278939177,43.06640625
362.25,-7,1,0.7285988952299569,86.1328125
363.25,-6,0,0.8326822717978454,21.533203125
364.25,-5,1,0.8733481856746117,86.1328125
365.25,-6,0,0.7250740073854793,43.06640625
369.25,-7,0,0.5842921231727043,43.06640625
369.5,-6,-1,0.6550950651570178,21.533203125
369.75,-5,0,0.7030091250343333,86.1328125
370.25,-4,-1,0.7074953459273049,21.533203125
372.25,-5,0,0.6005432294686728,86.1328125
374.25,-4,-1,0.7311777092806788,43.06640625
374.5,-3,0,0.8961455122531816,86.1328125
375.5,-4,-1,0.6674703207495346,64.599609375
