Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,[2.18806927],15460.83984375
5.75,-1,-1,[2.04234284],14685.64453125
19.0,-2,0,[1.9070906],15719.23828125
32.0,-1,-1,[2.14739743],13006.0546875
38.25,0,0,[2.47927661],15913.037109375
50.0,-1,-1,[2.175478],15654.638671875
50.25,-2,-2,[1.88482036],9797.607421875
64.0,-1,-1,[2.85376591],13695.1171875
64.25,-2,-2,[2.21230673],9754.541015625
64.75,-3,-1,[2.10336151],10249.8046875
65.5,-2,0,[2.25734622],15654.638671875
67.0,-1,-1,[2.58115737],9453.076171875
67.25,-2,0,[2.26317467],11089.599609375
68.5,-1,1,[2.45211938],13738.18359375
68.75,-2,0,[2.03450968],11068.06640625
69.0,-1,1,[2.32111065],12704.58984375
69.25,0,2,[2.58667691],13824.31640625
70.0,1,1,[2.83469357],10831.201171875
70.5,0,2,[2.46370921],14793.310546875
71.25,-1,1,[2.43792872],12467.724609375
72.0,0,2,[2.5914962],13458.251953125
72.25,-1,1,[2.56106707],9560.7421875
72.5,-2,2,[2.36296501],14965.576171875
73.0,-1,1,[2.38395241],9022.412109375
73.25,-2,2,[2.14375826],13479.78515625
73.75,-3,1,[1.74963204],9969.873046875
74.0,-2,2,[2.37118788],15223.974609375
75.0,-1,1,[2.67308188],12338.525390625
75.5,-2,2,[2.04631618],13608.984375
75.75,-1,3,[2.23541959],14298.046875
76.5,0,2,[2.32184843],9539.208984375
76.75,1,3,[2.45731605],13372.119140625
77.0,2,2,[2.48840351],11714.0625
77.25,1,1,[2.31881887],9603.80859375
77.5,2,2,[2.62309038],12661.5234375
78.0,1,3,[2.06353331],13436.71875
78.5,2,4,[2.26191513],14233.447265625
79.0,3,3,[2.45419127],13695.1171875
80.0,4,4,[2.7779127],13910.44921875
80.25,3,3,[2.43240599],9668.408203125
80.75,2,4,[2.31644813],11003.466796875
82.0,3,5,[2.58024287],14664.111328125
82.5,2,4,[2.31640926],9000.87890625
84.5,1,5,[2.24590287],12230.859375
84.75,2,4,[2.39912131],10960.400390625
85.0,1,3,[2.33208665],9840.673828125
85.25,0,4,[2.11787279],14965.576171875
86.0,1,3,[2.6833116],12015.52734375
86.75,0,4,[2.18931038],14470.3125
87.0,1,3,[2.35877073],9474.609375
87.25,0,4,[2.26765883],11541.796875
87.5,1,3,[2.61260872],10400.537109375
87.75,0,4,[2.58283957],12639.990234375
88.0,1,5,[2.77556999],13264.453125
88.25,0,4,[2.65280171],9517.67578125
88.5,-1,5,[2.61841484],15008.642578125
89.0,-2,4,[2.5692904],9000.87890625
89.25,-3,5,[2.21385938],10508.203125
89.5,-2,4,[2.66386883],9453.076171875
89.75,-3,5,[2.20569179],11175.732421875
90.0,-2,6,[2.78081311],15848.4375
90.5,-3,5,[1.9314142],11240.33203125
91.0,-2,6,[2.30223545],12446.19140625
91.5,-1,5,[2.69889594],12360.05859375
92.75,-2,6,[2.11066397],14470.3125
93.0,-1,5,[2.26643991],12403.125
93.25,-2,6,[2.12084243],15073.2421875
93.5,-1,5,[2.13647076],12833.7890625
95.0,0,4,[2.39037796],9280.810546875
95.75,1,5,[2.4847027],10938.8671875
97.5,2,4,[2.63051017],10400.537109375
98.0,1,5,[2.47249383],12941.455078125
99.0,2,6,[2.72013166],14276.513671875
99.5,1,5,[2.66121242],12962.98828125
100.0,0,4,[2.55363801],9560.7421875
100.5,1,5,[2.77560497],15137.841796875
101.0,0,4,[2.33421658],9474.609375
101.5,1,5,[2.90631312],13716.650390625
102.0,0,4,[2.82360418],11886.328125
103.5,-1,5,[2.621315],15051.708984375
103.75,-2,4,[2.35746159],14987.109375
104.0,-1,5,[2.75671244],15245.5078125
104.25,-2,4,[2.55463174],11649.462890625
105.0,-1,5,[2.65898553],12704.58984375
105.5,0,6,[2.88515221],15396.240234375
106.0,1,5,[2.89438451],11154.19921875
106.5,0,6,[2.30079211],12080.126953125
106.75,1,5,[2.44250046],10508.203125
