Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,[2.29567805],150.732421875
2.5,-1,-1,[1.48513821],129.19921875
5.5,0,0,[1.58978919],193.798828125
17.5,-1,-1,[1.57505843],172.265625
19.0,-2,0,[0.90514476],258.3984375
21.5,-1,0,[1.29916803],258.3984375
22.5,-2,-1,[0.90681232],215.33203125
23.5,-3,-2,[0.88259685],129.19921875
24.5,-2,-1,[1.05375805],236.865234375
29.0,-3,0,[0.93281854],258.3984375
30.0,-2,-1,[1.36233765],150.732421875
34.5,-3,0,[1.23202307],258.3984375
35.5,-2,0,[1.25173932],258.3984375
36.0,-3,-1,[1.02129762],193.798828125
37.0,-2,-1,[1.23835596],193.798828125
40.5,-1,-2,[1.80661851],129.19921875
43.0,-2,-1,[0.99492157],258.3984375
43.5,-1,-2,[1.20072198],150.732421875
44.0,-2,-1,[1.10508226],193.798828125
46.0,-1,-1,[1.20760251],193.798828125
48.0,0,0,[1.21021124],215.33203125
49.0,1,1,[1.30746411],236.865234375
50.0,2,1,[1.50477173],236.865234375
51.0,1,2,[1.05968117],258.3984375
53.0,0,2,[1.00250401],258.3984375
56.5,-1,1,[0.85492674],129.19921875
57.0,0,2,[1.13493502],150.732421875
59.5,1,3,[1.31373699],258.3984375
63.0,0,2,[1.22638051],215.33203125
66.0,1,3,[2.19682953],258.3984375
68.0,0,3,[1.45016116],258.3984375
68.5,1,2,[1.83789481],215.33203125
72.5,0,1,[1.82720432],150.732421875
73.0,1,1,[2.4879551],150.732421875
74.0,0,2,[1.43123203],258.3984375
75.0,1,1,[2.02321171],193.798828125
78.0,0,2,[1.75397077],215.33203125
80.5,-1,1,[1.60996274],150.732421875
82.0,-2,2,[1.33932258],258.3984375
82.5,-1,1,[1.43080303],150.732421875
84.0,-2,2,[1.35429139],258.3984375
84.5,-1,1,[1.66888938],129.19921875
86.0,-2,1,[1.18077221],129.19921875
88.5,-1,2,[1.74471251],236.865234375
90.5,-2,1,[1.22698007],172.265625
91.5,-1,2,[2.14840777],215.33203125
92.5,-2,1,[1.5300049],129.19921875
94.0,-1,2,[1.87424489],172.265625
95.5,-2,3,[1.61407762],236.865234375
96.5,-3,2,[1.46252984],129.19921875
97.5,-2,3,[1.56970617],193.798828125
102.0,-3,2,[1.2122169],172.265625
102.5,-2,1,[1.58160137],129.19921875
103.0,-1,2,[1.96758288],215.33203125
104.5,-2,3,[1.41547421],258.3984375
108.5,-3,2,[1.2417928],236.865234375
109.5,-4,3,[1.15672105],258.3984375
110.5,-3,2,[1.23980076],236.865234375
111.5,-2,1,[1.76784333],215.33203125
113.0,-3,1,[1.084584],215.33203125
115.0,-2,0,[1.30137859],129.19921875
116.0,-1,1,[1.4438923],215.33203125
119.0,0,1,[1.8546597],215.33203125
120.5,-1,1,[1.32210307],215.33203125
122.5,-2,0,[1.04131399],172.265625
123.0,-1,-1,[1.1796612],129.19921875
123.5,0,0,[1.88782493],215.33203125
130.5,1,-1,[2.35657577],129.19921875
132.5,2,0,[2.38552142],215.33203125
133.5,1,0,[1.42288273],215.33203125
135.5,2,-1,[2.06328607],172.265625
136.5,3,-2,[2.09637392],129.19921875
138.5,2,-1,[1.76515181],258.3984375
143.5,1,-1,[1.61782335],258.3984375
144.5,0,-2,[1.39086388],215.33203125
145.5,-1,-3,[1.31481423],172.265625
148.5,0,-2,[1.96825686],258.3984375
149.5,-1,-2,[1.57879188],258.3984375
151.5,0,-2,[2.07682262],258.3984375
152.5,-1,-3,[2.02200541],236.865234375
156.5,0,-3,[2.17856905],236.865234375
159.5,-1,-4,[1.20674931],193.798828125
160.5,0,-5,[1.42493576],150.732421875
161.5,-1,-5,[1.23686084],150.732421875
162.0,0,-4,[1.61691006],172.265625
163.5,-1,-5,[1.22478129],129.19921875
164.5,0,-5,[1.41953851],129.19921875
165.5,1,-4,[1.50556834],215.33203125
166.0,0,-5,[1.1489456],129.19921875
167.0,1,-4,[1.86044954],150.732421875
168.0,0,-3,[1.71038709],258.3984375
170.0,-1,-3,[1.05547346],258.3984375
170.5,0,-4,[1.28622597],193.798828125
171.0,1,-3,[1.57432058],258.3984375
174.5,0,-4,[1.2986275],236.865234375
176.5,1,-3,[1.4889027],258.3984375
177.5,0,-3,[1.12154458],258.3984375
178.0,1,-3,[2.08330848],258.3984375
179.5,0,-4,[1.76726987],236.865234375
180.5,-1,-3,[1.67695946],258.3984375
181.5,-2,-4,[1.65714069],172.265625
182.0,-3,-5,[1.15230143],150.732421875
183.0,-2,-4,[1.81133744],258.3984375
184.5,-3,-5,[1.651934],236.865234375
