Position,EnergyPC,FrequencyPC,Energy,Frequency
2.0,0,0,0.6588183233130893,43.06640625
7.0,-1,1,0.5941801202429273,64.599609375
7.5,0,0,0.9870906704916531,21.533203125
9.0,-1,0,0.6902523880733664,21.533203125
10.0,0,1,0.8543046357615893,43.06640625
14.0,-1,2,0.5833918271431623,86.1328125
14.5,0,1,0.673574022644734,43.06640625
15.0,-1,1,0.6044648579363384,43.06640625
16.0,0,2,0.8032166508987701,86.1328125
18.0,1,2,0.945295571764275,86.1328125
19.5,0,1,0.511505478072451,21.533203125
23.0,1,2,0.5238502151554918,64.599609375
23.5,2,1,0.9267250587481308,21.533203125
25.0,1,1,0.727942747276223,21.533203125
26.0,2,2,0.8954283272804957,43.06640625
30.0,1,3,0.6502121036408581,86.1328125
30.5,0,2,0.5772270882290109,64.599609375
31.0,1,2,0.705359050263985,64.599609375
32.0,2,3,0.8035370952482681,86.1328125
32.5,1,2,0.5914792321543016,43.06640625
34.0,2,3,0.9196905423139135,64.599609375
39.0,1,3,0.6595355082857753,64.599609375
39.5,2,4,0.9260536515396588,86.1328125
40.0,1,4,0.5254371776482436,86.1328125
41.0,2,3,0.8412274544511247,21.533203125
42.0,3,4,0.8707235938596759,43.06640625
42.75,2,5,0.6390118106631673,64.599609375
45.25,1,4,0.5187231055635243,21.533203125
46.5,2,5,0.8576769310586871,86.1328125
47.5,1,4,0.5676442762535479,64.599609375
48.0,2,5,0.6096072267830439,86.1328125
48.25,3,4,0.7832880642109439,21.533203125
49.0,2,4,0.7431409649952696,21.533203125
50.0,1,5,0.630359813226722,64.599609375
50.75,2,5,0.8215124973296304,64.599609375
51.0,3,4,0.8218634601886043,21.533203125
52.0,2,5,0.6292611468855861,86.1328125
53.0,3,4,0.8270516067995239,21.533203125
54.0,2,5,0.6720633564256722,86.1328125
55.0,3,4,0.7350383007293924,21.533203125
56.0,2,5,0.6224707785271767,86.1328125
56.25,1,5,0.5502182073427534,86.1328125
57.0,2,4,0.7517777031769768,21.533203125
58.0,1,5,0.663624988555559,86.1328125
59.0,2,4,0.7693868831446272,21.533203125
60.0,1,5,0.6761528366954558,86.1328125
61.0,2,4,0.7521897030549027,21.533203125
62.0,1,5,0.6777245399334697,86.1328125
63.0,2,4,0.7523422956022827,21.533203125
63.25,1,5,0.6056855983153783,64.599609375
64.0,2,6,0.6654866176335947,86.1328125
64.25,1,6,0.6501510666219061,86.1328125
65.0,2,5,0.9167760246589557,21.533203125
66.0,1,6,0.6467787713248085,86.1328125
66.75,2,5,0.728034302804651,64.599609375
67.0,3,4,0.7616809595019379,21.533203125
68.0,2,5,0.6057161168248543,86.1328125
69.0,3,4,0.7568285164952544,21.533203125
70.0,2,5,0.6940672017578662,86.1328125
71.0,3,4,0.7233191930906094,21.533203125
72.0,2,5,0.6990874965666677,86.1328125
72.25,1,5,0.6930143131809443,86.1328125
73.0,2,4,0.7698141422772912,21.533203125
74.0,1,5,0.6941892757957702,86.1328125
75.0,2,4,0.7704245124668112,21.533203125
76.0,1,5,0.6274300363170263,86.1328125
76.25,0,5,0.576769310586871,86.1328125
76.5,1,5,0.5944547868282113,86.1328125
76.75,2,5,0.7246162297433394,86.1328125
77.0,1,4,0.5987731559190649,21.533203125
77.5,2,5,0.6901150547807245,86.1328125
78.0,3,5,0.7008117923520616,86.1328125
78.25,2,5,0.6466414380321666,86.1328125
78.5,1,5,0.63129062776574,86.1328125
78.75,0,5,0.5077211828974273,86.1328125
80.0,1,5,0.6756797997985778,86.1328125
81.0,2,4,0.7972197637867366,43.06640625
82.0,1,5,0.6919766838587604,86.1328125
83.0,2,4,0.793557542649617,21.533203125
84.0,1,5,0.6795403912472915,86.1328125
85.0,2,4,0.7405774101992859,21.533203125
86.0,1,5,0.6554002502517777,86.1328125
87.0,2,4,0.750083925901059,21.533203125
88.0,1,5,0.6688741721854304,86.1328125
89.0,2,4,0.7662129581591235,21.533203125
90.0,1,5,0.6911679433576464,86.1328125
91.0,2,4,0.8186284981841487,21.533203125
92.0,1,5,0.6441084017456588,86.1328125
93.0,2,4,0.7852870265816217,21.533203125
94.0,1,5,0.6772972808008058,86.1328125
96.0,0,5,0.5845667897579883,86.1328125
96.5,1,5,0.6945249794000061,86.1328125
97.0,2,4,0.8833429975280007,21.533203125
97.5,1,5,0.6060823389385663,86.1328125
98.0,2,5,0.6691183202612385,86.1328125
98.5,3,5,0.6810052797021393,86.1328125
99.0,4,4,0.7703787347025972,21.533203125
99.5,3,4,0.509933774834437,21.533203125
100.0,4,5,0.6998962370677816,86.1328125
100.5,5,4,0.8006530961027863,64.599609375
101.0,4,3,0.7424390392773217,21.533203125
101.5,3,4,0.7271340067751091,64.599609375
102.0,2,5,0.684514908291879,86.1328125
102.5,1,5,0.6297647022919401,86.1328125
103.0,2,4,0.729224524674215,21.533203125
104.0,1,5,0.6477401043733024,86.1328125
104.25,0,5,0.6371196630756554,86.1328125
104.5,1,5,0.7258369701223792,86.1328125
104.75,2,5,0.7431714835047456,86.1328125
105.0,1,5,0.6593371379741813,86.1328125
105.25,2,5,0.8628498184148686,86.1328125
105.5,1,5,0.5066682943205054,86.1328125
105.75,2,5,0.653111362041078,86.1328125
106.0,1,5,0.6033356730857264,86.1328125
106.25,0,5,0.5852076784569842,86.1328125
106.5,1,5,0.6056855983153783,86.1328125
106.75,2,5,0.7764061403241066,86.1328125
107.0,1,5,0.6687978759117406,86.1328125
107.5,0,5,0.5395825067903683,86.1328125
107.75,1,5,0.7712637714774011,86.1328125
112.0,0,5,0.6563615833002716,86.1328125
112.5,-1,5,0.5917691579943236,86.1328125
112.75,0,4,0.597735526596881,21.533203125
113.0,1,4,0.8130130924405652,21.533203125
114.0,0,5,0.6966307565538499,64.599609375
115.0,1,4,0.706900234992523,21.533203125
115.25,0,5,0.5603503524887844,64.599609375
115.5,1,4,0.6566209906308176,43.06640625
115.75,0,5,0.6133152256843776,86.1328125
