Position,EnergyPC,FrequencyPC,Energy,Frequency
16.0,0,0,0.9931180761131626,15977.63671875
32.0,-1,0,0.9665517136143071,15977.63671875
37.0,0,-1,1.0,12618.45703125
47.0,-1,0,0.9275032807397687,14513.37890625
48.0,0,-1,0.9375133518478957,12661.5234375
49.0,1,0,0.9640034180730613,15503.90625
50.0,2,-1,1.000030518509476,12919.921875
51.0,1,0,0.9527268288216804,15417.7734375
52.0,2,-1,0.9971770378734703,15073.2421875
53.0,1,0,0.9603411969359417,15503.90625
54.0,0,-1,0.9588915677358318,14965.576171875
55.0,-1,0,0.9427014984588153,15353.173828125
56.0,0,-1,1.0,15073.2421875
57.0,-1,0,0.9629505294961394,15331.640625
58.0,0,-1,0.9865718558305612,10615.869140625
59.0,-1,0,0.9382000183111057,15137.841796875
60.0,0,-1,0.9877162999359111,14987.109375
61.0,-1,0,0.9563432721945859,15590.0390625
62.0,0,-1,0.9878078554643391,13092.1875
63.0,-1,0,0.9530930509353923,15310.107421875
64.0,0,-1,0.9840540787987915,13329.052734375
66.0,1,-2,0.9990539262062441,10637.40234375
67.0,0,-1,0.9542985320596942,15137.841796875
68.0,1,-2,0.9929197058015686,12812.255859375
69.0,0,-1,0.9487441633350627,15137.841796875
70.0,1,-2,1.000030518509476,12639.990234375
71.0,0,-1,0.9803918576616718,15417.7734375
72.0,1,-1,0.9820551164281137,15417.7734375
73.0,2,-2,1.000030518509476,15094.775390625
74.0,1,-1,1.0,15439.306640625
75.0,0,-2,0.9544053468428602,15137.841796875
76.0,1,-3,0.9799035615100559,12876.85546875
76.25,0,-2,0.8984954374828333,15697.705078125
76.5,1,-3,0.9605090487380596,10637.40234375
76.75,2,-4,0.9808038575395979,10615.869140625
77.5,3,-3,0.9948728904080324,15288.57421875
78.0,2,-4,0.9709006012146366,13608.984375
78.25,1,-3,0.9280068361461227,15740.771484375
80.0,2,-4,0.9877925962096011,15116.30859375
81.0,1,-3,0.967680898464919,15374.70703125
82.0,2,-2,0.9915158543656728,15654.638671875
83.0,1,-3,0.95600756859035,15331.640625
84.0,2,-4,0.9992675557725761,13285.986328125
85.0,1,-3,0.9624317148350474,15460.83984375
86.0,2,-4,0.988845484786523,13242.919921875
87.0,1,-3,0.9477217932676167,15546.97265625
88.0,2,-2,0.9926145207068087,15633.10546875
89.0,3,-3,0.999649037141026,15611.572265625
90.0,2,-4,0.9962767418439283,15374.70703125
91.0,1,-5,0.9702444532609027,15094.775390625
92.0,2,-5,1.0,15094.775390625
93.0,1,-4,0.9797357097079379,15137.841796875
94.0,2,-5,0.9914242988372448,14987.109375
96.0,1,-4,0.9616534928434095,15288.57421875
96.5,2,-3,0.9969481490524003,15482.373046875
97.5,1,-4,0.9940031128879665,10379.00390625
98.0,0,-3,0.9848017822809534,13242.919921875
98.5,1,-4,1.000030518509476,13049.12109375
99.0,0,-3,0.9327219458601641,15590.0390625
99.5,1,-4,0.9529862361522263,15051.708984375
100.0,2,-3,0.9964903714102603,15245.5078125
100.5,3,-2,0.999908444471572,15676.171875
100.75,2,-3,0.9759819330423902,10680.46875
101.5,3,-2,0.9974974822229683,15245.5078125
102.0,2,-3,0.9857936338389233,13027.587890625
102.5,3,-4,1.000030518509476,12769.189453125
