Position,EnergyPC,FrequencyPC,Energy,Frequency
0.0,0,0,0.7082277901547289,581.396484375
1.0,1,1,0.7360759300515762,1076.66015625
2.0,2,2,1.000030518509476,1636.5234375
3.0,1,1,0.6153599658192694,1205.859375
3.5,2,0,0.8552354503006073,818.26171875
4.0,1,1,0.7299417096469009,1679.58984375
5.0,2,2,0.7310098574785608,1722.65625
6.0,1,1,0.5140537736136968,322.998046875
7.0,2,2,0.849070711386456,1098.193359375
7.5,3,1,0.935514389477218,839.794921875
8.0,2,2,0.7260200811792352,1076.66015625
9.0,1,1,0.5615710928678244,1033.59375
10.0,2,0,0.901974547563097,882.861328125
13.0,1,1,0.6337778862880337,1076.66015625
14.0,2,0,0.9946287423322244,796.728515625
15.0,1,-1,0.5139164403210547,322.998046875
15.5,2,0,0.685735648670919,925.927734375
16.0,3,-1,0.749992370372631,366.064453125
17.0,4,0,0.7870265816217537,1679.58984375
18.0,5,-1,0.9091463972899563,387.59765625
19.0,4,0,0.6963103122043519,1464.2578125
19.5,5,-1,0.8086031678212836,366.064453125
20.0,4,0,0.7009186071352276,1464.2578125
21.0,5,1,0.7543412579729606,1701.123046875
22.0,4,0,0.6157414471877194,322.998046875
23.0,5,1,0.9665974913785211,1098.193359375
23.5,6,0,0.978087710196234,473.73046875
24.0,5,1,0.6980651264992217,1076.66015625
25.0,4,0,0.6223487044892727,1033.59375
26.0,5,-1,0.8297982726523636,796.728515625
27.0,4,0,0.7610400708029419,1679.58984375
29.0,3,0,0.7440107425153355,1679.58984375
30.0,4,-1,0.8878597369304484,1227.392578125
31.0,3,0,0.8184301278725548,1679.58984375
31.5,2,-1,0.7574236274300363,818.26171875
32.0,3,-2,0.7806939909054842,366.064453125
33.0,4,-1,0.8886989959410383,1679.58984375
34.0,5,-2,0.9038666951506089,409.130859375
35.0,4,-1,0.6694082461012605,1485.791015625
35.5,5,-2,0.7867061372722556,818.26171875
36.0,4,-1,0.7156895657216101,1679.58984375
37.0,3,0,0.7107303079317606,1701.123046875
38.0,2,-1,0.5809198278756066,344.53125
